ADC Channel - Charge distribution,Counts - Charge distribution
-249.0,0.0
-247.0,0.0
-245.0,0.0
-243.0,0.0
-241.0,0.0
-239.0,0.0
-237.0,0.0
-235.0,0.0
-233.0,0.0
-231.0,0.0
-229.0,0.0
-227.0,0.0
-225.0,0.0
-223.0,0.0
-221.0,0.0
-219.0,0.0
-217.0,0.0
-215.0,0.0
-213.0,0.0
-211.0,0.0
-209.0,0.0
-207.0,0.0
-205.0,0.0
-203.0,0.0
-201.0,0.0
-199.0,0.0
-197.0,0.0
-195.0,0.0
-193.0,0.0
-191.0,0.0
-189.0,0.0
-187.0,0.0
-185.0,0.0
-183.0,0.0
-181.0,0.0
-179.0,0.0
-177.0,0.0
-175.0,0.0
-173.0,0.0
-171.0,0.0
-169.0,0.0
-167.0,0.0
-165.0,0.0
-163.0,0.0
-161.0,0.0
-159.0,0.0
-157.0,0.0
-155.0,0.0
-153.0,0.0
-151.0,0.0
-149.0,0.0
-147.0,0.0
-145.0,0.0
-143.0,1.0
-141.0,0.0
-139.0,0.0
-137.0,1.0
-135.0,1.0
-133.0,1.0
-131.0,1.0
-129.0,1.0
-127.0,0.0
-125.0,1.0
-123.0,1.0
-121.0,2.0
-119.0,0.0
-117.0,1.0
-115.0,0.0
-113.0,0.0
-111.0,3.0
-109.0,0.0
-107.0,1.0
-105.0,2.0
-103.0,1.0
-101.0,0.0
-99.0,0.0
-97.0,0.0
-95.0,1.0
-93.0,1.0
-91.0,2.0
-89.0,1.0
-87.0,3.0
-85.0,2.0
-83.0,3.0
-81.0,0.0
-79.0,2.0
-77.0,2.0
-75.0,3.0
-73.0,4.0
-71.0,4.0
-69.0,4.0
-67.0,7.0
-65.0,9.0
-63.0,3.0
-61.0,3.0
-59.0,6.0
-57.0,11.0
-55.0,9.0
-53.0,9.0
-51.0,11.0
-49.0,13.0
-47.0,18.0
-45.0,16.0
-43.0,17.0
-41.0,23.0
-39.0,22.0
-37.0,26.0
-35.0,39.0
-33.0,42.0
-31.0,52.0
-29.0,72.0
-27.0,81.0
-25.0,90.0
-23.0,103.0
-21.0,112.0
-19.0,143.0
-17.0,152.0
-15.0,160.0
-13.0,169.0
-11.0,173.0
-9.0,169.0
-7.0,189.0
-5.0,174.0
-3.0,187.0
-1.0,193.0
1.0,197.0
3.0,213.0
5.0,207.0
7.0,186.0
9.0,184.0
11.0,148.0
13.0,178.0
15.0,188.0
17.0,156.0
19.0,149.0
21.0,140.0
23.0,119.0
25.0,134.0
27.0,126.0
29.0,100.0
31.0,95.0
33.0,82.0
35.0,87.0
37.0,90.0
39.0,93.0
41.0,103.0
43.0,116.0
45.0,120.0
47.0,149.0
49.0,165.0
51.0,185.0
53.0,189.0
55.0,228.0
57.0,277.0
59.0,302.0
61.0,315.0
63.0,393.0
65.0,411.0
67.0,419.0
69.0,450.0
71.0,500.0
73.0,503.0
75.0,492.0
77.0,545.0
79.0,553.0
81.0,574.0
83.0,566.0
85.0,578.0
87.0,571.0
89.0,532.0
91.0,511.0
93.0,454.0
95.0,459.0
97.0,435.0
99.0,423.0
101.0,373.0
103.0,358.0
105.0,344.0
107.0,325.0
109.0,307.0
111.0,257.0
113.0,264.0
115.0,237.0
117.0,224.0
119.0,214.0
121.0,195.0
123.0,221.0
125.0,189.0
