ADC Channel - Charge distribution;Counts - Charge distribution
-249;0
-247;0
-245;0
-243;0
-241;0
-239;0
-237;0
-235;0
-233;0
-231;0
-229;0
-227;0
-225;0
-223;0
-221;0
-219;0
-217;0
-215;0
-213;0
-211;0
-209;0
-207;0
-205;0
-203;0
-201;0
-199;0
-197;0
-195;0
-193;0
-191;0
-189;0
-187;0
-185;0
-183;0
-181;0
-179;0
-177;0
-175;0
-173;0
-171;0
-169;0
-167;1
-165;1
-163;0
-161;0
-159;0
-157;1
-155;0
-153;0
-151;0
-149;1
-147;0
-145;0
-143;1
-141;0
-139;0
-137;0
-135;0
-133;0
-131;2
-129;2
-127;2
-125;1
-123;0
-121;1
-119;0
-117;0
-115;1
-113;3
-111;3
-109;1
-107;2
-105;1
-103;1
-101;4
-99;3
-97;3
-95;1
-93;5
-91;4
-89;1
-87;4
-85;2
-83;2
-81;4
-79;4
-77;3
-75;4
-73;6
-71;7
-69;14
-67;9
-65;4
-63;10
-61;21
-59;12
-57;13
-55;14
-53;22
-51;19
-49;28
-47;25
-45;22
-43;30
-41;33
-39;46
-37;50
-35;48
-33;59
-31;76
-29;56
-27;76
-25;97
-23;109
-21;121
-19;117
-17;153
-15;122
-13;154
-11;142
-9;158
-7;146
-5;155
-3;156
-1;172
1;186
3;160
5;181
7;147
9;161
11;164
13;151
15;139
17;123
19;124
21;119
23;100
25;64
27;80
29;82
31;64
33;64
35;69
37;40
39;43
41;37
43;35
45;24
47;28
49;19
51;21
53;16
55;15
57;11
59;10
61;7
63;13
65;4
67;6
69;4
71;7
73;5
75;6
77;2
79;1
81;3
83;1
85;1
87;1
89;0
91;4
93;0
95;0
97;1
99;1
101;1
103;3
105;2
107;2
109;3
111;3
113;0
115;3
117;1
119;2
121;1
123;2
125;2
127;3
129;3
131;1
133;5
135;1
137;3
139;1
141;6
143;4
145;5
147;4
149;2
151;7
153;6
155;12
157;7
159;16
161;5
163;3
165;12
167;12
169;14
171;12
173;21
175;21
177;18
179;22
181;27
183;27
185;36
187;31
189;33
191;36
193;57
195;45
197;52
199;58
201;75
203;76
205;87
207;93
209;129
211;126
213;136
215;147
217;178
219;190
221;214
223;212
225;245
227;288
229;279
231;321
233;292
235;353
237;361
239;347
241;373
243;392
245;428
247;407
249;447
251;440
253;457
255;462
257;471
259;430
261;441
263;400
265;441
267;360
269;391
271;341
273;323
275;276
277;300
279;254
281;247
283;213
285;216
287;223
289;191
291;158
293;136
295;133
297;110
299;94
301;93
303;84
305;60
307;69
309;61
311;46
313;34
315;28
317;34
319;29
321;26
323;20
325;21
327;22
329;20
331;25
333;13
335;11
337;10
339;20
341;14
343;9
345;6
347;10
349;8
351;8
353;7
355;3
357;15
359;7
361;8
363;9
365;5
367;7
369;10
371;6
373;6
375;10
377;4
379;3
381;9
383;9
385;7
387;6
389;10
391;13
393;10
395;12
397;9
399;13
401;13
403;5
405;21
407;19
409;9
411;16
413;13
415;12
417;17
419;22
421;20
423;18
425;21
427;37
429;20
431;23
433;35
435;35
437;35
439;40
441;42
443;48
445;59
447;68
449;66
451;84
453;96
455;88
457;93
459;104
461;123
463;142
465;171
467;179
469;224
471;198
473;253
475;231
477;281
479;309
481;367
483;328
485;384
487;401
489;437
491;492
493;496
495;502
497;534
499;549
501;558
503;546
505;634
507;569
509;593
511;619
513;645
515;601
517;610
519;576
521;622
523;600
525;523
527;507
529;501
531;516
533;433
535;441
537;400
539;400
541;362
543;350
545;311
547;246
549;281
551;249
553;194
555;195
557;182
559;147
561;118
563;115
565;104
567;100
569;88
571;83
573;82
575;77
577;64
579;36
581;49
583;36
585;39
587;24
589;36
591;28
593;23
595;23
597;29
599;22
601;22
603;22
605;20
607;28
609;15
611;18
613;20
615;14
617;17
619;16
621;15
623;19
625;16
627;15
629;15
631;14
633;17
635;17
637;10
639;20
641;10
643;20
645;10
647;13
649;10
651;11
653;16
655;11
657;15
659;14
661;15
663;19
665;16
667;19
669;18
671;26
673;20
675;22
677;18
679;25
681;33
683;23
685;25
687;25
689;26
691;32
693;44
695;51
697;44
699;42
701;53
703;63
705;63
707;77
709;69
711;91
713;105
715;115
717;116
719;141
721;127
723;167
725;191
727;202
729;214
731;207
733;239
735;288
737;256
739;292
741;340
743;351
745;368
747;406
749;411
751;457
753;425
755;515
757;458
759;511
761;552
763;544
765;550
767;585
769;560
771;596
773;497
775;604
777;573
779;591
781;513
783;570
785;530
787;483
789;466
791;456
793;445
795;433
797;421
799;368
801;368
803;341
805;331
807;263
809;278
811;243
813;250
815;229
817;207
819;181
821;182
823;129
825;161
827;116
829;93
831;92
833;79
835;81
837;75
839;65
841;45
843;49
845;49
847;49
849;35
851;33
853;36
855;34
857;36
859;31
861;38
863;25
865;29
867;26
869;19
871;25
873;23
875;18
877;16
879;19
881;17
883;16
885;16
887;19
889;16
891;17
893;16
895;16
897;20
899;20
901;19
903;13
905;10
907;12
909;16
911;18
913;26
915;16
917;17
919;25
921;17
923;9
925;18
927;21
929;16
931;18
933;18
935;24
937;24
939;20
941;31
943;22
945;24
947;34
949;30
951;30
953;40
955;31
957;43
959;50
961;58
963;65
965;61
967;78
969;83
971;78
973;98
975;88
977;117
979;102
981;123
983;115
985;136
987;139
989;153
991;178
993;188
995;214
997;223
999;227
1001;248
1003;275
1005;281
1007;302
1009;314
1011;295
1013;309
1015;353
1017;342
1019;361
1021;394
1023;394
1025;376
1027;441
1029;386
1031;395
1033;390
1035;381
1037;407
1039;374
1041;380
1043;358
1045;367
1047;355
1049;352
1051;337
1053;298
1055;319
1057;310
1059;270
1061;252
1063;252
1065;239
1067;211
1069;211
1071;189
1073;197
1075;161
1077;141
1079;128
1081;126
1083;123
1085;117
1087;76
1089;89
1091;96
1093;78
1095;63
1097;65
1099;49
1101;52
1103;42
1105;47
1107;38
1109;33
1111;37
1113;30
1115;23
1117;25
1119;32
1121;30
1123;24
1125;19
1127;30
1129;20
1131;14
1133;21
1135;25
1137;19
1139;15
1141;21
1143;22
1145;19
1147;14
1149;14
1151;19
1153;19
1155;21
1157;21
1159;15
1161;10
1163;20
1165;17
1167;11
1169;17
1171;11
1173;17
1175;26
1177;19
1179;11
1181;20
1183;19
1185;20
1187;18
1189;17
1191;17
1193;30
1195;17
1197;18
1199;20
1201;24
1203;14
1205;12
1207;24
1209;21
1211;26
1213;24
1215;24
1217;37
1219;33
1221;45
1223;30
1225;41
1227;41
1229;60
1231;57
1233;65
1235;49
1237;45
1239;77
1241;83
1243;90
1245;75
1247;101
1249;108
1251;103
1253;155
1255;130
1257;133
1259;123
1261;155
1263;143
1265;153
1267;171
1269;178
1271;187
1273;207
