ADC Channel - Charge distribution,Counts - Charge distribution
-249.0,0.0
-247.0,0.0
-245.0,0.0
-243.0,0.0
-241.0,0.0
-239.0,0.0
-237.0,0.0
-235.0,0.0
-233.0,0.0
-231.0,0.0
-229.0,0.0
-227.0,0.0
-225.0,0.0
-223.0,0.0
-221.0,0.0
-219.0,0.0
-217.0,0.0
-215.0,0.0
-213.0,0.0
-211.0,0.0
-209.0,0.0
-207.0,0.0
-205.0,0.0
-203.0,0.0
-201.0,0.0
-199.0,0.0
-197.0,0.0
-195.0,0.0
-193.0,0.0
-191.0,0.0
-189.0,0.0
-187.0,0.0
-185.0,0.0
-183.0,0.0
-181.0,0.0
-179.0,0.0
-177.0,0.0
-175.0,0.0
-173.0,0.0
-171.0,0.0
-169.0,0.0
-167.0,1.0
-165.0,1.0
-163.0,0.0
-161.0,0.0
-159.0,0.0
-157.0,1.0
-155.0,0.0
-153.0,0.0
-151.0,0.0
-149.0,1.0
-147.0,0.0
-145.0,0.0
-143.0,1.0
-141.0,0.0
-139.0,0.0
-137.0,0.0
-135.0,0.0
-133.0,0.0
-131.0,2.0
-129.0,2.0
-127.0,2.0
-125.0,1.0
-123.0,0.0
-121.0,1.0
-119.0,0.0
-117.0,0.0
-115.0,1.0
-113.0,3.0
-111.0,3.0
-109.0,1.0
-107.0,2.0
-105.0,1.0
-103.0,1.0
-101.0,4.0
-99.0,3.0
-97.0,3.0
-95.0,1.0
-93.0,5.0
-91.0,4.0
-89.0,1.0
-87.0,4.0
-85.0,2.0
-83.0,2.0
-81.0,4.0
-79.0,4.0
-77.0,3.0
-75.0,4.0
-73.0,6.0
-71.0,7.0
-69.0,14.0
-67.0,9.0
-65.0,4.0
-63.0,10.0
-61.0,21.0
-59.0,12.0
-57.0,13.0
-55.0,14.0
-53.0,22.0
-51.0,19.0
-49.0,28.0
-47.0,25.0
-45.0,22.0
-43.0,30.0
-41.0,33.0
-39.0,46.0
-37.0,50.0
-35.0,48.0
-33.0,59.0
-31.0,76.0
-29.0,56.0
-27.0,76.0
-25.0,97.0
-23.0,109.0
-21.0,121.0
-19.0,117.0
-17.0,153.0
-15.0,122.0
-13.0,154.0
-11.0,142.0
-9.0,158.0
-7.0,146.0
-5.0,155.0
-3.0,156.0
-1.0,172.0
1.0,186.0
3.0,160.0
5.0,181.0
7.0,147.0
9.0,161.0
11.0,164.0
13.0,151.0
15.0,139.0
17.0,123.0
19.0,124.0
21.0,119.0
23.0,100.0
25.0,64.0
27.0,80.0
29.0,82.0
31.0,64.0
33.0,64.0
35.0,69.0
37.0,40.0
39.0,43.0
41.0,37.0
43.0,35.0
45.0,24.0
47.0,28.0
49.0,19.0
51.0,21.0
53.0,16.0
55.0,15.0
57.0,11.0
59.0,10.0
61.0,7.0
63.0,13.0
65.0,4.0
67.0,6.0
69.0,4.0
71.0,7.0
73.0,5.0
75.0,6.0
77.0,2.0
79.0,1.0
81.0,3.0
83.0,1.0
85.0,1.0
87.0,1.0
89.0,0.0
91.0,4.0
93.0,0.0
95.0,0.0
97.0,1.0
99.0,1.0
101.0,1.0
103.0,3.0
105.0,2.0
107.0,2.0
109.0,3.0
111.0,3.0
113.0,0.0
115.0,3.0
117.0,1.0
119.0,2.0
121.0,1.0
123.0,2.0
125.0,2.0
