ADC Channel - Charge distribution;Counts - Charge distribution
-249;0
-247;0
-245;0
-243;0
-241;0
-239;0
-237;0
-235;0
-233;0
-231;0
-229;0
-227;0
-225;0
-223;0
-221;0
-219;0
-217;0
-215;0
-213;0
-211;0
-209;0
-207;0
-205;0
-203;0
-201;0
-199;0
-197;0
-195;0
-193;0
-191;0
-189;0
-187;0
-185;0
-183;0
-181;0
-179;0
-177;0
-175;0
-173;0
-171;0
-169;0
-167;0
-165;0
-163;0
-161;0
-159;0
-157;0
-155;0
-153;0
-151;0
-149;0
-147;0
-145;0
-143;1
-141;0
-139;0
-137;1
-135;0
-133;1
-131;0
-129;0
-127;0
-125;3
-123;0
-121;1
-119;0
-117;1
-115;1
-113;0
-111;1
-109;2
-107;0
-105;0
-103;2
-101;0
-99;1
-97;1
-95;1
-93;3
-91;6
-89;2
-87;4
-85;2
-83;4
-81;4
-79;3
-77;8
-75;4
-73;6
-71;2
-69;2
-67;10
-65;5
-63;11
-61;7
-59;10
-57;12
-55;9
-53;11
-51;14
-49;15
-47;21
-45;21
-43;20
-41;34
-39;40
-37;36
-35;41
-33;56
-31;50
-29;58
-27;82
-25;74
-23;90
-21;124
-19;105
-17;120
-15;130
-13;151
-11;157
-9;174
-7;167
-5;177
-3;178
-1;171
1;166
3;164
5;165
7;162
9;179
11;148
13;145
15;164
17;131
19;137
21;120
23;119
25;95
27;84
29;63
31;77
33;57
35;70
37;48
39;45
41;31
43;44
45;32
47;22
49;29
51;30
53;23
55;27
57;29
59;32
61;27
63;22
65;15
67;17
69;23
71;24
73;20
75;19
77;22
79;34
81;48
83;34
85;34
87;47
89;56
91;69
93;66
95;87
97;99
99;119
101;117
103;124
105;162
107;162
109;192
111;192
113;235
115;250
117;271
119;335
121;305
123;381
125;409
127;437
129;449
131;495
133;484
135;463
137;526
139;482
141;516
143;509
145;512
147;520
149;457
151;436
153;468
155;383
157;368
159;359
161;351
163;314
165;298
167;223
169;222
171;187
173;170
175;166
177;136
179;126
181;113
183;99
185;85
187;86
189;77
191;60
193;46
195;49
197;42
199;51
201;41
203;41
205;48
207;53
209;53
211;53
213;45
215;54
217;51
219;52
221;41
223;60
225;74
227;63
229;96
231;90
233;100
235;106
237;117
239;172
241;157
243;200
245;200
247;225
249;288
251;303
253;299
255;357
257;404
259;432
261;464
263;518
265;523
267;576
269;635
271;656
273;682
275;677
277;676
279;713
281;689
283;708
285;744
287;737
289;708
291;680
293;665
295;627
297;614
299;573
301;569
303;502
305;455
307;414
309;368
311;356
313;308
315;283
317;250
319;213
321;211
323;165
325;157
327;127
329;139
331;127
333;112
335;87
337;83
339;71
341;80
343;74
345;73
347;61
349;68
351;68
353;68
355;65
357;43
359;65
361;62
363;58
365;80
367;68
369;87
371;83
373;111
375;98
377;110
379;116
381;139
383;144
385;170
387;218
389;228
391;245
393;295
395;290
397;344
399;350
401;360
403;419
405;453
407;519
409;524
411;551
413;601
415;631
417;655
419;691
421;681
423;691
425;762
427;666
429;725
431;641
433;643
435;666
437;651
439;635
441;586
443;512
445;557
447;487
449;435
451;406
453;365
455;335
457;283
459;286
461;278
463;228
465;207
467;196
469;164
471;164
473;131
475;124
477;132
479;92
481;103
483;79
485;72
487;78
489;77
491;64
493;71
495;69
497;68
499;67
501;80
503;72
505;63
507;67
509;47
511;72
513;88
515;74
517;103
519;94
521;96
523;106
525;123
527;144
529;140
531;165
533;185
535;210
537;212
539;240
541;216
543;288
545;298
547;328
549;324
551;382
553;417
555;414
557;412
559;412
561;448
563;494
565;488
567;481
569;465
571;493
573;520
575;468
577;484
579;487
581;423
583;457
585;411
587;406
589;373
591;361
593;337
595;329
597;318
599;251
601;232
603;253
605;197
607;202
609;168
611;157
613;130
615;133
617;103
619;102
621;85
623;77
625;65
627;64
629;84
631;74
633;50
635;52
637;56
639;45
641;52
643;57
645;47
647;44
649;53
651;43
653;53
655;56
657;45
659;44
661;74
663;54
665;81
667;73
669;77
671;91
673;90
675;103
677;113
679;125
681;145
683;146
685;154
687;177
689;176
691;223
693;203
695;227
697;238
699;259
701;252
703;280
705;282
707;274
709;292
711;297
713;308
715;315
717;302
719;300
721;284
723;276
725;278
727;262
729;292
731;228
733;219
735;202
737;182
739;190
741;173
743;149
745;172
747;146
749;145
751;132
753;109
755;100
757;83
759;93
761;73
763;67
765;49
767;50
769;52
771;50
773;45
775;32
777;37
779;39
781;43
783;28
785;32
787;30
789;26
791;32
793;30
795;22
797;32
799;30
801;25
803;39
805;43
807;33
809;28
811;44
813;39
815;46
817;56
819;46
821;55
823;68
825;71
827;58
829;80
831;83
833;80
835;85
837;119
839;120
841;103
843;132
845;135
847;122
849;139
851;135
853;142
855;124
857;150
859;141
861;127
863;152
865;129
867;170
869;145
871;132
873;125
875;131
877;126
879;108
881;113
883;97
885;91
887;110
889;84
891;83
893;66
895;69
897;67
899;59
901;61
903;51
905;40
907;33
909;36
911;36
913;25
915;20
917;29
919;21
921;18
923;16
925;17
927;14
929;17
931;17
933;15
935;14
937;13
939;22
941;17
943;12
945;16
947;22
949;14
951;22
953;23
955;17
957;22
959;23
961;26
963;25
965;16
967;23
969;26
971;30
973;34
975;27
977;37
979;32
981;51
983;36
985;46
987;59
989;54
991;44
993;55
995;57
997;50
999;67
1001;67
1003;57
1005;62
1007;52
1009;61
1011;53
1013;68
1015;47
1017;56
1019;60
1021;46
1023;45
1025;46
1027;34
1029;53
1031;26
1033;44
1035;22
1037;35
1039;36
1041;24
1043;31
1045;25
1047;22
1049;22
1051;14
1053;19
1055;16
1057;14
1059;18
1061;5
1063;13
1065;8
1067;10
1069;10
1071;12
1073;16
1075;7
1077;10
1079;8
1081;10
1083;14
1085;5
1087;7
1089;8
1091;11
1093;5
1095;10
1097;13
1099;4
1101;11
1103;11
1105;12
1107;4
1109;9
1111;16
1113;11
1115;10
1117;17
1119;18
1121;9
1123;17
1125;13
1127;13
1129;23
1131;21
1133;23
1135;18
1137;18
1139;20
1141;20
1143;16
1145;18
1147;23
1149;27
1151;28
1153;22
1155;21
1157;26
1159;17
1161;20
1163;21
1165;19
1167;22
1169;10
1171;17
1173;13
1175;19
1177;21
1179;13
1181;13
1183;16
1185;13
1187;10
1189;10
1191;14
1193;6
1195;15
1197;5
1199;3
1201;7
1203;6
1205;8
1207;5
1209;5
1211;6
1213;3
1215;5
1217;2
1219;0
1221;1
1223;0
1225;5
1227;6
1229;6
1231;6
1233;5
1235;3
1237;2
1239;6
1241;2
1243;1
1245;4
1247;2
1249;2
1251;8
1253;5
1255;7
1257;6
1259;7
1261;5
1263;3
1265;4
1267;4
1269;7
1271;4
1273;5
