

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/06/2025 
Time:  	 10:23:07 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 1500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250605-T102306 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 56,50 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -250,00 
Channel Temperature [°C]: 	 28,00 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 200 | 72 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-97.50 	0 	
-92.50 	0 	
-87.50 	0 	
-82.50 	0 	
-77.50 	0 	
-72.50 	0 	
-67.50 	0 	
-62.50 	0 	
-57.50 	0 	
-52.50 	0 	
-47.50 	0 	
-42.50 	0 	
-37.50 	0 	
-32.50 	0 	
-27.50 	2 	
-22.50 	1 	
-17.50 	0 	
-12.50 	2 	
-7.50 	1 	
-2.50 	1 	
2.50 	2 	
7.50 	1 	
12.50 	0 	
17.50 	0 	
22.50 	0 	
27.50 	0 	
32.50 	0 	
37.50 	0 	
42.50 	0 	
47.50 	0 	
52.50 	0 	
57.50 	0 	
62.50 	1 	
67.50 	0 	
72.50 	0 	
77.50 	0 	
82.50 	0 	
87.50 	0 	
92.50 	0 	
97.50 	0 	
102.50 	0 	
107.50 	0 	
112.50 	0 	
117.50 	0 	
122.50 	0 	
127.50 	1 	
132.50 	0 	
137.50 	0 	
142.50 	0 	
147.50 	0 	
152.50 	0 	
157.50 	1 	
162.50 	1 	
167.50 	1 	
172.50 	0 	
177.50 	0 	
182.50 	1 	
187.50 	1 	
192.50 	0 	
197.50 	2 	
202.50 	4 	
207.50 	4 	
212.50 	5 	
217.50 	10 	
222.50 	9 	
227.50 	11 	
232.50 	16 	
237.50 	4 	
242.50 	8 	
247.50 	7 	
252.50 	6 	
257.50 	4 	
262.50 	2 	
267.50 	3 	
272.50 	1 	
277.50 	1 	
282.50 	2 	
287.50 	0 	
292.50 	0 	
297.50 	1 	
302.50 	0 	
307.50 	0 	
312.50 	0 	
317.50 	0 	
322.50 	1 	
327.50 	0 	
332.50 	0 	
337.50 	0 	
342.50 	0 	
347.50 	1 	
352.50 	0 	
357.50 	0 	
362.50 	0 	
367.50 	1 	
372.50 	1 	
377.50 	0 	
382.50 	0 	
387.50 	1 	
392.50 	2 	
397.50 	2 	
402.50 	2 	
407.50 	2 	
412.50 	4 	
417.50 	5 	
422.50 	4 	
427.50 	5 	
432.50 	11 	
437.50 	14 	
442.50 	14 	
447.50 	37 	
452.50 	32 	
457.50 	57 	
462.50 	39 	
467.50 	38 	
472.50 	40 	
477.50 	38 	
482.50 	19 	
487.50 	18 	
492.50 	15 	
497.50 	6 	
502.50 	5 	
507.50 	8 	
512.50 	7 	
517.50 	7 	
522.50 	8 	
527.50 	4 	
532.50 	3 	
537.50 	5 	
542.50 	6 	
547.50 	0 	
