

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/06/2025 
Time:  	 10:12:33 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 1500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250605-T101233 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 56,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -250,00 
Channel Temperature [°C]: 	 27,90 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 200 | 72 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-97.50 	0 	
-92.50 	0 	
-87.50 	0 	
-82.50 	0 	
-77.50 	0 	
-72.50 	0 	
-67.50 	0 	
-62.50 	1 	
-57.50 	0 	
-52.50 	0 	
-47.50 	0 	
-42.50 	0 	
-37.50 	0 	
-32.50 	0 	
-27.50 	0 	
-22.50 	1 	
-17.50 	1 	
-12.50 	1 	
-7.50 	1 	
-2.50 	1 	
2.50 	1 	
7.50 	1 	
12.50 	0 	
17.50 	0 	
22.50 	0 	
27.50 	0 	
32.50 	0 	
37.50 	0 	
42.50 	1 	
47.50 	0 	
52.50 	0 	
57.50 	0 	
62.50 	0 	
67.50 	0 	
72.50 	0 	
77.50 	0 	
82.50 	0 	
87.50 	0 	
92.50 	0 	
97.50 	0 	
102.50 	0 	
107.50 	0 	
112.50 	0 	
117.50 	0 	
122.50 	0 	
127.50 	1 	
132.50 	0 	
137.50 	0 	
142.50 	0 	
147.50 	0 	
152.50 	2 	
157.50 	1 	
162.50 	0 	
167.50 	2 	
172.50 	1 	
177.50 	1 	
182.50 	5 	
187.50 	15 	
192.50 	15 	
197.50 	17 	
202.50 	15 	
207.50 	15 	
212.50 	15 	
217.50 	9 	
222.50 	9 	
227.50 	7 	
232.50 	5 	
237.50 	3 	
242.50 	3 	
247.50 	0 	
252.50 	0 	
257.50 	0 	
262.50 	0 	
267.50 	1 	
272.50 	1 	
277.50 	0 	
282.50 	0 	
287.50 	1 	
292.50 	0 	
297.50 	3 	
302.50 	0 	
307.50 	1 	
312.50 	0 	
317.50 	0 	
322.50 	1 	
327.50 	0 	
332.50 	2 	
337.50 	3 	
342.50 	1 	
347.50 	2 	
352.50 	4 	
357.50 	4 	
362.50 	1 	
367.50 	5 	
372.50 	8 	
377.50 	7 	
382.50 	21 	
387.50 	21 	
392.50 	34 	
397.50 	40 	
402.50 	58 	
407.50 	67 	
412.50 	77 	
417.50 	76 	
422.50 	57 	
427.50 	51 	
432.50 	39 	
437.50 	25 	
442.50 	24 	
447.50 	14 	
452.50 	7 	
457.50 	11 	
462.50 	12 	
467.50 	7 	
472.50 	6 	
477.50 	5 	
482.50 	4 	
487.50 	2 	
492.50 	5 	
497.50 	10 	
502.50 	6 	
507.50 	4 	
512.50 	8 	
517.50 	9 	
522.50 	3 	
527.50 	7 	
532.50 	4 	
537.50 	4 	
542.50 	5 	
547.50 	7 	
