

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/06/2025 
Time:  	 09:50:45 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 2500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250612-T095044 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -250,00 
Channel Temperature [°C]: 	 27,60 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 200 | 72 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-97.50 	0 	
-92.50 	0 	
-87.50 	0 	
-82.50 	0 	
-77.50 	0 	
-72.50 	1 	
-67.50 	0 	
-62.50 	0 	
-57.50 	0 	
-52.50 	0 	
-47.50 	0 	
-42.50 	2 	
-37.50 	1 	
-32.50 	0 	
-27.50 	2 	
-22.50 	0 	
-17.50 	0 	
-12.50 	5 	
-7.50 	5 	
-2.50 	2 	
2.50 	6 	
7.50 	15 	
12.50 	4 	
17.50 	2 	
22.50 	3 	
27.50 	1 	
32.50 	2 	
37.50 	0 	
42.50 	0 	
47.50 	1 	
52.50 	0 	
57.50 	0 	
62.50 	0 	
67.50 	0 	
72.50 	0 	
77.50 	0 	
82.50 	0 	
87.50 	1 	
92.50 	1 	
97.50 	2 	
102.50 	2 	
107.50 	2 	
112.50 	4 	
117.50 	7 	
122.50 	7 	
127.50 	5 	
132.50 	17 	
137.50 	36 	
142.50 	36 	
147.50 	45 	
152.50 	50 	
157.50 	49 	
162.50 	47 	
167.50 	37 	
172.50 	29 	
177.50 	20 	
182.50 	19 	
187.50 	15 	
192.50 	6 	
197.50 	2 	
202.50 	3 	
207.50 	4 	
212.50 	2 	
217.50 	2 	
222.50 	0 	
227.50 	1 	
232.50 	2 	
237.50 	1 	
242.50 	5 	
247.50 	2 	
252.50 	3 	
257.50 	5 	
262.50 	3 	
267.50 	13 	
272.50 	13 	
277.50 	18 	
282.50 	23 	
287.50 	50 	
292.50 	76 	
297.50 	113 	
302.50 	155 	
307.50 	169 	
312.50 	191 	
317.50 	205 	
322.50 	197 	
327.50 	158 	
332.50 	133 	
337.50 	104 	
342.50 	74 	
347.50 	44 	
352.50 	29 	
357.50 	23 	
362.50 	22 	
367.50 	9 	
372.50 	20 	
377.50 	13 	
382.50 	10 	
387.50 	9 	
392.50 	15 	
397.50 	14 	
402.50 	11 	
407.50 	17 	
412.50 	15 	
417.50 	21 	
422.50 	32 	
427.50 	41 	
432.50 	53 	
437.50 	76 	
442.50 	109 	
447.50 	191 	
452.50 	263 	
457.50 	353 	
462.50 	404 	
467.50 	508 	
472.50 	547 	
477.50 	572 	
482.50 	513 	
487.50 	439 	
492.50 	323 	
497.50 	295 	
502.50 	186 	
507.50 	146 	
512.50 	94 	
517.50 	92 	
522.50 	78 	
527.50 	48 	
532.50 	69 	
537.50 	66 	
542.50 	52 	
547.50 	51 	
