

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/06/2025 
Time:  	 10:10:45 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 2500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250612-T101045 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 56,50 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -250,00 
Channel Temperature [°C]: 	 28,30 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 200 | 72 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-97.50 	0 	
-92.50 	0 	
-87.50 	0 	
-82.50 	0 	
-77.50 	0 	
-72.50 	0 	
-67.50 	0 	
-62.50 	0 	
-57.50 	0 	
-52.50 	0 	
-47.50 	0 	
-42.50 	0 	
-37.50 	0 	
-32.50 	0 	
-27.50 	1 	
-22.50 	0 	
-17.50 	0 	
-12.50 	1 	
-7.50 	0 	
-2.50 	3 	
2.50 	0 	
7.50 	1 	
12.50 	0 	
17.50 	2 	
22.50 	1 	
27.50 	0 	
32.50 	0 	
37.50 	0 	
42.50 	0 	
47.50 	0 	
52.50 	0 	
57.50 	0 	
62.50 	0 	
67.50 	0 	
72.50 	0 	
77.50 	0 	
82.50 	0 	
87.50 	0 	
92.50 	0 	
97.50 	0 	
102.50 	0 	
107.50 	0 	
112.50 	0 	
117.50 	0 	
122.50 	0 	
127.50 	0 	
132.50 	0 	
137.50 	0 	
142.50 	0 	
147.50 	0 	
152.50 	0 	
157.50 	0 	
162.50 	0 	
167.50 	1 	
172.50 	0 	
177.50 	0 	
182.50 	0 	
187.50 	1 	
192.50 	1 	
197.50 	2 	
202.50 	0 	
207.50 	6 	
212.50 	12 	
217.50 	7 	
222.50 	6 	
227.50 	9 	
232.50 	9 	
237.50 	9 	
242.50 	8 	
247.50 	11 	
252.50 	2 	
257.50 	6 	
262.50 	0 	
267.50 	0 	
272.50 	1 	
277.50 	1 	
282.50 	0 	
287.50 	0 	
292.50 	0 	
297.50 	0 	
302.50 	1 	
307.50 	0 	
312.50 	0 	
317.50 	1 	
322.50 	1 	
327.50 	1 	
332.50 	0 	
337.50 	0 	
342.50 	0 	
347.50 	1 	
352.50 	0 	
357.50 	0 	
362.50 	0 	
367.50 	1 	
372.50 	0 	
377.50 	1 	
382.50 	1 	
387.50 	1 	
392.50 	3 	
397.50 	1 	
402.50 	3 	
407.50 	2 	
412.50 	6 	
417.50 	2 	
422.50 	8 	
427.50 	8 	
432.50 	14 	
437.50 	9 	
442.50 	26 	
447.50 	39 	
452.50 	37 	
457.50 	40 	
462.50 	47 	
467.50 	32 	
472.50 	31 	
477.50 	47 	
482.50 	23 	
487.50 	9 	
492.50 	20 	
497.50 	10 	
502.50 	13 	
507.50 	7 	
512.50 	2 	
517.50 	7 	
522.50 	0 	
527.50 	2 	
532.50 	8 	
537.50 	2 	
542.50 	5 	
547.50 	3 	
