Timestep;Frequency  [kHz] - 52.5;Frequency  [kHz] - 53;Frequency  [kHz] - 53.5;Frequency  [kHz] - 53.8;Frequency  [kHz] - 54;Frequency  [kHz] - 54.3;Frequency  [kHz] - 54.5;Frequency  [kHz] - 54.8;Frequency  [kHz] - 55;Frequency  [kHz] - 55.3;Frequency  [kHz] - 55.5;Frequency  [kHz] - 55.8;Frequency  [kHz] - 56
0;0;0,01;0,36;20,085;55,005;70,605;76,11;82,795;87,325;96,38;100,405;106,99;110,305
1;0;0,01;0,4;20,545;56,045;70,785;73,96;83,51;88,21;93,96;101,85;106,605;111,325
2;0;0,005;0,38;20,06;56,175;69,39;75,255;82,13;87,665;93,99;101,56;106,335;109,94
3;0;0,005;0,325;19,8;55,77;69,36;74,485;84,025;88,43;94,76;100,82;107,135;112,09
4;0;0,03;0,3;20,365;55,35;70,05;75,615;84,1;88,985;96,245;101,89;107,19;112,825
5;0;0,01;0,385;19,495;55,5;69,54;74,075;83,355;89,545;95,745;101,685;107,22;111,865
6;0;0,005;0,34;20,25;56,465;70,84;74,665;83,205;87,405;95,01;100,215;107,265;113,15
7;0;0,015;0,34;19,84;55,525;70,08;75,43;83,225;87,555;95,55;101,145;107,445;111,815
8;0;0,01;0,46;20,15;55,81;68,79;74,49;83,07;88,38;95,165;99,76;106,715;111,22
9;0;0,005;0,315;20,105;56,02;70,66;76,005;83,09;87,945;94,455;99,62;106,705;112,605
10;0;0,015;0,37;20,315;55,54;71,41;75,68;84,035;88,1;95,36;102,355;106,375;111,78
11;0;0,005;0,34;20,42;56,29;69,725;74,62;83,81;88,795;94,405;100,35;106,625;111,685
12;0;0,02;0,325;20,595;55,685;69,945;76,165;82,96;88,35;94,72;100,59;107,775;111,98
13;0;0,015;0,33;20,12;56,65;69,605;74,995;82,565;88,835;94,18;100,665;105,905;112,38
14;0;0;0,325;20,005;55,205;70,14;75,01;83,66;88,49;96,33;101,56;104,73;112,86
15;0;0,015;0,455;19,89;55,73;69,265;75,03;83,475;88,505;96,085;100,395;107,46;111,68
