 Time [gate * points] - Frequency	Frequency  [kHz] - Frequency
35	1.44
36	1.455
37	1.455
38	1.5025
39	1.46
40	1.4425
41	1.4675
42	1.4175
43	1.4175
44	1.4675
45	1.43
46	1.4425
47	1.4525
48	1.4425
49	1.4625
50	1.4725
51	1.415
52	1.4475
53	1.4575
54	1.49
55	1.4575
56	1.45
57	1.44
58	1.4275
59	1.47
60	1.455
61	1.465
62	1.45
63	1.47
64	1.445
65	1.415
66	1.4575
67	1.4825
68	1.4325
69	1.42
70	1.4
71	1.41
72	1.435
73	1.4725
74	1.4725
75	1.4725
76	1.465
77	1.445
78	1.4125
79	1.42
80	1.4625
81	1.4575
82	1.4225
83	1.45
84	1.4375
85	1.4075
86	1.4475
87	1.45
88	1.465
89	1.4825
90	1.445
91	1.4575
92	1.455
93	1.47
94	1.42
95	1.5025
96	1.4425
97	1.455
98	1.425
99	1.44
100	1.4475
101	1.425
102	1.4475
103	1.39
104	1.4275
105	1.41
106	1.42
107	1.47
108	1.44
109	1.4425
110	1.4375
111	1.4125
112	1.4525
113	1.4875
114	1.4175
115	1.415
116	1.44
117	1.41
118	1.43
119	1.3975
120	1.4525
121	1.4425
122	1.47
123	1.4325
124	1.53
125	1.4225
126	1.4375
127	1.4525
128	1.47
129	1.49
130	1.405
131	1.45
132	1.43
133	1.44
134	1.5
