 Time [gate * points] - Frequency	Frequency  [kHz] - Frequency
10	0.285
11	0.29
12	0.2825
13	0.275
14	0.3275
15	0.2975
16	0.285
17	0.285
18	0.3175
19	0.3
20	0.3325
21	0.2925
22	0.29
23	0.285
24	0.2625
25	0.315
26	0.28
27	0.3175
28	0.3025
29	0.2925
30	0.2825
31	0.275
32	0.3325
33	0.2975
34	0.3075
35	0.2925
36	0.2825
37	0.315
38	0.285
39	0.3325
40	0.3025
41	0.3
42	0.285
43	0.2975
44	0.245
45	0.285
46	0.305
47	0.2825
48	0.2925
49	0.285
50	0.31
51	0.28
52	0.2675
53	0.26
54	0.315
55	0.2675
56	0.3025
57	0.325
58	0.32
59	0.3125
60	0.305
61	0.31
62	0.3275
63	0.2375
64	0.2775
65	0.295
66	0.335
67	0.27
68	0.3025
69	0.32
70	0.2925
71	0.335
72	0.33
73	0.2975
74	0.2725
75	0.27
76	0.2775
77	0.3275
78	0.32
79	0.26
80	0.33
81	0.3025
82	0.35
83	0.3225
84	0.325
85	0.305
86	0.315
87	0.2925
88	0.3025
89	0.285
90	0.2375
91	0.3075
92	0.295
93	0.31
94	0.325
95	0.3325
96	0.2825
97	0.32
98	0.32
99	0.3175
100	0.255
101	0.2925
102	0.2775
103	0.325
104	0.295
105	0.315
106	0.3225
107	0.305
108	0.2975
109	0.31
