

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/06/2025 
Time:  	 11:44:13 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250605-T114412 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	0 	
-4850 	0 	
-4750 	1 	
-4650 	1 	
-4550 	0 	
-4450 	1 	
-4350 	0 	
-4250 	0 	
-4150 	0 	
-4050 	2 	
-3950 	0 	
-3850 	1 	
-3750 	2 	
-3650 	1 	
-3550 	1 	
-3450 	1 	
-3350 	1 	
-3250 	1 	
-3150 	1 	
-3050 	0 	
-2950 	2 	
-2850 	0 	
-2750 	2 	
-2650 	1 	
-2550 	0 	
-2450 	1 	
-2350 	1 	
-2250 	0 	
-2150 	0 	
-2050 	2 	
-1950 	3 	
-1850 	1 	
-1750 	2 	
-1650 	1 	
-1550 	2 	
-1450 	0 	
-1350 	4 	
-1250 	1 	
-1150 	4 	
-1050 	2 	
-950 	3 	
-850 	7 	
-750 	2 	
-650 	5 	
-550 	6 	
-450 	6 	
-350 	3 	
-250 	7 	
-150 	7 	
-50 	7 	
50 	8 	
150 	17 	
250 	7 	
350 	10 	
450 	11 	
550 	12 	
650 	12 	
750 	10 	
850 	16 	
950 	10 	
1050 	18 	
1150 	13 	
1250 	11 	
1350 	16 	
1450 	18 	
1550 	17 	
1650 	16 	
1750 	22 	
1850 	32 	
1950 	21 	
2050 	28 	
2150 	24 	
2250 	27 	
2350 	39 	
2450 	40 	
2550 	40 	
2650 	55 	
2750 	42 	
2850 	48 	
2950 	36 	
3050 	63 	
3150 	39 	
3250 	49 	
3350 	54 	
3450 	43 	
3550 	50 	
3650 	41 	
3750 	46 	
3850 	39 	
3950 	47 	
4050 	48 	
4150 	51 	
4250 	40 	
4350 	48 	
4450 	38 	
4550 	38 	
4650 	47 	
4750 	48 	
4850 	49 	
4950 	32 	
5050 	44 	
5150 	45 	
5250 	38 	
5350 	40 	
