

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 15/05/2025 
Time:  	 11:55:33 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250515-T115533 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	1 	
-4850 	2 	
-4750 	0 	
-4650 	0 	
-4550 	3 	
-4450 	1 	
-4350 	0 	
-4250 	0 	
-4150 	0 	
-4050 	1 	
-3950 	0 	
-3850 	0 	
-3750 	1 	
-3650 	1 	
-3550 	0 	
-3450 	0 	
-3350 	1 	
-3250 	1 	
-3150 	1 	
-3050 	0 	
-2950 	3 	
-2850 	1 	
-2750 	1 	
-2650 	3 	
-2550 	3 	
-2450 	2 	
-2350 	2 	
-2250 	5 	
-2150 	5 	
-2050 	4 	
-1950 	4 	
-1850 	2 	
-1750 	4 	
-1650 	5 	
-1550 	6 	
-1450 	3 	
-1350 	1 	
-1250 	1 	
-1150 	4 	
-1050 	4 	
-950 	5 	
-850 	3 	
-750 	9 	
-650 	8 	
-550 	8 	
-450 	8 	
-350 	7 	
-250 	13 	
-150 	6 	
-50 	7 	
50 	9 	
150 	11 	
250 	18 	
350 	15 	
450 	13 	
550 	21 	
650 	16 	
750 	15 	
850 	24 	
950 	25 	
1050 	28 	
1150 	25 	
1250 	31 	
1350 	31 	
1450 	34 	
1550 	39 	
1650 	37 	
1750 	43 	
1850 	53 	
1950 	58 	
2050 	45 	
2150 	52 	
2250 	55 	
2350 	63 	
2450 	68 	
2550 	61 	
2650 	61 	
2750 	59 	
2850 	59 	
2950 	59 	
3050 	57 	
3150 	38 	
3250 	47 	
3350 	44 	
3450 	41 	
3550 	58 	
3650 	51 	
3750 	47 	
3850 	40 	
3950 	40 	
4050 	55 	
4150 	49 	
4250 	53 	
4350 	40 	
4450 	49 	
4550 	49 	
4650 	45 	
4750 	56 	
4850 	53 	
4950 	49 	
5050 	37 	
5150 	41 	
5250 	35 	
5350 	27 	
5450 	30 	
5550 	26 	
5650 	14 	
5750 	12 	
5850 	12 	
5950 	8 	
6050 	16 	
6150 	16 	
6250 	8 	
6350 	8 	
6450 	6 	
6550 	7 	
6650 	7 	
6750 	12 	
6850 	8 	
6950 	9 	
7050 	2 	
7150 	8 	
7250 	8 	
7350 	3 	
7450 	6 	
7550 	10 	
7650 	7 	
7750 	5 	
7850 	6 	
7950 	2 	
8050 	3 	
8150 	5 	
8250 	4 	
8350 	4 	
8450 	4 	
8550 	4 	
8650 	3 	
8750 	1 	
8850 	4 	
8950 	7 	
9050 	2 	
9150 	2 	
9250 	2 	
9350 	2 	
9450 	4 	
9550 	4 	
9650 	2 	
9750 	1 	
9850 	4 	
9950 	3 	
10050 	5 	
10150 	2 	
10250 	3 	
10350 	3 	
10450 	2 	
10550 	2 	
10650 	2 	
10750 	2 	
10850 	2 	
10950 	3 	
11050 	2 	
11150 	3 	
11250 	1 	
11350 	0 	
11450 	2 	
11550 	1 	
11650 	1 	
11750 	3 	
11850 	2 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	1 	
12350 	2 	
12450 	0 	
12550 	1 	
12650 	2 	
12750 	2 	
12850 	1 	
12950 	1 	
13050 	0 	
13150 	1 	
13250 	4 	
13350 	0 	
13450 	1 	
13550 	3 	
13650 	1 	
13750 	1 	
13850 	0 	
13950 	1 	
14050 	0 	
14150 	0 	
14250 	1 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	2 	
14750 	0 	
14850 	0 	
14950 	1 	
15050 	1 	
15150 	2 	
15250 	1 	
15350 	1 	
15450 	2 	
15550 	0 	
15650 	1 	
15750 	0 	
15850 	1 	
15950 	2 	
16050 	0 	
16150 	0 	
16250 	1 	
16350 	1 	
16450 	0 	
16550 	0 	
16650 	1 	
16750 	1 	
16850 	1 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	1 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	1 	
17850 	1 	
17950 	0 	
18050 	1 	
18150 	1 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	1 	
19050 	1 	
19150 	1 	
19250 	0 	
19350 	0 	
19450 	1 	
19550 	0 	
19650 	0 	
19750 	0 	
19850 	0 	
19950 	1 	
20050 	0 	
20150 	3 	
20250 	0 	
20350 	0 	
20450 	1 	
20550 	0 	
20650 	0 	
20750 	1 	
20850 	1 	
20950 	1 	
21050 	0 	
21150 	0 	
21250 	0 	
21350 	0 	
21450 	0 	
21550 	0 	
21650 	0 	
21750 	1 	
21850 	1 	
21950 	0 	
22050 	0 	
22150 	0 	
22250 	0 	
22350 	1 	
