

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/06/2025 
Time:  	 11:55:07 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250605-T115506 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	1 	
-4850 	0 	
-4750 	0 	
-4650 	1 	
-4550 	0 	
-4450 	1 	
-4350 	1 	
-4250 	0 	
-4150 	0 	
-4050 	0 	
-3950 	1 	
-3850 	0 	
-3750 	1 	
-3650 	0 	
-3550 	1 	
-3450 	3 	
-3350 	1 	
-3250 	0 	
-3150 	3 	
-3050 	1 	
-2950 	1 	
-2850 	0 	
-2750 	1 	
-2650 	0 	
-2550 	1 	
-2450 	1 	
-2350 	4 	
-2250 	1 	
-2150 	3 	
-2050 	1 	
-1950 	2 	
-1850 	1 	
-1750 	1 	
-1650 	1 	
-1550 	3 	
-1450 	1 	
-1350 	2 	
-1250 	3 	
-1150 	2 	
-1050 	1 	
-950 	1 	
-850 	1 	
-750 	2 	
-650 	7 	
-550 	4 	
-450 	10 	
-350 	6 	
-250 	5 	
-150 	5 	
-50 	8 	
50 	4 	
150 	7 	
250 	6 	
350 	8 	
450 	9 	
550 	3 	
650 	12 	
750 	8 	
850 	22 	
950 	8 	
1050 	9 	
1150 	14 	
1250 	15 	
1350 	19 	
1450 	12 	
1550 	12 	
1650 	13 	
1750 	17 	
1850 	19 	
1950 	31 	
2050 	33 	
2150 	30 	
2250 	27 	
2350 	31 	
2450 	48 	
2550 	41 	
2650 	31 	
2750 	44 	
2850 	53 	
2950 	57 	
3050 	47 	
3150 	49 	
3250 	53 	
3350 	54 	
3450 	56 	
3550 	53 	
3650 	49 	
3750 	43 	
3850 	41 	
3950 	43 	
4050 	48 	
4150 	39 	
4250 	43 	
4350 	46 	
4450 	48 	
4550 	46 	
4650 	36 	
4750 	43 	
4850 	36 	
4950 	44 	
5050 	44 	
5150 	41 	
5250 	36 	
5350 	30 	
5450 	36 	
5550 	39 	
5650 	37 	
5750 	30 	
5850 	43 	
5950 	22 	
6050 	27 	
6150 	19 	
6250 	30 	
6350 	20 	
6450 	15 	
6550 	18 	
6650 	11 	
6750 	7 	
6850 	13 	
6950 	12 	
7050 	11 	
7150 	8 	
7250 	10 	
7350 	8 	
7450 	12 	
7550 	8 	
7650 	7 	
7750 	8 	
7850 	6 	
7950 	4 	
8050 	11 	
8150 	6 	
8250 	7 	
8350 	6 	
8450 	4 	
8550 	6 	
8650 	8 	
8750 	5 	
8850 	4 	
8950 	6 	
9050 	7 	
9150 	3 	
9250 	6 	
9350 	6 	
9450 	9 	
9550 	4 	
9650 	9 	
9750 	2 	
9850 	4 	
9950 	7 	
10050 	4 	
10150 	3 	
10250 	2 	
10350 	3 	
10450 	4 	
10550 	4 	
10650 	3 	
10750 	3 	
10850 	0 	
10950 	3 	
11050 	1 	
11150 	2 	
11250 	2 	
11350 	2 	
11450 	2 	
11550 	10 	
11650 	3 	
11750 	0 	
11850 	1 	
11950 	1 	
12050 	2 	
12150 	0 	
12250 	3 	
12350 	2 	
12450 	0 	
12550 	0 	
12650 	2 	
12750 	1 	
12850 	0 	
12950 	1 	
13050 	0 	
13150 	0 	
13250 	0 	
13350 	2 	
13450 	2 	
13550 	2 	
13650 	2 	
13750 	0 	
13850 	2 	
13950 	0 	
14050 	1 	
14150 	1 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	1 	
14650 	3 	
14750 	1 	
14850 	2 	
14950 	1 	
15050 	1 	
15150 	0 	
15250 	2 	
15350 	1 	
15450 	1 	
15550 	1 	
15650 	1 	
15750 	1 	
15850 	0 	
15950 	0 	
16050 	3 	
16150 	1 	
16250 	1 	
16350 	0 	
16450 	1 	
16550 	1 	
16650 	1 	
16750 	0 	
16850 	0 	
16950 	1 	
17050 	0 	
17150 	1 	
17250 	1 	
17350 	0 	
17450 	1 	
17550 	0 	
17650 	1 	
17750 	2 	
17850 	0 	
17950 	0 	
18050 	1 	
18150 	0 	
18250 	1 	
18350 	0 	
18450 	2 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	1 	
18950 	0 	
19050 	0 	
19150 	0 	
19250 	0 	
19350 	0 	
19450 	0 	
19550 	1 	
19650 	0 	
19750 	1 	
19850 	0 	
19950 	0 	
20050 	0 	
20150 	1 	
20250 	0 	
20350 	0 	
20450 	0 	
20550 	1 	
20650 	0 	
20750 	0 	
20850 	0 	
20950 	1 	
21050 	0 	
21150 	1 	
21250 	1 	
21350 	1 	
21450 	0 	
21550 	0 	
21650 	0 	
21750 	1 	
21850 	1 	
21950 	1 	
22050 	0 	
22150 	0 	
22250 	2 	
22350 	0 	
22450 	0 	
22550 	1 	
22650 	0 	
22750 	1 	
22850 	1 	
22950 	0 	
23050 	0 	
23150 	1 	
23250 	1 	
23350 	1 	
23450 	0 	
23550 	1 	
23650 	1 	
23750 	0 	
23850 	0 	
23950 	0 	
24050 	0 	
24150 	1 	
24250 	0 	
24350 	1 	
24450 	0 	
24550 	0 	
24650 	0 	
24750 	0 	
24850 	0 	
24950 	0 	
25050 	0 	
25150 	0 	
25250 	1 	
25350 	1 	
25450 	1 	
25550 	0 	
25650 	0 	
25750 	0 	
25850 	1 	
25950 	0 	
26050 	1 	
26150 	0 	
26250 	0 	
26350 	0 	
26450 	0 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	0 	
27250 	1 	
27350 	0 	
27450 	0 	
27550 	0 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	0 	
28050 	0 	
28150 	0 	
28250 	1 	
28350 	0 	
28450 	0 	
28550 	1 	
28650 	0 	
28750 	0 	
28850 	1 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	1 	
30450 	0 	
30550 	0 	
30650 	1 	
30750 	0 	
30850 	0 	
30950 	1 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
31450 	2 	
31550 	0 	
31650 	0 	
31750 	0 	
31850 	0 	
31950 	0 	
32050 	0 	
32150 	0 	
32250 	0 	
32350 	0 	
32450 	0 	
32550 	0 	
32650 	0 	
32750 	1 	
32850 	0 	
32950 	0 	
33050 	0 	
33150 	0 	
33250 	0 	
33350 	0 	
33450 	0 	
33550 	1 	
33650 	0 	
33750 	0 	
33850 	0 	
33950 	0 	
34050 	0 	
34150 	0 	
34250 	0 	
34350 	0 	
34450 	1 	
34550 	0 	
34650 	0 	
34750 	0 	
34850 	0 	
34950 	0 	
35050 	0 	
35150 	0 	
35250 	0 	
35350 	0 	
35450 	0 	
35550 	1 	
35650 	0 	
35750 	0 	
35850 	0 	
35950 	1 	
36050 	0 	
36150 	0 	
36250 	0 	
36350 	0 	
36450 	0 	
36550 	0 	
36650 	0 	
36750 	0 	
36850 	0 	
36950 	1 	
37050 	0 	
37150 	0 	
37250 	0 	
37350 	0 	
37450 	0 	
37550 	0 	
37650 	1 	
37750 	0 	
37850 	0 	
37950 	0 	
38050 	0 	
38150 	0 	
38250 	0 	
38350 	0 	
38450 	0 	
38550 	0 	
38650 	0 	
38750 	0 	
38850 	0 	
38950 	0 	
39050 	0 	
39150 	0 	
39250 	0 	
39350 	1 	
39450 	0 	
39550 	1 	
39650 	0 	
39750 	1 	
39850 	0 	
39950 	0 	
40050 	0 	
40150 	0 	
40250 	0 	
40350 	0 	
40450 	0 	
40550 	0 	
40650 	0 	
40750 	0 	
40850 	0 	
40950 	0 	
41050 	0 	
41150 	0 	
41250 	0 	
41350 	1 	
41450 	0 	
41550 	0 	
41650 	1 	
41750 	0 	
41850 	0 	
41950 	0 	
42050 	0 	
42150 	0 	
42250 	0 	
42350 	0 	
42450 	0 	
42550 	0 	
42650 	0 	
42750 	0 	
42850 	0 	
42950 	0 	
43050 	1 	
43150 	0 	
43250 	0 	
43350 	0 	
43450 	0 	
43550 	0 	
43650 	0 	
43750 	0 	
43850 	0 	
43950 	0 	
44050 	0 	
44150 	0 	
44250 	1 	
44350 	0 	
44450 	1 	
44550 	0 	
44650 	0 	
44750 	0 	
44850 	0 	
44950 	0 	
