

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/05/2025 
Time:  	 09:19:00 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250512-T091900 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 2 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	4 	
-850 	13 	
-750 	41 	
-650 	62 	
-550 	105 	
-450 	162 	
-350 	212 	
-250 	282 	
-150 	355 	
-50 	488 	
50 	521 	
150 	510 	
250 	579 	
350 	692 	
450 	685 	
550 	715 	
650 	744 	
750 	780 	
850 	776 	
950 	781 	
1050 	708 	
1150 	633 	
1250 	640 	
1350 	602 	
1450 	562 	
1550 	487 	
1650 	450 	
1750 	428 	
1850 	365 	
1950 	293 	
2050 	299 	
2150 	288 	
2250 	266 	
2350 	297 	
2450 	380 	
2550 	494 	
2650 	604 	
2750 	656 	
2850 	663 	
2950 	646 	
3050 	573 	
3150 	445 	
3250 	316 	
3350 	188 	
3450 	115 	
3550 	69 	
3650 	52 	
3750 	57 	
3850 	37 	
3950 	53 	
4050 	36 	
4150 	38 	
4250 	42 	
4350 	42 	
4450 	40 	
4550 	43 	
4650 	33 	
4750 	43 	
4850 	32 	
4950 	45 	
5050 	41 	
5150 	42 	
5250 	35 	
5350 	35 	
5450 	37 	
5550 	37 	
5650 	34 	
5750 	33 	
5850 	32 	
5950 	26 	
6050 	30 	
6150 	29 	
6250 	26 	
6350 	31 	
6450 	22 	
6550 	24 	
6650 	37 	
6750 	50 	
6850 	40 	
6950 	44 	
7050 	43 	
7150 	43 	
7250 	52 	
7350 	57 	
7450 	43 	
7550 	57 	
7650 	45 	
7750 	44 	
7850 	31 	
7950 	24 	
8050 	20 	
8150 	19 	
8250 	15 	
8350 	6 	
8450 	5 	
8550 	4 	
8650 	0 	
8750 	2 	
8850 	1 	
8950 	1 	
9050 	0 	
9150 	1 	
9250 	2 	
9350 	1 	
9450 	1 	
9550 	1 	
9650 	0 	
9750 	0 	
9850 	0 	
9950 	1 	
10050 	1 	
10150 	1 	
10250 	0 	
10350 	0 	
10450 	0 	
10550 	0 	
10650 	0 	
10750 	0 	
10850 	0 	
10950 	0 	
11050 	1 	
11150 	0 	
11250 	1 	
11350 	0 	
11450 	1 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	0 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	0 	
13150 	0 	
13250 	1 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	1 	
14450 	1 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	1 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
