

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/05/2025 
Time:  	 10:57:40 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250512-T105739 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 2 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 7000 | 200 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	0 	
-4850 	1 	
-4750 	0 	
-4650 	1 	
-4550 	1 	
-4450 	1 	
-4350 	5 	
-4250 	7 	
-4150 	4 	
-4050 	13 	
-3950 	14 	
-3850 	6 	
-3750 	8 	
-3650 	6 	
-3550 	13 	
-3450 	9 	
-3350 	15 	
-3250 	9 	
-3150 	15 	
-3050 	12 	
-2950 	10 	
-2850 	8 	
-2750 	10 	
-2650 	18 	
-2550 	17 	
-2450 	16 	
-2350 	17 	
-2250 	19 	
-2150 	20 	
-2050 	15 	
-1950 	18 	
-1850 	24 	
-1750 	32 	
-1650 	27 	
-1550 	28 	
-1450 	32 	
-1350 	26 	
-1250 	27 	
-1150 	47 	
-1050 	36 	
-950 	30 	
-850 	40 	
-750 	33 	
-650 	46 	
-550 	33 	
-450 	43 	
-350 	46 	
-250 	53 	
-150 	52 	
-50 	43 	
50 	64 	
150 	50 	
250 	63 	
350 	54 	
450 	62 	
550 	61 	
650 	78 	
750 	63 	
850 	75 	
950 	60 	
1050 	79 	
1150 	80 	
1250 	94 	
1350 	84 	
1450 	85 	
1550 	87 	
1650 	85 	
1750 	109 	
1850 	109 	
1950 	98 	
2050 	108 	
2150 	103 	
2250 	122 	
2350 	100 	
2450 	119 	
2550 	117 	
2650 	106 	
2750 	93 	
2850 	117 	
2950 	94 	
3050 	87 	
3150 	89 	
3250 	127 	
3350 	82 	
3450 	101 	
3550 	101 	
3650 	103 	
3750 	86 	
3850 	82 	
3950 	87 	
4050 	93 	
4150 	82 	
4250 	87 	
4350 	82 	
4450 	96 	
4550 	93 	
4650 	87 	
4750 	92 	
4850 	92 	
4950 	92 	
5050 	94 	
5150 	87 	
5250 	83 	
5350 	89 	
