

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/05/2025 
Time:  	 11:23:15 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250512-T112315 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 2 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 7000 | 200 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	1 	
-4850 	1 	
-4750 	1 	
-4650 	0 	
-4550 	1 	
-4450 	6 	
-4350 	3 	
-4250 	5 	
-4150 	3 	
-4050 	4 	
-3950 	1 	
-3850 	8 	
-3750 	5 	
-3650 	3 	
-3550 	6 	
-3450 	13 	
-3350 	10 	
-3250 	12 	
-3150 	15 	
-3050 	10 	
-2950 	15 	
-2850 	15 	
-2750 	18 	
-2650 	18 	
-2550 	8 	
-2450 	19 	
-2350 	17 	
-2250 	28 	
-2150 	18 	
-2050 	29 	
-1950 	23 	
-1850 	19 	
-1750 	23 	
-1650 	18 	
-1550 	29 	
-1450 	26 	
-1350 	27 	
-1250 	26 	
-1150 	21 	
-1050 	34 	
-950 	28 	
-850 	27 	
-750 	34 	
-650 	47 	
-550 	41 	
-450 	27 	
-350 	47 	
-250 	37 	
-150 	47 	
-50 	38 	
50 	44 	
150 	50 	
250 	53 	
350 	64 	
450 	71 	
550 	57 	
650 	66 	
750 	75 	
850 	79 	
950 	66 	
1050 	92 	
1150 	85 	
1250 	82 	
1350 	96 	
1450 	94 	
1550 	95 	
1650 	89 	
1750 	94 	
1850 	100 	
1950 	121 	
2050 	101 	
2150 	120 	
2250 	97 	
2350 	103 	
2450 	109 	
2550 	91 	
2650 	103 	
2750 	111 	
2850 	112 	
2950 	96 	
3050 	84 	
3150 	91 	
3250 	92 	
3350 	98 	
3450 	115 	
3550 	86 	
3650 	85 	
3750 	89 	
3850 	100 	
3950 	84 	
4050 	105 	
4150 	86 	
4250 	97 	
4350 	83 	
4450 	98 	
4550 	87 	
4650 	90 	
4750 	84 	
4850 	93 	
4950 	83 	
5050 	82 	
5150 	82 	
5250 	76 	
5350 	92 	
5450 	89 	
5550 	84 	
5650 	73 	
5750 	78 	
5850 	83 	
5950 	87 	
6050 	79 	
6150 	84 	
6250 	76 	
6350 	73 	
6450 	97 	
6550 	75 	
6650 	73 	
6750 	81 	
6850 	73 	
6950 	76 	
7050 	76 	
7150 	84 	
7250 	74 	
7350 	62 	
7450 	85 	
7550 	72 	
7650 	80 	
7750 	67 	
7850 	65 	
7950 	67 	
8050 	62 	
8150 	59 	
8250 	73 	
8350 	73 	
8450 	57 	
8550 	64 	
8650 	59 	
8750 	65 	
8850 	70 	
8950 	53 	
9050 	71 	
9150 	73 	
9250 	66 	
9350 	65 	
9450 	57 	
9550 	52 	
9650 	55 	
9750 	60 	
9850 	49 	
9950 	48 	
10050 	47 	
10150 	54 	
10250 	48 	
10350 	61 	
10450 	56 	
10550 	35 	
10650 	67 	
10750 	51 	
10850 	54 	
10950 	43 	
11050 	55 	
11150 	47 	
11250 	49 	
11350 	39 	
11450 	41 	
11550 	42 	
11650 	42 	
11750 	37 	
11850 	32 	
11950 	39 	
12050 	44 	
12150 	34 	
12250 	43 	
12350 	36 	
12450 	35 	
12550 	51 	
12650 	37 	
12750 	42 	
12850 	39 	
12950 	26 	
13050 	41 	
13150 	43 	
13250 	28 	
13350 	34 	
13450 	35 	
13550 	29 	
13650 	29 	
13750 	27 	
13850 	25 	
13950 	31 	
14050 	27 	
14150 	27 	
14250 	27 	
14350 	16 	
14450 	34 	
14550 	20 	
14650 	21 	
14750 	17 	
14850 	20 	
14950 	30 	
15050 	17 	
15150 	14 	
15250 	19 	
15350 	16 	
15450 	17 	
15550 	16 	
15650 	12 	
15750 	12 	
15850 	15 	
15950 	14 	
16050 	17 	
16150 	19 	
16250 	20 	
16350 	17 	
16450 	17 	
16550 	12 	
16650 	12 	
16750 	7 	
16850 	16 	
16950 	22 	
17050 	19 	
17150 	11 	
17250 	12 	
17350 	16 	
17450 	20 	
17550 	13 	
17650 	10 	
17750 	14 	
17850 	12 	
17950 	15 	
18050 	12 	
18150 	9 	
18250 	15 	
18350 	17 	
18450 	11 	
18550 	23 	
18650 	15 	
18750 	14 	
18850 	11 	
18950 	24 	
19050 	10 	
19150 	16 	
19250 	20 	
19350 	25 	
19450 	25 	
19550 	22 	
19650 	23 	
19750 	18 	
19850 	24 	
19950 	23 	
20050 	30 	
20150 	25 	
20250 	22 	
20350 	30 	
20450 	24 	
20550 	28 	
20650 	23 	
20750 	20 	
20850 	28 	
20950 	39 	
21050 	26 	
21150 	25 	
21250 	22 	
21350 	30 	
21450 	22 	
21550 	31 	
21650 	29 	
21750 	31 	
21850 	27 	
21950 	28 	
22050 	29 	
22150 	21 	
22250 	20 	
22350 	22 	
22450 	23 	
22550 	22 	
22650 	24 	
22750 	10 	
22850 	21 	
22950 	9 	
23050 	6 	
23150 	13 	
23250 	10 	
23350 	9 	
23450 	5 	
23550 	6 	
23650 	9 	
23750 	10 	
23850 	10 	
23950 	7 	
24050 	5 	
24150 	5 	
24250 	8 	
24350 	4 	
24450 	6 	
24550 	5 	
24650 	4 	
24750 	6 	
24850 	3 	
24950 	7 	
25050 	1 	
25150 	5 	
25250 	3 	
25350 	2 	
25450 	1 	
25550 	4 	
25650 	2 	
25750 	1 	
25850 	4 	
25950 	4 	
26050 	6 	
26150 	4 	
26250 	5 	
26350 	3 	
26450 	6 	
26550 	4 	
26650 	7 	
26750 	4 	
26850 	3 	
26950 	4 	
27050 	3 	
27150 	3 	
27250 	4 	
27350 	5 	
27450 	4 	
27550 	2 	
27650 	6 	
27750 	5 	
27850 	6 	
27950 	7 	
28050 	4 	
28150 	3 	
28250 	4 	
28350 	2 	
28450 	0 	
28550 	4 	
28650 	1 	
28750 	2 	
28850 	5 	
28950 	5 	
29050 	5 	
29150 	4 	
29250 	5 	
29350 	3 	
29450 	1 	
29550 	7 	
29650 	3 	
29750 	3 	
29850 	3 	
29950 	2 	
30050 	5 	
30150 	3 	
30250 	2 	
30350 	6 	
30450 	3 	
30550 	8 	
30650 	5 	
30750 	8 	
30850 	4 	
30950 	5 	
31050 	1 	
31150 	3 	
31250 	4 	
31350 	4 	
31450 	1 	
31550 	3 	
31650 	3 	
31750 	2 	
31850 	3 	
31950 	7 	
32050 	4 	
32150 	2 	
32250 	4 	
32350 	6 	
32450 	3 	
32550 	4 	
32650 	4 	
32750 	7 	
32850 	5 	
32950 	2 	
33050 	2 	
33150 	5 	
33250 	2 	
33350 	5 	
33450 	1 	
33550 	6 	
33650 	5 	
33750 	5 	
33850 	5 	
33950 	4 	
34050 	2 	
34150 	2 	
34250 	3 	
34350 	1 	
34450 	3 	
34550 	6 	
34650 	2 	
34750 	5 	
34850 	5 	
34950 	4 	
35050 	1 	
35150 	1 	
35250 	2 	
35350 	3 	
35450 	3 	
35550 	2 	
35650 	3 	
35750 	7 	
35850 	9 	
35950 	6 	
36050 	1 	
36150 	3 	
36250 	3 	
36350 	5 	
36450 	4 	
36550 	1 	
36650 	4 	
36750 	1 	
36850 	2 	
36950 	8 	
37050 	5 	
37150 	3 	
37250 	0 	
37350 	1 	
37450 	4 	
37550 	1 	
37650 	1 	
37750 	3 	
37850 	5 	
37950 	4 	
38050 	2 	
38150 	3 	
38250 	2 	
38350 	1 	
38450 	7 	
38550 	4 	
38650 	3 	
38750 	3 	
38850 	2 	
38950 	1 	
39050 	2 	
39150 	3 	
39250 	8 	
39350 	5 	
39450 	3 	
39550 	6 	
39650 	0 	
39750 	3 	
39850 	3 	
39950 	3 	
40050 	0 	
40150 	3 	
40250 	0 	
40350 	2 	
40450 	6 	
40550 	0 	
40650 	2 	
40750 	0 	
40850 	1 	
40950 	2 	
41050 	2 	
41150 	4 	
41250 	1 	
41350 	1 	
41450 	1 	
41550 	3 	
41650 	2 	
41750 	0 	
41850 	0 	
41950 	5 	
42050 	1 	
42150 	3 	
42250 	0 	
42350 	0 	
42450 	5 	
42550 	3 	
42650 	4 	
42750 	1 	
42850 	1 	
42950 	0 	
43050 	2 	
43150 	0 	
43250 	2 	
43350 	3 	
43450 	2 	
43550 	2 	
43650 	1 	
43750 	3 	
43850 	2 	
43950 	2 	
44050 	1 	
44150 	1 	
44250 	0 	
44350 	3 	
44450 	1 	
44550 	1 	
44650 	2 	
44750 	3 	
44850 	0 	
44950 	1 	
