

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/05/2025 
Time:  	 11:33:32 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250505-T113331 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 696 | 112 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	3 	
-150 	18 	
-50 	56 	
50 	129 	
150 	178 	
250 	168 	
350 	144 	
450 	144 	
550 	169 	
650 	162 	
750 	141 	
850 	192 	
950 	200 	
1050 	243 	
1150 	261 	
1250 	303 	
1350 	328 	
1450 	329 	
1550 	302 	
1650 	319 	
1750 	387 	
1850 	366 	
1950 	410 	
2050 	438 	
2150 	468 	
2250 	409 	
2350 	441 	
2450 	477 	
2550 	475 	
2650 	433 	
2750 	518 	
2850 	503 	
2950 	455 	
3050 	461 	
3150 	489 	
3250 	480 	
3350 	485 	
3450 	492 	
3550 	485 	
3650 	489 	
3750 	496 	
3850 	479 	
3950 	472 	
4050 	486 	
4150 	493 	
4250 	473 	
4350 	486 	
4450 	492 	
4550 	499 	
4650 	489 	
4750 	518 	
4850 	524 	
4950 	470 	
5050 	505 	
5150 	527 	
5250 	576 	
5350 	548 	
5450 	560 	
5550 	580 	
5650 	611 	
5750 	637 	
5850 	628 	
5950 	665 	
6050 	670 	
6150 	678 	
6250 	723 	
6350 	784 	
6450 	758 	
6550 	836 	
6650 	815 	
6750 	819 	
6850 	836 	
6950 	925 	
7050 	864 	
7150 	853 	
7250 	825 	
7350 	853 	
7450 	840 	
7550 	857 	
7650 	922 	
7750 	845 	
7850 	913 	
7950 	885 	
8050 	876 	
8150 	893 	
8250 	855 	
8350 	906 	
8450 	933 	
8550 	900 	
8650 	830 	
8750 	892 	
8850 	863 	
8950 	842 	
9050 	856 	
9150 	836 	
9250 	859 	
9350 	885 	
9450 	876 	
9550 	785 	
9650 	866 	
9750 	850 	
9850 	853 	
9950 	836 	
10050 	808 	
10150 	799 	
10250 	856 	
10350 	885 	
10450 	851 	
10550 	870 	
10650 	843 	
10750 	842 	
10850 	839 	
10950 	843 	
11050 	876 	
11150 	896 	
11250 	831 	
11350 	908 	
11450 	855 	
11550 	823 	
11650 	819 	
11750 	800 	
11850 	826 	
11950 	813 	
12050 	809 	
12150 	807 	
12250 	875 	
12350 	717 	
12450 	775 	
12550 	749 	
12650 	766 	
12750 	751 	
12850 	745 	
12950 	730 	
13050 	774 	
13150 	722 	
13250 	709 	
13350 	665 	
13450 	638 	
13550 	674 	
13650 	604 	
13750 	644 	
13850 	599 	
13950 	615 	
14050 	614 	
14150 	600 	
14250 	556 	
14350 	568 	
14450 	537 	
14550 	496 	
14650 	529 	
14750 	502 	
14850 	520 	
14950 	477 	
15050 	485 	
15150 	468 	
15250 	391 	
15350 	443 	
15450 	428 	
15550 	430 	
15650 	430 	
15750 	392 	
15850 	391 	
15950 	338 	
16050 	379 	
16150 	364 	
16250 	331 	
16350 	323 	
16450 	336 	
16550 	301 	
16650 	312 	
16750 	266 	
16850 	264 	
16950 	288 	
17050 	248 	
17150 	244 	
17250 	217 	
17350 	216 	
17450 	228 	
17550 	224 	
17650 	232 	
17750 	220 	
17850 	197 	
17950 	190 	
18050 	176 	
18150 	168 	
18250 	174 	
18350 	161 	
18450 	156 	
18550 	142 	
18650 	119 	
18750 	136 	
18850 	133 	
18950 	121 	
19050 	129 	
19150 	116 	
19250 	105 	
19350 	106 	
19450 	99 	
19550 	97 	
19650 	96 	
19750 	89 	
19850 	80 	
19950 	74 	
20050 	84 	
20150 	69 	
20250 	53 	
20350 	61 	
20450 	56 	
20550 	58 	
20650 	62 	
20750 	43 	
20850 	52 	
20950 	45 	
21050 	45 	
21150 	50 	
21250 	36 	
21350 	27 	
21450 	28 	
21550 	25 	
21650 	39 	
21750 	34 	
21850 	23 	
21950 	20 	
22050 	18 	
22150 	20 	
22250 	26 	
22350 	24 	
22450 	20 	
22550 	20 	
22650 	13 	
22750 	18 	
22850 	9 	
22950 	15 	
23050 	13 	
23150 	13 	
23250 	13 	
23350 	16 	
23450 	13 	
23550 	15 	
23650 	12 	
23750 	12 	
23850 	7 	
23950 	11 	
24050 	9 	
24150 	9 	
24250 	3 	
24350 	13 	
24450 	6 	
24550 	2 	
24650 	4 	
24750 	4 	
24850 	5 	
24950 	6 	
25050 	6 	
25150 	4 	
25250 	5 	
25350 	7 	
25450 	3 	
25550 	11 	
25650 	5 	
25750 	6 	
25850 	7 	
25950 	2 	
26050 	4 	
26150 	4 	
26250 	5 	
26350 	0 	
26450 	3 	
26550 	1 	
26650 	3 	
26750 	2 	
26850 	1 	
26950 	1 	
27050 	1 	
27150 	1 	
27250 	0 	
27350 	0 	
27450 	1 	
27550 	0 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	0 	
28050 	0 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
31450 	0 	
