

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/05/2025 
Time:  	 12:07:15 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250512-T120715 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 2 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1304 | 152 | 4720 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	3 	
-850 	3 	
-750 	11 	
-650 	61 	
-550 	87 	
-450 	209 	
-350 	312 	
-250 	446 	
-150 	606 	
-50 	741 	
50 	957 	
150 	1105 	
250 	1201 	
350 	1258 	
450 	1362 	
550 	1428 	
650 	1600 	
750 	1836 	
850 	1915 	
950 	1932 	
1050 	1899 	
1150 	1707 	
1250 	1646 	
1350 	1407 	
1450 	1171 	
1550 	990 	
1650 	910 	
1750 	709 	
1850 	638 	
1950 	503 	
2050 	422 	
2150 	482 	
2250 	536 	
2350 	622 	
2450 	872 	
2550 	1188 	
2650 	1503 	
2750 	1800 	
2850 	1969 	
2950 	1949 	
3050 	1669 	
3150 	1302 	
3250 	835 	
3350 	429 	
3450 	224 	
3550 	150 	
3650 	82 	
3750 	99 	
3850 	77 	
3950 	81 	
4050 	92 	
4150 	84 	
4250 	78 	
4350 	79 	
4450 	70 	
4550 	106 	
4650 	74 	
4750 	86 	
4850 	115 	
4950 	81 	
5050 	79 	
5150 	108 	
5250 	97 	
5350 	87 	
5450 	114 	
5550 	87 	
5650 	98 	
5750 	90 	
5850 	87 	
5950 	94 	
6050 	69 	
6150 	70 	
6250 	61 	
6350 	69 	
6450 	52 	
6550 	56 	
6650 	78 	
6750 	93 	
6850 	109 	
6950 	120 	
7050 	137 	
7150 	133 	
7250 	153 	
7350 	147 	
7450 	124 	
7550 	115 	
7650 	132 	
7750 	106 	
7850 	87 	
7950 	70 	
8050 	52 	
8150 	36 	
8250 	14 	
8350 	11 	
8450 	3 	
8550 	5 	
8650 	1 	
8750 	3 	
8850 	3 	
8950 	0 	
9050 	0 	
9150 	0 	
9250 	1 	
9350 	1 	
9450 	1 	
9550 	0 	
9650 	0 	
9750 	1 	
9850 	0 	
9950 	0 	
10050 	0 	
10150 	1 	
10250 	0 	
10350 	0 	
10450 	0 	
10550 	0 	
10650 	0 	
10750 	0 	
10850 	1 	
10950 	0 	
11050 	1 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	1 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	1 	
12350 	1 	
12450 	0 	
12550 	0 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	1 	
13150 	0 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	1 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
