

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 12/06/2025 
Time:  	 11:05:58 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250612-T110558 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -6 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	12 	
-850 	22 	
-750 	67 	
-650 	116 	
-550 	199 	
-450 	292 	
-350 	413 	
-250 	516 	
-150 	661 	
-50 	802 	
50 	880 	
150 	1073 	
250 	1171 	
350 	1355 	
450 	1549 	
550 	1640 	
650 	1667 	
750 	1447 	
850 	1490 	
950 	1300 	
1050 	1149 	
1150 	934 	
1250 	739 	
1350 	636 	
1450 	572 	
1550 	497 	
1650 	519 	
1750 	666 	
1850 	858 	
1950 	1212 	
2050 	1395 	
2150 	1618 	
2250 	1621 	
2350 	1336 	
2450 	1016 	
2550 	617 	
2650 	345 	
2750 	200 	
2850 	116 	
2950 	87 	
3050 	83 	
3150 	83 	
3250 	93 	
3350 	66 	
3450 	66 	
3550 	101 	
3650 	97 	
3750 	99 	
3850 	80 	
3950 	92 	
4050 	92 	
4150 	89 	
4250 	90 	
4350 	88 	
4450 	87 	
4550 	80 	
4650 	55 	
4750 	85 	
4850 	71 	
4950 	68 	
5050 	71 	
5150 	91 	
5250 	93 	
5350 	117 	
5450 	129 	
5550 	106 	
5650 	123 	
5750 	135 	
5850 	104 	
5950 	93 	
6050 	111 	
6150 	67 	
6250 	45 	
6350 	32 	
6450 	23 	
6550 	14 	
6650 	5 	
6750 	9 	
6850 	2 	
6950 	2 	
7050 	2 	
7150 	1 	
7250 	0 	
7350 	1 	
7450 	0 	
7550 	1 	
7650 	2 	
7750 	1 	
7850 	0 	
7950 	1 	
8050 	0 	
8150 	1 	
8250 	2 	
8350 	0 	
8450 	0 	
8550 	0 	
8650 	0 	
8750 	0 	
8850 	0 	
8950 	0 	
9050 	0 	
9150 	0 	
9250 	0 	
9350 	0 	
9450 	0 	
9550 	0 	
9650 	0 	
9750 	0 	
9850 	0 	
9950 	0 	
10050 	0 	
10150 	0 	
10250 	0 	
10350 	0 	
10450 	0 	
10550 	0 	
10650 	0 	
10750 	0 	
10850 	0 	
10950 	0 	
11050 	0 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	0 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	0 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	0 	
13150 	0 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	1 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	1 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	1 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
