

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 11:42:09 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T114208 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 152 | 6384 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	1 	
-750 	2 	
-650 	8 	
-550 	11 	
-450 	36 	
-350 	49 	
-250 	38 	
-150 	74 	
-50 	88 	
50 	126 	
150 	113 	
250 	114 	
350 	109 	
450 	113 	
550 	76 	
650 	92 	
750 	80 	
850 	65 	
950 	57 	
1050 	53 	
1150 	60 	
1250 	40 	
1350 	42 	
1450 	40 	
1550 	25 	
1650 	34 	
1750 	18 	
1850 	21 	
1950 	28 	
2050 	11 	
2150 	18 	
2250 	10 	
2350 	6 	
2450 	15 	
2550 	6 	
2650 	10 	
2750 	11 	
2850 	8 	
2950 	12 	
3050 	5 	
3150 	3 	
3250 	4 	
3350 	2 	
3450 	3 	
3550 	2 	
3650 	8 	
3750 	4 	
3850 	3 	
3950 	6 	
4050 	2 	
4150 	3 	
4250 	0 	
4350 	3 	
4450 	2 	
4550 	3 	
4650 	2 	
4750 	1 	
4850 	2 	
4950 	1 	
5050 	3 	
5150 	0 	
5250 	0 	
5350 	2 	
5450 	1 	
5550 	1 	
5650 	0 	
5750 	1 	
5850 	1 	
5950 	3 	
6050 	4 	
6150 	1 	
6250 	1 	
6350 	1 	
6450 	1 	
6550 	3 	
6650 	2 	
6750 	1 	
6850 	1 	
6950 	0 	
7050 	2 	
7150 	0 	
7250 	1 	
7350 	2 	
7450 	0 	
7550 	1 	
7650 	2 	
7750 	1 	
7850 	1 	
7950 	0 	
8050 	0 	
8150 	0 	
8250 	1 	
8350 	1 	
8450 	1 	
8550 	0 	
8650 	0 	
8750 	0 	
8850 	0 	
8950 	1 	
9050 	0 	
9150 	0 	
9250 	0 	
9350 	1 	
9450 	1 	
9550 	0 	
9650 	0 	
9750 	0 	
9850 	0 	
9950 	0 	
10050 	0 	
10150 	0 	
10250 	1 	
10350 	0 	
10450 	0 	
10550 	0 	
10650 	1 	
10750 	0 	
10850 	1 	
10950 	0 	
11050 	0 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	0 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	0 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	1 	
13150 	0 	
13250 	1 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	1 	
14250 	1 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	1 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	1 	
15150 	1 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	1 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
