

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 28/04/2025 
Time:  	 09:55:25 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250428-T095525 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-975 	1 	
-925 	2 	
-875 	3 	
-825 	11 	
-775 	11 	
-725 	16 	
-675 	24 	
-625 	29 	
-575 	40 	
-525 	54 	
-475 	61 	
-425 	62 	
-375 	89 	
-325 	111 	
-275 	118 	
-225 	151 	
-175 	151 	
-125 	201 	
-75 	229 	
-25 	283 	
25 	322 	
75 	387 	
125 	430 	
175 	496 	
225 	594 	
275 	625 	
325 	762 	
375 	843 	
425 	854 	
475 	811 	
525 	700 	
575 	599 	
625 	470 	
675 	323 	
725 	196 	
775 	136 	
825 	86 	
875 	67 	
925 	41 	
975 	31 	
1025 	40 	
1075 	35 	
1125 	37 	
1175 	28 	
1225 	34 	
1275 	21 	
1325 	22 	
1375 	22 	
1425 	16 	
1475 	17 	
1525 	10 	
1575 	23 	
1625 	15 	
1675 	23 	
1725 	16 	
1775 	12 	
1825 	15 	
1875 	12 	
1925 	12 	
1975 	11 	
2025 	7 	
2075 	9 	
2125 	8 	
2175 	5 	
2225 	6 	
2275 	3 	
2325 	3 	
2375 	5 	
2425 	5 	
2475 	8 	
2525 	5 	
2575 	3 	
2625 	4 	
2675 	7 	
2725 	8 	
2775 	3 	
2825 	5 	
2875 	4 	
2925 	8 	
2975 	6 	
3025 	5 	
3075 	5 	
3125 	3 	
3175 	2 	
3225 	1 	
3275 	7 	
3325 	1 	
3375 	6 	
3425 	2 	
3475 	0 	
3525 	1 	
3575 	1 	
3625 	4 	
3675 	2 	
3725 	2 	
3775 	2 	
3825 	2 	
3875 	3 	
3925 	3 	
3975 	2 	
4025 	2 	
4075 	1 	
4125 	1 	
4175 	3 	
4225 	3 	
4275 	2 	
4325 	3 	
4375 	2 	
4425 	1 	
4475 	2 	
4525 	3 	
4575 	0 	
4625 	4 	
4675 	1 	
4725 	3 	
4775 	0 	
4825 	2 	
4875 	1 	
4925 	2 	
4975 	2 	
5025 	1 	
5075 	0 	
5125 	4 	
5175 	0 	
5225 	1 	
5275 	1 	
5325 	0 	
5375 	1 	
5425 	3 	
5475 	0 	
5525 	2 	
5575 	0 	
5625 	3 	
5675 	2 	
5725 	0 	
5775 	1 	
5825 	0 	
5875 	0 	
5925 	0 	
5975 	3 	
6025 	0 	
6075 	1 	
6125 	0 	
6175 	1 	
6225 	0 	
6275 	1 	
6325 	0 	
6375 	1 	
6425 	0 	
6475 	0 	
6525 	2 	
6575 	0 	
6625 	0 	
6675 	3 	
6725 	0 	
6775 	0 	
6825 	1 	
6875 	2 	
6925 	0 	
6975 	0 	
7025 	2 	
7075 	2 	
7125 	0 	
7175 	0 	
7225 	0 	
7275 	0 	
7325 	0 	
7375 	0 	
7425 	0 	
7475 	0 	
7525 	0 	
7575 	0 	
7625 	0 	
7675 	0 	
7725 	1 	
7775 	0 	
7825 	1 	
7875 	0 	
7925 	0 	
7975 	0 	
8025 	2 	
8075 	1 	
8125 	1 	
8175 	0 	
8225 	0 	
8275 	0 	
8325 	0 	
8375 	0 	
8425 	1 	
8475 	0 	
8525 	0 	
8575 	0 	
8625 	1 	
8675 	1 	
8725 	0 	
8775 	1 	
8825 	0 	
8875 	0 	
8925 	0 	
8975 	0 	
