

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 11:31:05 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T113104 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 152 | 6384 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	6 	
-850 	19 	
-750 	68 	
-650 	154 	
-550 	256 	
-450 	468 	
-350 	575 	
-250 	912 	
-150 	1230 	
-50 	1620 	
50 	1991 	
150 	2441 	
250 	2714 	
350 	3015 	
450 	3238 	
550 	3436 	
650 	3604 	
750 	4032 	
850 	4432 	
950 	4727 	
1050 	4746 	
1150 	4461 	
1250 	4246 	
1350 	3770 	
1450 	3388 	
1550 	3178 	
1650 	2951 	
1750 	2627 	
1850 	2393 	
1950 	2209 	
2050 	1978 	
2150 	1662 	
2250 	1568 	
2350 	1455 	
2450 	1584 	
2550 	1868 	
2650 	2410 	
2750 	3206 	
2850 	4337 	
2950 	5520 	
3050 	6634 	
3150 	7571 	
3250 	7650 	
3350 	7136 	
3450 	5983 	
3550 	4398 	
3650 	2762 	
3750 	1534 	
3850 	840 	
3950 	532 	
4050 	402 	
4150 	374 	
4250 	393 	
4350 	345 	
4450 	335 	
4550 	360 	
4650 	336 	
4750 	346 	
4850 	336 	
4950 	366 	
5050 	357 	
5150 	336 	
5250 	352 	
5350 	391 	
5450 	378 	
5550 	369 	
5650 	360 	
5750 	388 	
5850 	382 	
5950 	371 	
6050 	376 	
6150 	346 	
6250 	321 	
6350 	358 	
6450 	320 	
6550 	314 	
6650 	280 	
6750 	294 	
6850 	270 	
6950 	260 	
7050 	265 	
7150 	258 	
7250 	305 	
7350 	332 	
7450 	354 	
7550 	421 	
7650 	465 	
7750 	503 	
7850 	562 	
7950 	574 	
8050 	570 	
8150 	588 	
8250 	522 	
8350 	456 	
8450 	432 	
8550 	371 	
8650 	319 	
8750 	220 	
8850 	144 	
8950 	86 	
9050 	73 	
9150 	37 	
9250 	22 	
9350 	7 	
9450 	16 	
9550 	9 	
9650 	4 	
9750 	7 	
9850 	7 	
9950 	6 	
10050 	5 	
10150 	5 	
10250 	5 	
10350 	5 	
10450 	5 	
10550 	2 	
10650 	1 	
10750 	6 	
10850 	1 	
10950 	1 	
11050 	2 	
11150 	3 	
11250 	5 	
11350 	4 	
11450 	4 	
11550 	5 	
11650 	4 	
11750 	0 	
11850 	1 	
11950 	1 	
12050 	2 	
12150 	0 	
12250 	0 	
12350 	2 	
12450 	0 	
12550 	1 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	0 	
13150 	0 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	1 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	1 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	1 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
