Time,V
-3.3200E-07,1.4648636103E-03
-3.3100E-07,1.4635774851E-03
-3.3000E-07,1.4599752665E-03
-3.2900E-07,1.4531044245E-03
-3.2800E-07,1.4646530390E-03
-3.2700E-07,1.4485567331E-03
-3.2600E-07,1.4666942835E-03
-3.2500E-07,1.4640459299E-03
-3.2400E-07,1.4540598154E-03
-3.2300E-07,1.4551002741E-03
-3.2200E-07,1.4435617685E-03
-3.2100E-07,1.4614050150E-03
-3.2000E-07,1.4406635523E-03
-3.1900E-07,1.4490844965E-03
-3.1800E-07,1.4614626169E-03
-3.1700E-07,1.4525877237E-03
-3.1600E-07,1.4498317957E-03
-3.1500E-07,1.4718693018E-03
-3.1400E-07,1.4500482798E-03
-3.1300E-07,1.4545416117E-03
-3.1200E-07,1.4418827295E-03
-3.1100E-07,1.4566612482E-03
-3.1000E-07,1.4549833536E-03
-3.0900E-07,1.4628349543E-03
-3.0800E-07,1.4507763147E-03
-3.0700E-07,1.4582050562E-03
-3.0600E-07,1.4566547632E-03
-3.0500E-07,1.4504825830E-03
-3.0400E-07,1.4714740992E-03
-3.0300E-07,1.4631218195E-03
-3.0200E-07,1.4662777185E-03
-3.0100E-07,1.4481029749E-03
-3.0000E-07,1.4761663675E-03
-2.9900E-07,1.4595648050E-03
-2.9800E-07,1.4634954691E-03
-2.9700E-07,1.4544971704E-03
-2.9600E-07,1.4609195948E-03
-2.9500E-07,1.4665935755E-03
-2.9400E-07,1.4645738840E-03
-2.9300E-07,1.4505851984E-03
-2.9200E-07,1.4581390619E-03
-2.9100E-07,1.4381309748E-03
-2.9000E-07,1.4605406046E-03
-2.8900E-07,1.4678085566E-03
-2.8800E-07,1.4653558969E-03
-2.8700E-07,1.4523947001E-03
-2.8600E-07,1.4687973261E-03
-2.8500E-07,1.4504987955E-03
-2.8400E-07,1.4654197931E-03
-2.8300E-07,1.4688884974E-03
-2.8200E-07,1.4689533472E-03
-2.8100E-07,1.4520918131E-03
-2.8000E-07,1.4570165873E-03
-2.7900E-07,1.4627044916E-03
-2.7800E-07,1.4630272150E-03
-2.7700E-07,1.4501400232E-03
-2.7600E-07,1.4557958841E-03
-2.7500E-07,1.4592771769E-03
-2.7400E-07,1.4679565668E-03
-2.7300E-07,1.4568109751E-03
-2.7200E-07,1.4537077188E-03
-2.7100E-07,1.4646330118E-03
-2.7000E-07,1.4695415735E-03
-2.6900E-07,1.4591224909E-03
-2.6800E-07,1.4743492365E-03
-2.6700E-07,1.4489219904E-03
-2.6600E-07,1.4526561975E-03
-2.6500E-07,1.4548027277E-03
-2.6400E-07,1.4634525537E-03
-2.6300E-07,1.4687935114E-03
