Time,V
-3.3200E-07,1.4496002436E-03
-3.3100E-07,1.4454830408E-03
-3.3000E-07,1.4538286448E-03
-3.2900E-07,1.4505954981E-03
-3.2800E-07,1.4584617853E-03
-3.2700E-07,1.4720699549E-03
-3.2600E-07,1.4466728449E-03
-3.2500E-07,1.4508369684E-03
-3.2400E-07,1.4621258020E-03
-3.2300E-07,1.4614752054E-03
-3.2200E-07,1.4567751169E-03
-3.2100E-07,1.4736578226E-03
-3.2000E-07,1.4554144144E-03
-3.1900E-07,1.4500309229E-03
-3.1800E-07,1.4464863062E-03
-3.1700E-07,1.4483934641E-03
-3.1600E-07,1.4531046152E-03
-3.1500E-07,1.4573728800E-03
-3.1400E-07,1.4458641291E-03
-3.1300E-07,1.4562912226E-03
-3.1200E-07,1.4562618494E-03
-3.1100E-07,1.4411550760E-03
-3.1000E-07,1.4494590998E-03
-3.0900E-07,1.4563223124E-03
-3.0800E-07,1.4554149866E-03
-3.0700E-07,1.4491894007E-03
-3.0600E-07,1.4603229761E-03
-3.0500E-07,1.4481746912E-03
-3.0400E-07,1.4344564676E-03
-3.0300E-07,1.4495073557E-03
-3.0200E-07,1.4270757914E-03
-3.0100E-07,1.4507166147E-03
-3.0000E-07,1.4530153513E-03
-2.9900E-07,1.4563169718E-03
-2.9800E-07,1.4529730082E-03
-2.9700E-07,1.4532577753E-03
-2.9600E-07,1.4540476084E-03
-2.9500E-07,1.4448034525E-03
-2.9400E-07,1.4301532984E-03
-2.9300E-07,1.4548238993E-03
-2.9200E-07,1.4416481256E-03
-2.9100E-07,1.4387613535E-03
-2.9000E-07,1.4319135904E-03
-2.8900E-07,1.4517803431E-03
-2.8800E-07,1.4440086603E-03
-2.8700E-07,1.4522608042E-03
-2.8600E-07,1.4342891932E-03
-2.8500E-07,1.4373714685E-03
-2.8400E-07,1.4521776438E-03
-2.8300E-07,1.4404529810E-03
-2.8200E-07,1.4513939142E-03
-2.8100E-07,1.4491770029E-03
-2.8000E-07,1.4473646402E-03
-2.7900E-07,1.4497186899E-03
-2.7800E-07,1.4288051844E-03
-2.7700E-07,1.4538982630E-03
-2.7600E-07,1.4279812098E-03
-2.7500E-07,1.4472027063E-03
-2.7400E-07,1.4332575083E-03
-2.7300E-07,1.4421163797E-03
-2.7200E-07,1.4301191568E-03
-2.7100E-07,1.4540935755E-03
-2.7000E-07,1.4525644541E-03
-2.6900E-07,1.4549061060E-03
-2.6800E-07,1.4451708078E-03
-2.6700E-07,1.4501610041E-03
-2.6600E-07,1.4474172831E-03
-2.6500E-07,1.4479978800E-03
-2.6400E-07,1.4552028894E-03
