Time,V
-1.0700E-06,1.7331128716E-03
-1.0690E-06,1.7694259286E-03
-1.0680E-06,1.7166371942E-03
-1.0670E-06,1.7596021295E-03
-1.0660E-06,1.7354965806E-03
-1.0650E-06,1.7605586648E-03
-1.0640E-06,1.7581759095E-03
-1.0630E-06,1.7483187318E-03
-1.0620E-06,1.7368808389E-03
-1.0610E-06,1.7492480874E-03
-1.0600E-06,1.7331290841E-03
-1.0590E-06,1.7535796762E-03
-1.0580E-06,1.7409487367E-03
-1.0570E-06,1.7666173577E-03
-1.0560E-06,1.7372732759E-03
-1.0550E-06,1.7685685754E-03
-1.0540E-06,1.7546301484E-03
-1.0530E-06,1.7433524728E-03
-1.0520E-06,1.7339435220E-03
-1.0510E-06,1.7516265512E-03
-1.0500E-06,1.7597852349E-03
-1.0490E-06,1.7600446343E-03
-1.0480E-06,1.7344494462E-03
-1.0470E-06,1.7330155969E-03
-1.0460E-06,1.7693148255E-03
-1.0450E-06,1.7549539208E-03
-1.0440E-06,1.7498975396E-03
-1.0430E-06,1.7526412606E-03
-1.0420E-06,1.7412591577E-03
-1.0410E-06,1.7552261949E-03
-1.0400E-06,1.7452726960E-03
-1.0390E-06,1.7550025582E-03
-1.0380E-06,1.7377591729E-03
-1.0370E-06,1.7354765534E-03
-1.0360E-06,1.7421723008E-03
-1.0350E-06,1.7465396523E-03
-1.0340E-06,1.7617598176E-03
-1.0330E-06,1.7471080422E-03
-1.0320E-06,1.7337833047E-03
-1.0310E-06,1.7476363778E-03
-1.0300E-06,1.7402988076E-03
-1.0290E-06,1.7678747773E-03
-1.0280E-06,1.7631946206E-03
-1.0270E-06,1.7529612184E-03
-1.0260E-06,1.7534261346E-03
-1.0250E-06,1.7514534593E-03
-1.0240E-06,1.7420311570E-03
-1.0230E-06,1.7661080956E-03
-1.0220E-06,1.7290058732E-03
-1.0210E-06,1.7553845048E-03
-1.0200E-06,1.7415295243E-03
-1.0190E-06,1.7553301454E-03
-1.0180E-06,1.7388325334E-03
-1.0170E-06,1.7461557984E-03
-1.0160E-06,1.7401600480E-03
-1.0150E-06,1.7545433640E-03
-1.0140E-06,1.7323442101E-03
-1.0130E-06,1.7488093972E-03
-1.0120E-06,1.7353664041E-03
-1.0110E-06,1.7560802102E-03
-1.0100E-06,1.7309032083E-03
-1.0090E-06,1.7368760705E-03
-1.0080E-06,1.7428985238E-03
-1.0070E-06,1.7583814263E-03
-1.0060E-06,1.7456050515E-03
-1.0050E-06,1.7348762155E-03
-1.0040E-06,1.7254148126E-03
-1.0030E-06,1.7185636163E-03
-1.0020E-06,1.7439799905E-03
-1.0010E-06,1.7566815019E-03
-1.0000E-06,1.7434116006E-03
-9.9900E-07,1.7649903893E-03
-9.9800E-07,1.7527518868E-03
-9.9700E-07,1.7603402734E-03
-9.9600E-07,1.7432723641E-03
-9.9500E-07,1.7635746598E-03
-9.9400E-07,1.7302876115E-03
-9.9300E-07,1.7722902894E-03
-9.9200E-07,1.7489491105E-03
-9.9100E-07,1.7475934625E-03
-9.9000E-07,1.7549248338E-03
-9.8900E-07,1.7610335946E-03
-9.8800E-07,1.7413044572E-03
-9.8700E-07,1.7493029237E-03
-9.8600E-07,1.7451897264E-03
-9.8500E-07,1.7357421517E-03
-9.8400E-07,1.7353926301E-03
-9.8300E-07,1.7484145761E-03
-9.8200E-07,1.7393432260E-03
-9.8100E-07,1.7472091317E-03
-9.8000E-07,1.7455740571E-03
-9.7900E-07,1.7552080750E-03
-9.7800E-07,1.7575278878E-03
-9.7700E-07,1.7398839593E-03
-9.7600E-07,1.7442989945E-03
-9.7500E-07,1.7589717507E-03
-9.7400E-07,1.7469244599E-03
-9.7300E-07,1.7577410340E-03
-9.7200E-07,1.7486596704E-03
-9.7100E-07,1.7573605180E-03
