in s,CH2 in V
-1.0700E-06,2.0104909539E-03
-1.0690E-06,2.0056481957E-03
-1.0680E-06,1.9986882806E-03
-1.0670E-06,2.0237928033E-03
-1.0660E-06,2.0236321092E-03
-1.0650E-06,2.0062442422E-03
-1.0640E-06,2.0076232553E-03
-1.0630E-06,1.9773474336E-03
-1.0620E-06,1.9955282807E-03
-1.0610E-06,1.9970198274E-03
-1.0600E-06,2.0029416680E-03
-1.0590E-06,2.0103068948E-03
-1.0580E-06,2.0118446946E-03
-1.0570E-06,2.0084753633E-03
-1.0560E-06,2.0028687119E-03
-1.0550E-06,2.0002070069E-03
-1.0540E-06,2.0060196519E-03
-1.0530E-06,2.0029683709E-03
-1.0520E-06,1.9968901277E-03
-1.0510E-06,2.0144405961E-03
-1.0500E-06,1.9961844087E-03
-1.0490E-06,1.9964738488E-03
-1.0480E-06,2.0008483529E-03
-1.0470E-06,2.0139752030E-03
-1.0460E-06,1.9754405618E-03
-1.0450E-06,1.9974246621E-03
-1.0440E-06,1.9999642968E-03
-1.0430E-06,2.0140414834E-03
-1.0420E-06,2.0080562234E-03
-1.0410E-06,2.0069208741E-03
-1.0400E-06,2.0141196847E-03
-1.0390E-06,1.9940724969E-03
-1.0380E-06,2.0151334405E-03
-1.0370E-06,1.9929471612E-03
-1.0360E-06,1.9990997911E-03
-1.0350E-06,1.9915834069E-03
-1.0340E-06,1.9900403619E-03
-1.0330E-06,1.9929905534E-03
-1.0320E-06,1.9816060662E-03
-1.0310E-06,1.9904423356E-03
-1.0300E-06,1.9812222123E-03
-1.0290E-06,1.9936309457E-03
-1.0280E-06,1.9822240472E-03
-1.0270E-06,1.9836698174E-03
-1.0260E-06,1.9840441346E-03
-1.0250E-06,1.9909091592E-03
-1.0240E-06,1.9966025949E-03
-1.0230E-06,2.0128913522E-03
-1.0220E-06,1.9991431832E-03
-1.0210E-06,2.0022302270E-03
-1.0200E-06,2.0095091462E-03
-1.0190E-06,2.0001278520E-03
-1.0180E-06,2.0077968240E-03
-1.0170E-06,2.0072918534E-03
-1.0160E-06,2.0091868043E-03
-1.0150E-06,2.0117903352E-03
-1.0140E-06,1.9945564866E-03
-1.0130E-06,1.9978213906E-03
-1.0120E-06,1.9995604157E-03
-1.0110E-06,1.9958701730E-03
-1.0100E-06,1.9876242280E-03
-1.0090E-06,1.9883418679E-03
-1.0080E-06,2.0089502931E-03
-1.0070E-06,1.9801760316E-03
-1.0060E-06,2.0066333413E-03
-1.0050E-06,2.0040512681E-03
-1.0040E-06,2.0010557771E-03
-1.0030E-06,2.0064888597E-03
-1.0020E-06,1.9978986382E-03
-1.0010E-06,2.0076704621E-03
-1.0000E-06,1.9912462831E-03
-9.9900E-07,2.0068874955E-03
-9.9800E-07,1.9904308915E-03
-9.9700E-07,2.0134797692E-03
-9.9600E-07,1.9869232774E-03
-9.9500E-07,1.9909301400E-03
-9.9400E-07,1.9786687493E-03
-9.9300E-07,2.0010576844E-03
-9.9200E-07,1.9771314263E-03
-9.9100E-07,1.9857702851E-03
