

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 09:36:11 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T093610 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 7000 | 200 | 11104 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	2 	
-4850 	0 	
-4750 	0 	
-4650 	0 	
-4550 	0 	
-4450 	1 	
-4350 	1 	
-4250 	0 	
-4150 	2 	
-4050 	0 	
-3950 	1 	
-3850 	1 	
-3750 	1 	
-3650 	2 	
-3550 	2 	
-3450 	7 	
-3350 	0 	
-3250 	4 	
-3150 	1 	
-3050 	1 	
-2950 	5 	
-2850 	4 	
-2750 	2 	
-2650 	1 	
-2550 	3 	
-2450 	4 	
-2350 	6 	
-2250 	7 	
-2150 	4 	
-2050 	3 	
-1950 	7 	
-1850 	6 	
-1750 	6 	
-1650 	5 	
-1550 	8 	
-1450 	6 	
-1350 	14 	
-1250 	10 	
-1150 	14 	
-1050 	11 	
-950 	16 	
-850 	11 	
-750 	14 	
-650 	17 	
-550 	14 	
-450 	16 	
-350 	20 	
-250 	26 	
-150 	15 	
-50 	25 	
50 	26 	
150 	21 	
250 	26 	
350 	31 	
450 	25 	
550 	28 	
650 	24 	
750 	37 	
850 	26 	
950 	35 	
1050 	30 	
1150 	33 	
1250 	26 	
1350 	18 	
1450 	38 	
1550 	30 	
1650 	25 	
1750 	33 	
1850 	27 	
1950 	28 	
2050 	28 	
2150 	24 	
2250 	22 	
2350 	20 	
2450 	23 	
2550 	21 	
2650 	26 	
2750 	22 	
2850 	25 	
2950 	19 	
3050 	25 	
3150 	19 	
3250 	18 	
3350 	13 	
3450 	16 	
3550 	21 	
3650 	16 	
3750 	17 	
3850 	13 	
3950 	17 	
4050 	12 	
4150 	10 	
4250 	15 	
4350 	8 	
4450 	14 	
4550 	15 	
4650 	7 	
4750 	9 	
4850 	10 	
4950 	7 	
5050 	13 	
5150 	11 	
5250 	8 	
5350 	7 	
5450 	14 	
5550 	10 	
5650 	8 	
5750 	3 	
5850 	7 	
5950 	6 	
6050 	7 	
6150 	6 	
6250 	8 	
6350 	3 	
6450 	5 	
6550 	7 	
6650 	6 	
6750 	5 	
6850 	4 	
6950 	3 	
7050 	3 	
7150 	5 	
7250 	3 	
7350 	7 	
7450 	2 	
7550 	4 	
7650 	0 	
7750 	4 	
7850 	5 	
7950 	3 	
8050 	3 	
8150 	3 	
8250 	2 	
8350 	1 	
8450 	2 	
8550 	3 	
8650 	0 	
8750 	3 	
8850 	2 	
8950 	1 	
9050 	0 	
9150 	2 	
9250 	0 	
9350 	0 	
9450 	3 	
9550 	0 	
9650 	0 	
9750 	2 	
9850 	1 	
9950 	0 	
10050 	1 	
10150 	0 	
10250 	2 	
