

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 12:27:08 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T122707 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -15,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5008 | 152 | 6384 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	23 	
-850 	30 	
-750 	23 	
-650 	29 	
-550 	23 	
-450 	21 	
-350 	25 	
-250 	24 	
-150 	21 	
-50 	26 	
50 	24 	
150 	25 	
250 	24 	
350 	22 	
450 	27 	
550 	16 	
650 	27 	
750 	15 	
850 	41 	
950 	39 	
1050 	47 	
1150 	28 	
1250 	42 	
1350 	47 	
1450 	47 	
1550 	66 	
1650 	55 	
1750 	83 	
1850 	79 	
1950 	69 	
2050 	94 	
2150 	94 	
2250 	68 	
2350 	120 	
2450 	129 	
2550 	139 	
2650 	128 	
2750 	140 	
2850 	177 	
2950 	204 	
3050 	238 	
3150 	238 	
3250 	267 	
3350 	235 	
3450 	270 	
3550 	292 	
3650 	290 	
3750 	251 	
3850 	256 	
3950 	209 	
4050 	224 	
4150 	263 	
4250 	260 	
4350 	299 	
4450 	312 	
4550 	324 	
4650 	388 	
4750 	479 	
4850 	508 	
4950 	568 	
5050 	624 	
5150 	616 	
5250 	662 	
5350 	666 	
5450 	574 	
5550 	556 	
5650 	537 	
5750 	443 	
5850 	345 	
5950 	312 	
6050 	210 	
6150 	204 	
6250 	121 	
6350 	102 	
6450 	63 	
6550 	67 	
6650 	45 	
6750 	38 	
6850 	32 	
6950 	24 	
7050 	15 	
7150 	18 	
7250 	10 	
7350 	11 	
7450 	14 	
7550 	10 	
7650 	9 	
7750 	6 	
7850 	8 	
7950 	6 	
8050 	5 	
8150 	8 	
8250 	7 	
8350 	6 	
8450 	9 	
8550 	10 	
8650 	10 	
8750 	5 	
8850 	5 	
8950 	4 	
9050 	6 	
9150 	4 	
9250 	6 	
9350 	6 	
9450 	3 	
9550 	3 	
9650 	5 	
9750 	5 	
9850 	4 	
9950 	4 	
10050 	3 	
10150 	5 	
10250 	4 	
10350 	5 	
10450 	3 	
10550 	5 	
10650 	1 	
10750 	2 	
10850 	3 	
10950 	7 	
11050 	6 	
11150 	7 	
11250 	2 	
11350 	5 	
11450 	5 	
11550 	1 	
11650 	3 	
11750 	1 	
11850 	1 	
11950 	6 	
12050 	2 	
12150 	2 	
12250 	2 	
12350 	3 	
12450 	4 	
12550 	2 	
12650 	0 	
12750 	1 	
12850 	2 	
12950 	2 	
13050 	3 	
13150 	2 	
13250 	2 	
13350 	2 	
13450 	3 	
13550 	1 	
13650 	3 	
13750 	1 	
13850 	1 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	1 	
14450 	1 	
14550 	1 	
14650 	2 	
14750 	1 	
14850 	3 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	2 	
15350 	1 	
15450 	0 	
15550 	2 	
15650 	1 	
15750 	0 	
15850 	2 	
15950 	1 	
16050 	1 	
16150 	2 	
16250 	1 	
16350 	2 	
16450 	0 	
16550 	0 	
16650 	0 	
16750 	1 	
16850 	1 	
16950 	3 	
17050 	1 	
17150 	1 	
17250 	1 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	1 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	1 	
18350 	0 	
18450 	0 	
18550 	2 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
