

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 09:49:10 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T094910 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 7000 | 200 | 11104 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	1 	
-4850 	4 	
-4750 	13 	
-4650 	8 	
-4550 	21 	
-4450 	10 	
-4350 	14 	
-4250 	25 	
-4150 	34 	
-4050 	52 	
-3950 	50 	
-3850 	47 	
-3750 	63 	
-3650 	65 	
-3550 	67 	
-3450 	108 	
-3350 	95 	
-3250 	104 	
-3150 	90 	
-3050 	108 	
-2950 	103 	
-2850 	130 	
-2750 	121 	
-2650 	134 	
-2550 	143 	
-2450 	128 	
-2350 	173 	
-2250 	164 	
-2150 	188 	
-2050 	175 	
-1950 	165 	
-1850 	215 	
-1750 	211 	
-1650 	215 	
-1550 	232 	
-1450 	241 	
-1350 	248 	
-1250 	276 	
-1150 	279 	
-1050 	260 	
-950 	298 	
-850 	317 	
-750 	351 	
-650 	351 	
-550 	320 	
-450 	356 	
-350 	371 	
-250 	420 	
-150 	347 	
-50 	432 	
50 	395 	
150 	491 	
250 	446 	
350 	485 	
450 	488 	
550 	514 	
650 	514 	
750 	500 	
850 	517 	
950 	466 	
1050 	479 	
1150 	502 	
1250 	508 	
1350 	522 	
1450 	513 	
1550 	538 	
1650 	545 	
1750 	517 	
1850 	545 	
1950 	564 	
2050 	585 	
2150 	582 	
2250 	607 	
2350 	612 	
2450 	612 	
2550 	590 	
2650 	593 	
2750 	612 	
2850 	648 	
2950 	654 	
3050 	641 	
3150 	636 	
3250 	672 	
3350 	657 	
3450 	651 	
3550 	732 	
3650 	688 	
3750 	749 	
3850 	709 	
3950 	733 	
4050 	767 	
4150 	805 	
4250 	799 	
4350 	824 	
4450 	851 	
4550 	870 	
4650 	858 	
4750 	874 	
4850 	927 	
4950 	827 	
5050 	819 	
5150 	829 	
5250 	865 	
5350 	839 	
5450 	815 	
5550 	836 	
5650 	798 	
5750 	754 	
5850 	748 	
5950 	809 	
6050 	707 	
6150 	733 	
6250 	649 	
6350 	693 	
6450 	689 	
6550 	634 	
6650 	614 	
6750 	621 	
6850 	612 	
6950 	642 	
7050 	522 	
7150 	573 	
7250 	600 	
7350 	592 	
7450 	594 	
7550 	604 	
7650 	550 	
7750 	547 	
7850 	522 	
7950 	502 	
8050 	563 	
8150 	511 	
8250 	507 	
8350 	503 	
8450 	458 	
8550 	464 	
8650 	455 	
8750 	428 	
8850 	462 	
8950 	411 	
9050 	393 	
9150 	388 	
9250 	348 	
9350 	320 	
9450 	315 	
9550 	290 	
9650 	278 	
9750 	266 	
9850 	256 	
9950 	221 	
10050 	203 	
10150 	195 	
10250 	195 	
10350 	173 	
10450 	174 	
10550 	173 	
10650 	155 	
10750 	151 	
10850 	119 	
10950 	138 	
11050 	158 	
11150 	119 	
11250 	131 	
11350 	140 	
11450 	151 	
11550 	114 	
11650 	155 	
11750 	156 	
11850 	144 	
11950 	159 	
12050 	163 	
12150 	193 	
12250 	204 	
12350 	233 	
12450 	264 	
12550 	290 	
12650 	325 	
12750 	321 	
12850 	369 	
12950 	418 	
13050 	470 	
13150 	487 	
13250 	530 	
13350 	597 	
13450 	551 	
13550 	648 	
13650 	660 	
13750 	713 	
13850 	713 	
13950 	760 	
