

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 10:34:48 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T103447 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 7000 | 248 | 11104 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	2 	
-4850 	2 	
-4750 	3 	
-4650 	0 	
-4550 	0 	
-4450 	3 	
-4350 	1 	
-4250 	4 	
-4150 	4 	
-4050 	8 	
-3950 	11 	
-3850 	11 	
-3750 	24 	
-3650 	10 	
-3550 	20 	
-3450 	18 	
-3350 	24 	
-3250 	22 	
-3150 	25 	
-3050 	31 	
-2950 	30 	
-2850 	54 	
-2750 	37 	
-2650 	31 	
-2550 	33 	
-2450 	59 	
-2350 	43 	
-2250 	45 	
-2150 	50 	
-2050 	46 	
-1950 	37 	
-1850 	69 	
-1750 	57 	
-1650 	63 	
-1550 	69 	
-1450 	56 	
-1350 	65 	
-1250 	60 	
-1150 	88 	
-1050 	71 	
-950 	69 	
-850 	105 	
-750 	103 	
-650 	89 	
-550 	102 	
-450 	100 	
-350 	96 	
-250 	103 	
-150 	122 	
-50 	104 	
50 	119 	
150 	114 	
250 	118 	
350 	119 	
450 	108 	
550 	114 	
650 	127 	
750 	139 	
850 	130 	
950 	124 	
1050 	132 	
1150 	120 	
1250 	126 	
1350 	136 	
1450 	151 	
1550 	124 	
1650 	145 	
1750 	152 	
1850 	151 	
1950 	162 	
2050 	145 	
2150 	149 	
2250 	174 	
2350 	150 	
2450 	152 	
2550 	187 	
2650 	159 	
2750 	188 	
2850 	177 	
2950 	160 	
3050 	161 	
3150 	170 	
3250 	172 	
3350 	180 	
3450 	175 	
3550 	162 	
3650 	154 	
3750 	144 	
3850 	161 	
3950 	176 	
4050 	147 	
4150 	151 	
4250 	156 	
4350 	214 	
4450 	181 	
4550 	188 	
4650 	173 	
4750 	184 	
4850 	188 	
4950 	172 	
5050 	156 	
5150 	196 	
5250 	179 	
5350 	190 	
5450 	213 	
5550 	187 	
5650 	194 	
5750 	198 	
5850 	215 	
5950 	187 	
6050 	189 	
6150 	201 	
6250 	171 	
6350 	230 	
6450 	188 	
6550 	200 	
6650 	193 	
6750 	207 	
6850 	201 	
6950 	171 	
7050 	187 	
7150 	211 	
7250 	208 	
7350 	191 	
7450 	235 	
7550 	204 	
7650 	202 	
7750 	215 	
7850 	224 	
7950 	224 	
8050 	234 	
8150 	227 	
8250 	235 	
8350 	239 	
8450 	273 	
8550 	240 	
8650 	249 	
8750 	246 	
8850 	262 	
8950 	244 	
9050 	238 	
9150 	253 	
9250 	253 	
9350 	262 	
9450 	232 	
9550 	224 	
9650 	240 	
9750 	223 	
9850 	233 	
9950 	213 	
10050 	204 	
10150 	205 	
10250 	225 	
10350 	211 	
10450 	232 	
10550 	203 	
10650 	209 	
10750 	180 	
10850 	196 	
10950 	198 	
11050 	209 	
11150 	191 	
11250 	207 	
11350 	177 	
11450 	180 	
11550 	181 	
11650 	204 	
11750 	184 	
11850 	193 	
11950 	174 	
12050 	191 	
12150 	175 	
12250 	166 	
12350 	156 	
12450 	142 	
12550 	152 	
12650 	164 	
12750 	179 	
12850 	164 	
12950 	143 	
13050 	142 	
13150 	139 	
13250 	148 	
13350 	148 	
13450 	108 	
13550 	125 	
13650 	143 	
13750 	131 	
13850 	124 	
13950 	159 	
14050 	124 	
14150 	121 	
14250 	127 	
14350 	128 	
14450 	132 	
14550 	141 	
14650 	131 	
14750 	122 	
14850 	114 	
14950 	124 	
15050 	120 	
15150 	126 	
15250 	125 	
15350 	120 	
15450 	109 	
15550 	107 	
15650 	107 	
15750 	106 	
15850 	98 	
15950 	97 	
16050 	88 	
16150 	86 	
16250 	74 	
16350 	102 	
16450 	70 	
16550 	64 	
16650 	79 	
16750 	67 	
16850 	72 	
16950 	59 	
17050 	46 	
17150 	75 	
17250 	63 	
17350 	50 	
17450 	40 	
17550 	49 	
17650 	42 	
17750 	51 	
17850 	45 	
17950 	46 	
18050 	40 	
18150 	43 	
18250 	52 	
18350 	46 	
18450 	35 	
18550 	42 	
18650 	31 	
18750 	43 	
18850 	30 	
18950 	42 	
19050 	36 	
19150 	38 	
19250 	37 	
19350 	33 	
19450 	24 	
19550 	36 	
19650 	38 	
19750 	23 	
19850 	47 	
19950 	30 	
20050 	37 	
20150 	41 	
20250 	33 	
20350 	33 	
20450 	42 	
20550 	45 	
20650 	36 	
20750 	39 	
20850 	50 	
20950 	49 	
21050 	55 	
21150 	49 	
21250 	69 	
21350 	73 	
21450 	68 	
21550 	92 	
21650 	90 	
21750 	88 	
21850 	90 	
21950 	88 	
22050 	103 	
22150 	112 	
22250 	136 	
22350 	137 	
22450 	147 	
22550 	154 	
22650 	155 	
22750 	154 	
22850 	166 	
22950 	169 	
23050 	178 	
23150 	190 	
23250 	187 	
23350 	193 	
23450 	176 	
23550 	213 	
23650 	206 	
23750 	181 	
23850 	178 	
23950 	175 	
24050 	194 	
24150 	187 	
24250 	188 	
24350 	159 	
24450 	163 	
24550 	153 	
24650 	169 	
24750 	159 	
24850 	153 	
24950 	127 	
25050 	111 	
25150 	124 	
25250 	113 	
25350 	117 	
25450 	83 	
25550 	80 	
25650 	86 	
25750 	79 	
25850 	72 	
