

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 28/04/2025 
Time:  	 11:29:53 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 350 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250428-T112952 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 624 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	1 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	0 	
-150 	7 	
-50 	54 	
50 	85 	
150 	91 	
250 	102 	
350 	112 	
450 	137 	
550 	139 	
650 	158 	
750 	192 	
850 	208 	
950 	282 	
1050 	298 	
1150 	407 	
1250 	446 	
1350 	528 	
1450 	591 	
1550 	728 	
1650 	798 	
1750 	915 	
1850 	955 	
1950 	1037 	
2050 	1026 	
2150 	1058 	
2250 	1006 	
2350 	1005 	
2450 	1039 	
2550 	1007 	
2650 	991 	
2750 	988 	
2850 	1005 	
2950 	993 	
3050 	956 	
3150 	943 	
3250 	968 	
3350 	1030 	
3450 	974 	
3550 	1050 	
3650 	1060 	
3750 	963 	
3850 	1038 	
3950 	1076 	
4050 	1011 	
4150 	1077 	
4250 	1112 	
4350 	1178 	
4450 	1250 	
4550 	1178 	
4650 	1343 	
4750 	1479 	
4850 	1499 	
4950 	1551 	
5050 	1675 	
5150 	1739 	
5250 	1878 	
5350 	1978 	
5450 	2035 	
5550 	2005 	
5650 	2127 	
5750 	2200 	
5850 	2247 	
5950 	2327 	
6050 	2399 	
6150 	2458 	
6250 	2535 	
6350 	2574 	
6450 	2633 	
6550 	2565 	
6650 	2761 	
6750 	2715 	
6850 	2626 	
6950 	2636 	
7050 	2712 	
7150 	2703 	
7250 	2662 	
7350 	2733 	
7450 	2641 	
7550 	2723 	
7650 	2628 	
7750 	2768 	
7850 	2671 	
7950 	2697 	
8050 	2631 	
8150 	2629 	
8250 	2603 	
8350 	2701 	
8450 	2690 	
8550 	2562 	
8650 	2505 	
8750 	2562 	
8850 	2584 	
8950 	2561 	
9050 	2549 	
9150 	2528 	
9250 	2486 	
9350 	2607 	
9450 	2598 	
9550 	2452 	
9650 	2503 	
9750 	2513 	
9850 	2546 	
9950 	2517 	
10050 	2487 	
10150 	2472 	
10250 	2414 	
10350 	2484 	
10450 	2323 	
10550 	2431 	
10650 	2359 	
10750 	2244 	
10850 	2320 	
10950 	2285 	
11050 	2313 	
11150 	2254 	
11250 	2176 	
11350 	2247 	
11450 	2137 	
11550 	2175 	
11650 	2043 	
11750 	2102 	
11850 	2122 	
11950 	1980 	
12050 	1947 	
12150 	1924 	
12250 	1814 	
12350 	1881 	
12450 	1819 	
12550 	1766 	
12650 	1743 	
12750 	1685 	
12850 	1655 	
12950 	1578 	
13050 	1604 	
13150 	1573 	
13250 	1399 	
13350 	1496 	
13450 	1365 	
13550 	1308 	
13650 	1299 	
13750 	1271 	
13850 	1146 	
13950 	1141 	
14050 	1103 	
14150 	1107 	
14250 	1135 	
14350 	1029 	
14450 	940 	
14550 	913 	
14650 	915 	
14750 	807 	
14850 	812 	
14950 	773 	
15050 	760 	
15150 	746 	
15250 	667 	
15350 	671 	
15450 	681 	
15550 	627 	
15650 	568 	
15750 	553 	
15850 	534 	
15950 	524 	
16050 	498 	
16150 	493 	
16250 	461 	
16350 	436 	
16450 	407 	
16550 	361 	
16650 	379 	
16750 	359 	
16850 	296 	
16950 	323 	
17050 	309 	
17150 	250 	
17250 	272 	
17350 	214 	
17450 	234 	
17550 	214 	
17650 	201 	
17750 	188 	
17850 	152 	
17950 	171 	
18050 	132 	
18150 	139 	
18250 	129 	
18350 	141 	
18450 	115 	
18550 	113 	
18650 	94 	
18750 	93 	
18850 	98 	
18950 	83 	
19050 	69 	
19150 	65 	
19250 	47 	
19350 	62 	
19450 	50 	
19550 	51 	
19650 	47 	
19750 	38 	
19850 	28 	
19950 	26 	
20050 	25 	
20150 	31 	
20250 	26 	
20350 	19 	
20450 	19 	
20550 	21 	
20650 	16 	
20750 	11 	
20850 	13 	
20950 	4 	
21050 	3 	
21150 	7 	
21250 	2 	
21350 	5 	
21450 	7 	
21550 	7 	
21650 	3 	
21750 	7 	
21850 	9 	
21950 	4 	
22050 	3 	
22150 	2 	
22250 	2 	
22350 	5 	
22450 	2 	
22550 	0 	
22650 	0 	
22750 	2 	
22850 	0 	
22950 	1 	
23050 	2 	
23150 	0 	
23250 	3 	
23350 	1 	
23450 	0 	
23550 	0 	
23650 	0 	
23750 	1 	
23850 	1 	
23950 	1 	
24050 	1 	
24150 	0 	
24250 	1 	
24350 	0 	
24450 	2 	
24550 	1 	
24650 	1 	
24750 	2 	
24850 	0 	
24950 	0 	
25050 	0 	
25150 	0 	
25250 	0 	
25350 	0 	
25450 	0 	
25550 	0 	
25650 	1 	
25750 	1 	
25850 	0 	
25950 	1 	
26050 	0 	
26150 	0 	
26250 	0 	
26350 	1 	
26450 	0 	
26550 	1 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	0 	
27250 	0 	
27350 	0 	
27450 	0 	
27550 	0 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	0 	
28050 	0 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
