

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 11:09:03 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 350 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T110903 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 600 | 112 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	0 	
-150 	0 	
-50 	8 	
50 	20 	
150 	17 	
250 	26 	
350 	25 	
450 	34 	
550 	27 	
650 	29 	
750 	37 	
850 	45 	
950 	48 	
1050 	68 	
1150 	66 	
1250 	70 	
1350 	99 	
1450 	103 	
1550 	114 	
1650 	113 	
1750 	144 	
1850 	173 	
1950 	207 	
2050 	240 	
2150 	249 	
2250 	257 	
2350 	316 	
2450 	301 	
2550 	274 	
2650 	272 	
2750 	274 	
2850 	300 	
2950 	278 	
3050 	285 	
3150 	274 	
3250 	237 	
3350 	277 	
3450 	300 	
3550 	277 	
3650 	283 	
3750 	280 	
3850 	280 	
3950 	266 	
4050 	280 	
4150 	275 	
4250 	281 	
4350 	270 	
4450 	254 	
4550 	306 	
4650 	264 	
4750 	291 	
4850 	315 	
4950 	305 	
5050 	263 	
5150 	280 	
5250 	310 	
5350 	308 	
5450 	332 	
5550 	345 	
5650 	341 	
5750 	411 	
5850 	420 	
5950 	395 	
6050 	458 	
6150 	456 	
6250 	495 	
6350 	542 	
6450 	498 	
6550 	551 	
6650 	599 	
6750 	623 	
6850 	650 	
6950 	646 	
7050 	688 	
7150 	686 	
7250 	702 	
7350 	706 	
7450 	733 	
7550 	673 	
7650 	724 	
7750 	764 	
7850 	761 	
7950 	794 	
8050 	776 	
8150 	747 	
8250 	716 	
8350 	741 	
8450 	764 	
8550 	759 	
8650 	753 	
8750 	741 	
8850 	739 	
8950 	811 	
9050 	742 	
9150 	800 	
9250 	786 	
9350 	748 	
9450 	805 	
9550 	734 	
9650 	753 	
9750 	784 	
9850 	787 	
9950 	720 	
10050 	691 	
10150 	714 	
10250 	764 	
10350 	703 	
10450 	730 	
10550 	715 	
10650 	705 	
10750 	713 	
10850 	694 	
10950 	693 	
11050 	752 	
11150 	707 	
11250 	691 	
11350 	686 	
11450 	692 	
11550 	694 	
11650 	678 	
11750 	680 	
11850 	730 	
11950 	682 	
12050 	697 	
12150 	736 	
12250 	726 	
12350 	700 	
12450 	686 	
12550 	666 	
12650 	686 	
12750 	707 	
12850 	713 	
12950 	637 	
13050 	673 	
13150 	687 	
13250 	647 	
13350 	665 	
13450 	632 	
13550 	670 	
13650 	651 	
13750 	611 	
13850 	617 	
13950 	632 	
14050 	602 	
14150 	625 	
14250 	596 	
14350 	579 	
14450 	607 	
14550 	572 	
14650 	605 	
14750 	587 	
14850 	537 	
14950 	520 	
15050 	498 	
15150 	489 	
15250 	451 	
15350 	483 	
15450 	441 	
15550 	455 	
15650 	468 	
15750 	412 	
15850 	436 	
15950 	421 	
16050 	374 	
16150 	383 	
16250 	348 	
16350 	388 	
16450 	355 	
16550 	317 	
16650 	321 	
16750 	318 	
16850 	311 	
16950 	303 	
17050 	284 	
17150 	246 	
17250 	260 	
17350 	265 	
17450 	245 	
17550 	265 	
17650 	253 	
17750 	232 	
17850 	219 	
17950 	222 	
18050 	212 	
18150 	205 	
18250 	184 	
18350 	169 	
18450 	174 	
18550 	174 	
18650 	149 	
18750 	132 	
18850 	147 	
18950 	115 	
19050 	146 	
19150 	132 	
19250 	130 	
19350 	106 	
19450 	131 	
19550 	101 	
19650 	106 	
19750 	91 	
19850 	97 	
19950 	76 	
20050 	77 	
20150 	86 	
20250 	68 	
20350 	79 	
20450 	69 	
20550 	63 	
20650 	57 	
20750 	61 	
20850 	53 	
20950 	51 	
21050 	39 	
21150 	45 	
21250 	43 	
21350 	40 	
21450 	37 	
21550 	27 	
21650 	33 	
21750 	19 	
21850 	23 	
21950 	16 	
22050 	15 	
22150 	15 	
22250 	24 	
22350 	9 	
22450 	6 	
22550 	9 	
22650 	14 	
22750 	16 	
22850 	8 	
22950 	9 	
23050 	8 	
23150 	3 	
23250 	11 	
23350 	8 	
23450 	7 	
23550 	2 	
23650 	5 	
23750 	1 	
23850 	4 	
23950 	4 	
24050 	3 	
24150 	2 	
24250 	3 	
24350 	4 	
24450 	3 	
24550 	1 	
24650 	0 	
24750 	0 	
24850 	0 	
24950 	0 	
25050 	0 	
25150 	0 	
25250 	2 	
25350 	0 	
25450 	0 	
25550 	0 	
25650 	0 	
25750 	0 	
25850 	0 	
25950 	0 	
26050 	0 	
26150 	0 	
26250 	0 	
26350 	0 	
26450 	0 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	0 	
27250 	0 	
27350 	1 	
27450 	0 	
27550 	0 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	0 	
28050 	1 	
28150 	0 	
28250 	1 	
28350 	1 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
