

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 28/04/2025 
Time:  	 12:42:39 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 350 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250428-T124239 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 624 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	1 	
-650 	0 	
-550 	0 	
-450 	1 	
-350 	0 	
-250 	1 	
-150 	57 	
-50 	301 	
50 	546 	
150 	481 	
250 	436 	
350 	521 	
450 	562 	
550 	562 	
650 	522 	
750 	541 	
850 	614 	
950 	800 	
1050 	1005 	
1150 	1425 	
1250 	1744 	
1350 	1991 	
1450 	2278 	
1550 	2301 	
1650 	2169 	
1750 	2149 	
1850 	2038 	
1950 	2185 	
2050 	2545 	
2150 	2974 	
2250 	3256 	
2350 	3622 	
2450 	3869 	
2550 	3971 	
2650 	3935 	
2750 	3704 	
2850 	3330 	
2950 	2931 	
3050 	2442 	
3150 	2084 	
3250 	1712 	
3350 	1372 	
3450 	1261 	
3550 	1197 	
3650 	1114 	
3750 	989 	
3850 	925 	
3950 	974 	
4050 	918 	
4150 	1046 	
4250 	1056 	
4350 	1036 	
4450 	1180 	
4550 	1164 	
4650 	1208 	
4750 	1300 	
4850 	1314 	
4950 	1479 	
5050 	1540 	
5150 	1521 	
5250 	1681 	
5350 	1779 	
5450 	1831 	
5550 	1922 	
5650 	2125 	
5750 	2070 	
5850 	2110 	
5950 	2183 	
6050 	2326 	
6150 	2293 	
6250 	2450 	
6350 	2516 	
6450 	2498 	
6550 	2519 	
6650 	2459 	
6750 	2576 	
6850 	2589 	
6950 	2588 	
7050 	2587 	
7150 	2644 	
7250 	2573 	
7350 	2569 	
7450 	2638 	
7550 	2670 	
7650 	2653 	
7750 	2571 	
7850 	2642 	
7950 	2564 	
8050 	2672 	
8150 	2689 	
8250 	2569 	
8350 	2580 	
8450 	2642 	
8550 	2498 	
8650 	2466 	
8750 	2449 	
8850 	2571 	
8950 	2608 	
9050 	2514 	
9150 	2439 	
9250 	2564 	
9350 	2567 	
9450 	2483 	
9550 	2562 	
9650 	2431 	
9750 	2373 	
9850 	2374 	
9950 	2462 	
10050 	2408 	
10150 	2401 	
10250 	2416 	
10350 	2396 	
10450 	2360 	
10550 	2389 	
10650 	2310 	
10750 	2245 	
10850 	2317 	
10950 	2387 	
11050 	2268 	
11150 	2261 	
11250 	2309 	
11350 	2227 	
11450 	2245 	
11550 	2192 	
11650 	2177 	
11750 	2097 	
11850 	2109 	
11950 	2027 	
12050 	1980 	
12150 	2052 	
12250 	2001 	
12350 	1899 	
12450 	1885 	
12550 	1900 	
12650 	1819 	
12750 	1768 	
12850 	1788 	
12950 	1649 	
13050 	1671 	
13150 	1615 	
13250 	1606 	
13350 	1548 	
13450 	1535 	
13550 	1443 	
13650 	1409 	
13750 	1367 	
13850 	1354 	
13950 	1238 	
14050 	1231 	
14150 	1215 	
14250 	1210 	
14350 	1123 	
14450 	1060 	
14550 	1060 	
14650 	1021 	
14750 	1036 	
14850 	954 	
14950 	907 	
15050 	886 	
15150 	808 	
15250 	788 	
15350 	778 	
15450 	731 	
15550 	692 	
15650 	691 	
15750 	679 	
15850 	619 	
15950 	635 	
16050 	568 	
16150 	562 	
16250 	542 	
16350 	479 	
16450 	442 	
16550 	445 	
16650 	422 	
16750 	392 	
16850 	384 	
16950 	379 	
17050 	376 	
17150 	341 	
17250 	309 	
17350 	292 	
17450 	292 	
17550 	255 	
17650 	250 	
17750 	237 	
17850 	239 	
17950 	214 	
18050 	204 	
18150 	171 	
18250 	177 	
18350 	195 	
18450 	158 	
18550 	167 	
18650 	127 	
18750 	157 	
18850 	109 	
18950 	116 	
19050 	92 	
19150 	100 	
19250 	92 	
19350 	90 	
19450 	63 	
19550 	62 	
19650 	66 	
19750 	59 	
19850 	47 	
19950 	45 	
20050 	55 	
20150 	35 	
20250 	48 	
20350 	33 	
20450 	32 	
20550 	25 	
20650 	22 	
20750 	33 	
20850 	22 	
20950 	15 	
21050 	12 	
21150 	14 	
21250 	12 	
21350 	11 	
21450 	7 	
21550 	3 	
21650 	5 	
21750 	5 	
21850 	3 	
21950 	2 	
22050 	5 	
22150 	5 	
22250 	5 	
22350 	1 	
22450 	2 	
22550 	3 	
22650 	5 	
22750 	1 	
22850 	0 	
22950 	1 	
23050 	0 	
23150 	2 	
23250 	1 	
23350 	0 	
23450 	2 	
23550 	0 	
23650 	2 	
23750 	0 	
23850 	0 	
23950 	0 	
24050 	0 	
24150 	0 	
24250 	0 	
24350 	0 	
24450 	2 	
24550 	0 	
24650 	1 	
24750 	1 	
24850 	0 	
24950 	0 	
25050 	1 	
25150 	0 	
25250 	0 	
25350 	0 	
25450 	1 	
25550 	0 	
25650 	0 	
25750 	0 	
25850 	0 	
25950 	0 	
26050 	1 	
26150 	1 	
26250 	0 	
26350 	1 	
26450 	3 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	1 	
27050 	1 	
27150 	0 	
27250 	0 	
27350 	0 	
27450 	0 	
27550 	0 	
27650 	1 	
27750 	1 	
27850 	0 	
27950 	0 	
28050 	1 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	1 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
