

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 24/04/2025 
Time:  	 12:45:40 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 350 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250424-T124539 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 -11 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 600 | 120 | 6384 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	1 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	1 	
-150 	14 	
-50 	82 	
50 	147 	
150 	165 	
250 	101 	
350 	129 	
450 	155 	
550 	169 	
650 	162 	
750 	173 	
850 	155 	
950 	158 	
1050 	202 	
1150 	248 	
1250 	365 	
1350 	437 	
1450 	571 	
1550 	629 	
1650 	695 	
1750 	690 	
1850 	721 	
1950 	631 	
2050 	663 	
2150 	709 	
2250 	688 	
2350 	865 	
2450 	966 	
2550 	1087 	
2650 	1178 	
2750 	1262 	
2850 	1300 	
2950 	1268 	
3050 	1220 	
3150 	1097 	
3250 	857 	
3350 	790 	
3450 	637 	
3550 	502 	
3650 	453 	
3750 	388 	
3850 	347 	
3950 	329 	
4050 	303 	
4150 	307 	
4250 	311 	
4350 	282 	
4450 	324 	
4550 	301 	
4650 	326 	
4750 	300 	
4850 	336 	
4950 	328 	
5050 	331 	
5150 	346 	
5250 	373 	
5350 	372 	
5450 	391 	
5550 	438 	
5650 	437 	
5750 	473 	
5850 	526 	
5950 	525 	
6050 	545 	
6150 	603 	
6250 	650 	
6350 	669 	
6450 	674 	
6550 	676 	
6650 	749 	
6750 	727 	
6850 	803 	
6950 	717 	
7050 	762 	
7150 	737 	
7250 	742 	
7350 	775 	
7450 	792 	
7550 	755 	
7650 	812 	
7750 	807 	
7850 	759 	
7950 	830 	
8050 	803 	
8150 	796 	
8250 	791 	
8350 	792 	
8450 	801 	
8550 	826 	
8650 	792 	
8750 	788 	
8850 	752 	
8950 	790 	
9050 	756 	
9150 	776 	
9250 	783 	
9350 	778 	
9450 	774 	
9550 	794 	
9650 	791 	
9750 	781 	
9850 	761 	
9950 	778 	
10050 	725 	
10150 	776 	
10250 	780 	
10350 	757 	
10450 	748 	
10550 	739 	
10650 	777 	
10750 	720 	
10850 	728 	
10950 	727 	
11050 	730 	
11150 	728 	
11250 	779 	
11350 	775 	
11450 	777 	
11550 	730 	
11650 	708 	
11750 	725 	
11850 	715 	
11950 	738 	
12050 	715 	
12150 	714 	
12250 	708 	
12350 	753 	
12450 	690 	
12550 	679 	
12650 	685 	
12750 	711 	
12850 	723 	
12950 	655 	
13050 	677 	
13150 	621 	
13250 	605 	
13350 	656 	
13450 	608 	
13550 	638 	
13650 	617 	
13750 	595 	
13850 	601 	
13950 	547 	
14050 	559 	
14150 	578 	
14250 	514 	
14350 	552 	
14450 	538 	
14550 	507 	
14650 	506 	
14750 	475 	
14850 	480 	
14950 	426 	
15050 	434 	
15150 	392 	
15250 	401 	
15350 	409 	
15450 	414 	
15550 	395 	
15650 	347 	
15750 	382 	
15850 	350 	
15950 	351 	
16050 	289 	
16150 	300 	
16250 	290 	
16350 	268 	
16450 	248 	
16550 	244 	
16650 	279 	
16750 	229 	
16850 	240 	
16950 	217 	
17050 	210 	
17150 	201 	
17250 	177 	
17350 	208 	
17450 	179 	
17550 	202 	
17650 	157 	
17750 	134 	
17850 	168 	
17950 	159 	
18050 	126 	
18150 	137 	
18250 	115 	
18350 	128 	
18450 	104 	
18550 	105 	
18650 	98 	
18750 	98 	
18850 	88 	
18950 	83 	
19050 	81 	
19150 	102 	
19250 	61 	
19350 	55 	
19450 	58 	
19550 	59 	
19650 	57 	
19750 	47 	
19850 	43 	
19950 	45 	
20050 	52 	
20150 	33 	
20250 	36 	
20350 	32 	
20450 	31 	
20550 	40 	
20650 	27 	
20750 	26 	
20850 	18 	
20950 	20 	
21050 	14 	
21150 	28 	
21250 	16 	
21350 	15 	
21450 	15 	
21550 	8 	
21650 	12 	
21750 	15 	
21850 	12 	
21950 	12 	
22050 	11 	
22150 	3 	
22250 	5 	
22350 	7 	
22450 	7 	
22550 	2 	
22650 	4 	
22750 	7 	
22850 	2 	
22950 	4 	
23050 	2 	
23150 	1 	
23250 	2 	
23350 	2 	
23450 	2 	
23550 	0 	
23650 	1 	
23750 	2 	
23850 	0 	
23950 	2 	
24050 	0 	
24150 	1 	
24250 	0 	
24350 	0 	
24450 	1 	
24550 	0 	
24650 	0 	
24750 	0 	
24850 	0 	
24950 	1 	
25050 	0 	
25150 	0 	
25250 	0 	
25350 	0 	
25450 	0 	
25550 	0 	
25650 	1 	
25750 	0 	
25850 	0 	
25950 	0 	
26050 	0 	
26150 	0 	
26250 	0 	
26350 	1 	
26450 	0 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	0 	
27250 	0 	
27350 	0 	
27450 	0 	
27550 	0 	
27650 	1 	
27750 	0 	
27850 	1 	
27950 	0 	
28050 	0 	
28150 	0 	
28250 	0 	
28350 	1 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	1 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
