

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 28/04/2025 
Time:  	 12:10:27 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 350 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250428-T121027 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 624 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	1 	
-850 	0 	
-750 	1 	
-650 	1 	
-550 	2 	
-450 	2 	
-350 	1 	
-250 	8 	
-150 	228 	
-50 	1199 	
50 	2381 	
150 	2929 	
250 	3129 	
350 	3098 	
450 	3164 	
550 	3075 	
650 	3064 	
750 	2939 	
850 	3046 	
950 	3305 	
1050 	3339 	
1150 	3462 	
1250 	3394 	
1350 	3523 	
1450 	3566 	
1550 	3675 	
1650 	3736 	
1750 	3877 	
1850 	3940 	
1950 	4128 	
2050 	4363 	
2150 	4368 	
2250 	4457 	
2350 	4654 	
2450 	4635 	
2550 	4870 	
2650 	4778 	
2750 	4985 	
2850 	5080 	
2950 	5271 	
3050 	5431 	
3150 	5419 	
3250 	5483 	
3350 	5788 	
3450 	5764 	
3550 	5992 	
3650 	6096 	
3750 	6298 	
3850 	6151 	
3950 	6221 	
4050 	6109 	
4150 	5973 	
4250 	6035 	
4350 	5961 	
4450 	5941 	
4550 	5850 	
4650 	5891 	
4750 	5684 	
4850 	5637 	
4950 	5397 	
5050 	5483 	
5150 	5517 	
5250 	5427 	
5350 	5433 	
5450 	5361 	
5550 	5407 	
5650 	5241 	
5750 	5302 	
5850 	5231 	
5950 	5195 	
6050 	5186 	
6150 	5204 	
6250 	5186 	
6350 	5049 	
6450 	5008 	
6550 	5013 	
6650 	4964 	
6750 	4901 	
6850 	4638 	
6950 	4859 	
7050 	4780 	
7150 	4766 	
7250 	4738 	
7350 	4658 	
7450 	4580 	
7550 	4824 	
7650 	4574 	
7750 	4644 	
7850 	4815 	
7950 	4688 	
8050 	4983 	
8150 	4879 	
8250 	5159 	
8350 	5185 	
8450 	5202 	
8550 	5314 	
8650 	5619 	
8750 	5630 	
8850 	5902 	
8950 	5908 	
9050 	6041 	
9150 	6162 	
9250 	6406 	
9350 	6563 	
9450 	6485 	
9550 	6629 	
9650 	6661 	
9750 	6618 	
9850 	6687 	
9950 	6673 	
10050 	6664 	
10150 	6541 	
10250 	6465 	
10350 	6498 	
10450 	6435 	
10550 	6433 	
10650 	6296 	
10750 	6140 	
10850 	6059 	
10950 	6011 	
11050 	6039 	
11150 	5877 	
11250 	5836 	
11350 	5614 	
11450 	5335 	
11550 	5261 	
11650 	5072 	
11750 	4952 	
11850 	4931 	
11950 	4621 	
12050 	4220 	
12150 	4188 	
12250 	3809 	
12350 	3509 	
12450 	3440 	
12550 	3077 	
12650 	3058 	
12750 	2760 	
12850 	2709 	
12950 	2475 	
13050 	2320 	
13150 	2272 	
13250 	2138 	
13350 	2057 	
13450 	2010 	
13550 	2003 	
13650 	1850 	
13750 	1810 	
13850 	1845 	
13950 	1710 	
14050 	1805 	
14150 	1609 	
14250 	1576 	
14350 	1572 	
14450 	1544 	
14550 	1474 	
14650 	1570 	
14750 	1479 	
14850 	1412 	
14950 	1379 	
15050 	1396 	
15150 	1337 	
15250 	1302 	
15350 	1238 	
15450 	1255 	
15550 	1150 	
15650 	1172 	
15750 	1229 	
15850 	1211 	
15950 	1172 	
16050 	1148 	
16150 	1088 	
16250 	1138 	
16350 	1068 	
16450 	1028 	
16550 	1042 	
16650 	958 	
16750 	986 	
16850 	946 	
16950 	909 	
17050 	997 	
17150 	939 	
17250 	878 	
17350 	882 	
17450 	845 	
17550 	844 	
17650 	804 	
17750 	769 	
17850 	758 	
17950 	790 	
18050 	740 	
18150 	699 	
18250 	697 	
18350 	657 	
18450 	666 	
18550 	635 	
18650 	653 	
18750 	657 	
18850 	634 	
18950 	591 	
19050 	573 	
19150 	544 	
19250 	538 	
19350 	542 	
19450 	531 	
19550 	504 	
19650 	505 	
19750 	471 	
19850 	472 	
19950 	484 	
20050 	464 	
20150 	396 	
20250 	436 	
20350 	405 	
20450 	405 	
20550 	425 	
20650 	395 	
20750 	375 	
20850 	371 	
20950 	376 	
21050 	367 	
21150 	353 	
21250 	338 	
21350 	323 	
21450 	342 	
21550 	292 	
21650 	270 	
21750 	297 	
21850 	267 	
21950 	257 	
22050 	240 	
22150 	205 	
22250 	205 	
22350 	232 	
22450 	243 	
22550 	198 	
22650 	226 	
22750 	190 	
22850 	201 	
22950 	209 	
23050 	216 	
23150 	176 	
23250 	166 	
23350 	159 	
23450 	158 	
23550 	147 	
23650 	160 	
23750 	148 	
23850 	162 	
23950 	140 	
24050 	112 	
24150 	122 	
24250 	111 	
24350 	79 	
24450 	81 	
24550 	67 	
24650 	58 	
24750 	52 	
24850 	47 	
24950 	25 	
25050 	21 	
25150 	18 	
25250 	16 	
25350 	13 	
25450 	12 	
25550 	5 	
25650 	6 	
25750 	7 	
25850 	3 	
25950 	2 	
26050 	1 	
26150 	4 	
26250 	1 	
26350 	4 	
26450 	4 	
26550 	3 	
26650 	1 	
26750 	0 	
26850 	1 	
26950 	1 	
27050 	2 	
27150 	0 	
27250 	2 	
27350 	1 	
27450 	3 	
27550 	2 	
27650 	3 	
27750 	1 	
27850 	4 	
27950 	2 	
28050 	1 	
28150 	0 	
28250 	0 	
28350 	2 	
28450 	0 	
28550 	0 	
28650 	2 	
28750 	0 	
28850 	3 	
28950 	1 	
29050 	0 	
29150 	2 	
29250 	0 	
29350 	1 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	1 	
31150 	0 	
31250 	0 	
31350 	0 	
31450 	0 	
31550 	0 	
31650 	0 	
31750 	0 	
31850 	0 	
31950 	0 	
32050 	0 	
32150 	0 	
32250 	0 	
32350 	0 	
32450 	0 	
32550 	0 	
32650 	0 	
32750 	0 	
32850 	0 	
32950 	1 	
33050 	0 	
33150 	0 	
33250 	0 	
33350 	0 	
33450 	0 	
33550 	0 	
33650 	0 	
33750 	0 	
33850 	0 	
33950 	1 	
