

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 26/05/2025 
Time:  	 13:04:13 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 1000 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250526-T130413 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 0 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -13,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 600 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4990 	0 	
-4970 	0 	
-4950 	0 	
-4930 	0 	
-4910 	0 	
-4890 	0 	
-4870 	0 	
-4850 	0 	
-4830 	0 	
-4810 	0 	
-4790 	0 	
-4770 	0 	
-4750 	0 	
-4730 	0 	
-4710 	0 	
-4690 	0 	
-4670 	0 	
-4650 	0 	
-4630 	0 	
-4610 	0 	
-4590 	0 	
-4570 	0 	
-4550 	0 	
-4530 	0 	
-4510 	0 	
-4490 	0 	
-4470 	0 	
-4450 	0 	
-4430 	0 	
-4410 	0 	
-4390 	0 	
-4370 	0 	
-4350 	0 	
-4330 	0 	
-4310 	0 	
-4290 	0 	
-4270 	0 	
-4250 	0 	
-4230 	0 	
-4210 	0 	
-4190 	0 	
-4170 	0 	
-4150 	0 	
-4130 	0 	
-4110 	0 	
-4090 	0 	
-4070 	0 	
-4050 	0 	
-4030 	0 	
-4010 	0 	
-3990 	0 	
-3970 	0 	
-3950 	0 	
-3930 	0 	
-3910 	0 	
-3890 	0 	
-3870 	0 	
-3850 	0 	
-3830 	0 	
-3810 	0 	
-3790 	0 	
-3770 	0 	
-3750 	0 	
-3730 	0 	
-3710 	0 	
-3690 	0 	
-3670 	0 	
-3650 	0 	
-3630 	0 	
-3610 	0 	
-3590 	0 	
-3570 	0 	
-3550 	0 	
-3530 	0 	
-3510 	0 	
-3490 	0 	
-3470 	0 	
-3450 	0 	
-3430 	0 	
-3410 	0 	
-3390 	0 	
-3370 	0 	
-3350 	0 	
-3330 	0 	
-3310 	0 	
-3290 	0 	
-3270 	0 	
-3250 	0 	
-3230 	0 	
-3210 	0 	
-3190 	0 	
-3170 	0 	
-3150 	0 	
-3130 	0 	
-3110 	0 	
-3090 	0 	
-3070 	0 	
-3050 	0 	
-3030 	0 	
-3010 	0 	
-2990 	0 	
-2970 	0 	
-2950 	0 	
-2930 	0 	
-2910 	0 	
-2890 	0 	
-2870 	0 	
-2850 	0 	
-2830 	0 	
-2810 	0 	
-2790 	0 	
-2770 	0 	
-2750 	0 	
-2730 	0 	
-2710 	0 	
-2690 	0 	
-2670 	0 	
-2650 	0 	
-2630 	0 	
-2610 	0 	
-2590 	0 	
-2570 	0 	
-2550 	0 	
-2530 	0 	
-2510 	0 	
-2490 	0 	
-2470 	0 	
-2450 	0 	
-2430 	0 	
-2410 	0 	
-2390 	0 	
-2370 	0 	
-2350 	0 	
-2330 	0 	
-2310 	0 	
-2290 	0 	
-2270 	0 	
-2250 	0 	
-2230 	0 	
-2210 	0 	
-2190 	0 	
-2170 	0 	
-2150 	0 	
-2130 	0 	
-2110 	0 	
-2090 	0 	
-2070 	0 	
-2050 	0 	
-2030 	0 	
-2010 	0 	
-1990 	0 	
-1970 	0 	
-1950 	0 	
-1930 	0 	
-1910 	0 	
-1890 	0 	
-1870 	0 	
-1850 	0 	
-1830 	0 	
-1810 	0 	
-1790 	0 	
-1770 	0 	
-1750 	0 	
-1730 	0 	
-1710 	0 	
-1690 	0 	
-1670 	0 	
-1650 	0 	
-1630 	0 	
