

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 22/05/2025 
Time:  	 12:55:04 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250522-T125503 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 0 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 55,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -10,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 600 | 152 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-975 	48 	
-925 	42 	
-875 	49 	
-825 	51 	
-775 	69 	
-725 	78 	
-675 	70 	
-625 	76 	
-575 	90 	
-525 	80 	
-475 	94 	
-425 	113 	
-375 	142 	
-325 	155 	
-275 	152 	
-225 	135 	
-175 	153 	
-125 	165 	
-75 	181 	
-25 	182 	
25 	195 	
75 	194 	
125 	177 	
175 	190 	
225 	200 	
275 	174 	
325 	155 	
375 	132 	
425 	130 	
475 	106 	
525 	95 	
575 	82 	
625 	93 	
675 	92 	
725 	102 	
775 	118 	
825 	132 	
875 	167 	
925 	170 	
975 	168 	
1025 	151 	
1075 	148 	
1125 	145 	
1175 	123 	
1225 	106 	
1275 	85 	
1325 	85 	
1375 	74 	
1425 	77 	
1475 	57 	
1525 	72 	
1575 	41 	
1625 	46 	
1675 	42 	
1725 	57 	
1775 	39 	
1825 	43 	
1875 	34 	
1925 	40 	
1975 	40 	
2025 	36 	
2075 	40 	
2125 	24 	
2175 	34 	
2225 	26 	
2275 	31 	
2325 	26 	
2375 	24 	
2425 	16 	
2475 	17 	
2525 	22 	
2575 	12 	
2625 	23 	
2675 	14 	
2725 	18 	
2775 	14 	
2825 	13 	
2875 	15 	
2925 	10 	
2975 	18 	
3025 	10 	
3075 	4 	
3125 	12 	
3175 	6 	
3225 	7 	
3275 	10 	
3325 	9 	
3375 	11 	
3425 	5 	
3475 	9 	
3525 	7 	
3575 	7 	
3625 	5 	
3675 	9 	
3725 	5 	
3775 	3 	
3825 	3 	
3875 	7 	
3925 	4 	
3975 	7 	
4025 	5 	
4075 	8 	
4125 	10 	
4175 	6 	
4225 	6 	
4275 	3 	
4325 	3 	
4375 	3 	
4425 	6 	
4475 	5 	
4525 	2 	
4575 	6 	
4625 	4 	
4675 	11 	
4725 	5 	
4775 	3 	
4825 	7 	
4875 	4 	
4925 	2 	
4975 	6 	
5025 	4 	
5075 	5 	
5125 	4 	
5175 	4 	
5225 	4 	
5275 	2 	
5325 	3 	
5375 	6 	
5425 	2 	
5475 	3 	
5525 	2 	
5575 	2 	
5625 	4 	
5675 	6 	
5725 	6 	
5775 	5 	
5825 	2 	
5875 	2 	
5925 	2 	
5975 	2 	
6025 	2 	
6075 	0 	
6125 	2 	
6175 	4 	
6225 	2 	
6275 	4 	
6325 	0 	
6375 	2 	
6425 	4 	
6475 	5 	
6525 	1 	
6575 	1 	
6625 	3 	
6675 	4 	
6725 	1 	
6775 	4 	
6825 	3 	
6875 	1 	
6925 	1 	
6975 	3 	
7025 	4 	
7075 	3 	
7125 	2 	
7175 	0 	
7225 	1 	
7275 	3 	
7325 	2 	
7375 	1 	
7425 	2 	
7475 	2 	
7525 	3 	
7575 	3 	
7625 	1 	
7675 	1 	
7725 	2 	
7775 	1 	
7825 	2 	
7875 	1 	
7925 	1 	
7975 	3 	
8025 	1 	
8075 	0 	
8125 	1 	
8175 	3 	
8225 	2 	
8275 	5 	
8325 	1 	
8375 	1 	
8425 	2 	
8475 	0 	
8525 	3 	
8575 	2 	
8625 	2 	
8675 	1 	
8725 	0 	
8775 	1 	
8825 	0 	
8875 	0 	
