

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/05/2025 
Time:  	 10:06:31 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250505-T100630 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 696 | 112 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	3 	
-150 	36 	
-50 	124 	
50 	224 	
150 	313 	
250 	327 	
350 	317 	
450 	283 	
550 	312 	
650 	325 	
750 	303 	
850 	330 	
950 	379 	
1050 	359 	
1150 	419 	
1250 	421 	
1350 	453 	
1450 	408 	
1550 	445 	
1650 	417 	
1750 	482 	
1850 	507 	
1950 	584 	
2050 	553 	
2150 	543 	
2250 	622 	
2350 	611 	
2450 	636 	
2550 	639 	
2650 	651 	
2750 	674 	
2850 	703 	
2950 	685 	
3050 	737 	
3150 	692 	
3250 	731 	
3350 	721 	
3450 	718 	
3550 	727 	
3650 	798 	
3750 	756 	
3850 	776 	
3950 	726 	
4050 	773 	
4150 	746 	
4250 	777 	
4350 	791 	
4450 	826 	
4550 	820 	
4650 	769 	
4750 	785 	
4850 	769 	
4950 	748 	
5050 	784 	
5150 	778 	
5250 	783 	
5350 	822 	
5450 	780 	
5550 	821 	
5650 	867 	
5750 	825 	
5850 	855 	
5950 	848 	
6050 	857 	
6150 	893 	
6250 	931 	
6350 	958 	
6450 	908 	
6550 	994 	
6650 	943 	
6750 	922 	
6850 	1009 	
6950 	968 	
7050 	996 	
7150 	978 	
7250 	1008 	
7350 	1001 	
7450 	993 	
7550 	1036 	
7650 	990 	
7750 	1016 	
7850 	978 	
7950 	963 	
8050 	1000 	
8150 	994 	
8250 	1013 	
8350 	991 	
8450 	943 	
8550 	987 	
8650 	1001 	
8750 	1013 	
8850 	1018 	
8950 	1004 	
9050 	944 	
9150 	944 	
9250 	953 	
9350 	984 	
9450 	1012 	
9550 	1001 	
9650 	973 	
9750 	993 	
9850 	1040 	
9950 	1057 	
10050 	1043 	
10150 	1037 	
10250 	1041 	
10350 	1036 	
10450 	1115 	
10550 	1086 	
10650 	1092 	
10750 	1079 	
10850 	1103 	
10950 	1135 	
11050 	1132 	
11150 	1131 	
11250 	1135 	
11350 	1087 	
11450 	1094 	
11550 	1047 	
11650 	1119 	
11750 	1101 	
11850 	1034 	
11950 	1099 	
12050 	1064 	
12150 	1069 	
12250 	1050 	
12350 	1052 	
12450 	1018 	
12550 	1020 	
12650 	1031 	
12750 	1039 	
12850 	968 	
12950 	968 	
13050 	922 	
13150 	946 	
13250 	944 	
13350 	888 	
13450 	850 	
13550 	817 	
13650 	743 	
13750 	769 	
13850 	760 	
13950 	663 	
14050 	737 	
14150 	639 	
14250 	656 	
14350 	631 	
14450 	614 	
14550 	594 	
14650 	548 	
14750 	605 	
14850 	577 	
14950 	569 	
15050 	535 	
15150 	520 	
15250 	513 	
15350 	497 	
15450 	473 	
15550 	525 	
15650 	409 	
15750 	452 	
15850 	456 	
15950 	406 	
16050 	405 	
16150 	326 	
16250 	396 	
16350 	362 	
16450 	364 	
16550 	324 	
16650 	316 	
16750 	333 	
16850 	330 	
16950 	341 	
17050 	342 	
17150 	289 	
17250 	322 	
17350 	268 	
17450 	280 	
17550 	296 	
17650 	244 	
17750 	229 	
17850 	250 	
17950 	224 	
18050 	235 	
18150 	202 	
18250 	222 	
18350 	218 	
18450 	199 	
18550 	207 	
18650 	199 	
18750 	201 	
18850 	170 	
18950 	198 	
19050 	185 	
19150 	171 	
19250 	161 	
19350 	152 	
19450 	154 	
19550 	157 	
19650 	139 	
19750 	144 	
19850 	136 	
19950 	127 	
20050 	132 	
20150 	109 	
20250 	117 	
20350 	105 	
20450 	112 	
20550 	107 	
20650 	89 	
20750 	103 	
20850 	106 	
20950 	81 	
21050 	83 	
21150 	75 	
21250 	76 	
21350 	71 	
21450 	61 	
21550 	63 	
21650 	66 	
21750 	59 	
21850 	64 	
21950 	65 	
22050 	59 	
22150 	54 	
22250 	47 	
22350 	51 	
22450 	44 	
22550 	51 	
22650 	41 	
22750 	53 	
22850 	51 	
22950 	41 	
23050 	30 	
23150 	44 	
23250 	33 	
23350 	33 	
23450 	41 	
23550 	28 	
23650 	26 	
23750 	31 	
23850 	25 	
23950 	25 	
24050 	38 	
24150 	34 	
24250 	33 	
24350 	18 	
24450 	30 	
24550 	15 	
24650 	29 	
24750 	21 	
24850 	21 	
24950 	19 	
25050 	19 	
25150 	15 	
25250 	25 	
25350 	20 	
25450 	21 	
25550 	16 	
25650 	15 	
25750 	14 	
25850 	13 	
25950 	15 	
26050 	16 	
26150 	16 	
26250 	14 	
26350 	10 	
26450 	9 	
26550 	11 	
26650 	14 	
26750 	5 	
26850 	2 	
26950 	5 	
27050 	5 	
27150 	5 	
27250 	2 	
27350 	3 	
27450 	2 	
27550 	0 	
27650 	1 	
27750 	2 	
27850 	0 	
27950 	2 	
28050 	1 	
28150 	1 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	1 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	1 	
30050 	1 	
30150 	0 	
30250 	1 	
30350 	0 	
30450 	0 	
30550 	1 	
30650 	0 	
30750 	0 	
30850 	2 	
