

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/05/2025 
Time:  	 10:18:17 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250505-T101817 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 696 | 112 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	1 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	10 	
-150 	24 	
-50 	90 	
50 	154 	
150 	188 	
250 	227 	
350 	229 	
450 	252 	
550 	229 	
650 	231 	
750 	272 	
850 	217 	
950 	267 	
1050 	289 	
1150 	291 	
1250 	315 	
1350 	323 	
1450 	355 	
1550 	318 	
1650 	394 	
1750 	404 	
1850 	424 	
1950 	459 	
2050 	476 	
2150 	511 	
2250 	501 	
2350 	514 	
2450 	514 	
2550 	566 	
2650 	514 	
2750 	594 	
2850 	628 	
2950 	533 	
3050 	604 	
3150 	557 	
3250 	625 	
3350 	600 	
3450 	569 	
3550 	601 	
3650 	625 	
3750 	632 	
3850 	599 	
3950 	605 	
4050 	628 	
4150 	643 	
4250 	613 	
4350 	632 	
4450 	588 	
4550 	590 	
4650 	636 	
4750 	604 	
4850 	614 	
4950 	657 	
5050 	674 	
5150 	651 	
5250 	635 	
5350 	639 	
5450 	660 	
5550 	676 	
5650 	678 	
5750 	689 	
5850 	726 	
5950 	754 	
6050 	761 	
6150 	804 	
6250 	817 	
6350 	797 	
6450 	844 	
6550 	850 	
6650 	891 	
6750 	884 	
6850 	864 	
6950 	899 	
7050 	931 	
7150 	918 	
7250 	924 	
7350 	934 	
7450 	908 	
7550 	928 	
7650 	919 	
7750 	900 	
7850 	909 	
7950 	954 	
8050 	898 	
8150 	981 	
8250 	945 	
8350 	936 	
8450 	954 	
8550 	924 	
8650 	945 	
8750 	962 	
8850 	927 	
8950 	956 	
9050 	926 	
9150 	915 	
9250 	916 	
9350 	924 	
9450 	988 	
9550 	1015 	
9650 	1021 	
9750 	961 	
9850 	908 	
9950 	962 	
10050 	976 	
10150 	962 	
10250 	961 	
10350 	1014 	
10450 	961 	
10550 	1038 	
10650 	982 	
10750 	968 	
10850 	1043 	
10950 	1026 	
11050 	969 	
11150 	1009 	
11250 	997 	
11350 	991 	
11450 	973 	
11550 	940 	
11650 	1050 	
11750 	937 	
11850 	966 	
11950 	961 	
12050 	993 	
12150 	966 	
12250 	927 	
12350 	917 	
12450 	853 	
12550 	865 	
12650 	889 	
12750 	848 	
12850 	860 	
12950 	946 	
13050 	857 	
13150 	779 	
13250 	807 	
13350 	822 	
13450 	744 	
13550 	769 	
13650 	738 	
13750 	717 	
13850 	612 	
13950 	667 	
14050 	627 	
14150 	650 	
14250 	626 	
14350 	643 	
14450 	604 	
14550 	567 	
14650 	536 	
14750 	544 	
14850 	518 	
14950 	504 	
15050 	485 	
15150 	478 	
15250 	465 	
15350 	502 	
15450 	458 	
15550 	421 	
15650 	483 	
15750 	426 	
15850 	405 	
15950 	384 	
16050 	393 	
16150 	384 	
16250 	381 	
16350 	331 	
16450 	351 	
16550 	342 	
16650 	354 	
16750 	329 	
16850 	321 	
16950 	279 	
17050 	325 	
17150 	294 	
17250 	262 	
17350 	280 	
17450 	255 	
17550 	239 	
17650 	278 	
17750 	234 	
17850 	239 	
17950 	207 	
18050 	204 	
18150 	157 	
18250 	175 	
18350 	189 	
18450 	182 	
18550 	202 	
18650 	165 	
18750 	181 	
18850 	156 	
18950 	138 	
19050 	131 	
19150 	148 	
19250 	138 	
19350 	144 	
19450 	138 	
19550 	135 	
19650 	111 	
19750 	127 	
19850 	111 	
19950 	90 	
20050 	104 	
20150 	106 	
20250 	86 	
20350 	80 	
20450 	85 	
20550 	96 	
20650 	78 	
20750 	72 	
20850 	74 	
20950 	81 	
21050 	52 	
21150 	59 	
21250 	52 	
21350 	49 	
21450 	45 	
21550 	41 	
21650 	57 	
21750 	54 	
21850 	45 	
21950 	45 	
22050 	42 	
22150 	33 	
22250 	45 	
22350 	41 	
22450 	37 	
22550 	39 	
22650 	33 	
22750 	33 	
22850 	33 	
22950 	25 	
23050 	34 	
23150 	32 	
23250 	34 	
23350 	22 	
23450 	26 	
23550 	21 	
23650 	29 	
23750 	16 	
23850 	25 	
23950 	23 	
24050 	17 	
24150 	20 	
24250 	15 	
24350 	19 	
24450 	12 	
24550 	12 	
24650 	19 	
24750 	18 	
24850 	13 	
24950 	11 	
25050 	7 	
25150 	18 	
25250 	11 	
25350 	9 	
25450 	17 	
25550 	11 	
25650 	9 	
25750 	15 	
25850 	15 	
25950 	6 	
26050 	3 	
26150 	6 	
26250 	7 	
26350 	5 	
26450 	5 	
26550 	5 	
26650 	2 	
26750 	1 	
26850 	1 	
26950 	4 	
27050 	4 	
27150 	4 	
27250 	0 	
27350 	0 	
27450 	2 	
27550 	3 	
27650 	1 	
27750 	1 	
27850 	1 	
27950 	0 	
28050 	2 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	1 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
