

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 15/05/2025 
Time:  	 09:55:52 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250515-T095552 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 200 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	2 	
-850 	2 	
-750 	8 	
-650 	13 	
-550 	29 	
-450 	51 	
-350 	72 	
-250 	95 	
-150 	133 	
-50 	171 	
50 	193 	
150 	229 	
250 	213 	
350 	197 	
450 	185 	
550 	208 	
650 	142 	
750 	89 	
850 	71 	
950 	63 	
1050 	45 	
1150 	42 	
1250 	32 	
1350 	43 	
1450 	22 	
1550 	15 	
1650 	20 	
1750 	14 	
1850 	12 	
1950 	13 	
2050 	11 	
2150 	10 	
2250 	11 	
2350 	8 	
2450 	2 	
2550 	3 	
2650 	7 	
2750 	6 	
2850 	5 	
2950 	2 	
3050 	4 	
3150 	7 	
3250 	5 	
3350 	7 	
3450 	4 	
3550 	6 	
3650 	4 	
3750 	3 	
3850 	1 	
3950 	1 	
4050 	2 	
4150 	2 	
4250 	2 	
4350 	0 	
4450 	1 	
4550 	2 	
4650 	3 	
4750 	0 	
4850 	1 	
4950 	1 	
5050 	4 	
5150 	3 	
5250 	1 	
5350 	2 	
5450 	1 	
5550 	0 	
5650 	0 	
5750 	3 	
5850 	1 	
5950 	1 	
6050 	0 	
6150 	2 	
6250 	0 	
6350 	0 	
6450 	1 	
6550 	0 	
6650 	0 	
6750 	1 	
6850 	0 	
6950 	0 	
7050 	2 	
7150 	0 	
7250 	3 	
7350 	2 	
7450 	1 	
7550 	1 	
7650 	3 	
7750 	0 	
7850 	1 	
7950 	0 	
8050 	1 	
8150 	1 	
8250 	0 	
8350 	0 	
8450 	0 	
8550 	1 	
8650 	0 	
8750 	1 	
8850 	2 	
8950 	0 	
9050 	0 	
9150 	2 	
9250 	0 	
9350 	1 	
9450 	2 	
9550 	0 	
9650 	1 	
9750 	0 	
9850 	0 	
9950 	0 	
10050 	0 	
10150 	0 	
10250 	0 	
10350 	0 	
10450 	1 	
10550 	0 	
10650 	0 	
10750 	0 	
10850 	0 	
10950 	0 	
11050 	0 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	0 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	1 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	0 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	0 	
13150 	0 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	1 	
13750 	0 	
13850 	0 	
13950 	1 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
