

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 15/05/2025 
Time:  	 10:49:34 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250515-T104933 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	0 	
-4850 	0 	
-4750 	1 	
-4650 	0 	
-4550 	0 	
-4450 	0 	
-4350 	1 	
-4250 	1 	
-4150 	1 	
-4050 	0 	
-3950 	0 	
-3850 	1 	
-3750 	1 	
-3650 	1 	
-3550 	4 	
-3450 	1 	
-3350 	1 	
-3250 	3 	
-3150 	0 	
-3050 	1 	
-2950 	1 	
-2850 	0 	
-2750 	2 	
-2650 	0 	
-2550 	2 	
-2450 	1 	
-2350 	1 	
-2250 	3 	
-2150 	1 	
-2050 	4 	
-1950 	3 	
-1850 	2 	
-1750 	3 	
-1650 	4 	
-1550 	1 	
-1450 	0 	
-1350 	1 	
-1250 	6 	
-1150 	3 	
-1050 	3 	
-950 	7 	
-850 	4 	
-750 	7 	
-650 	6 	
-550 	4 	
-450 	17 	
-350 	12 	
-250 	5 	
-150 	16 	
-50 	12 	
50 	18 	
150 	15 	
250 	10 	
350 	17 	
450 	8 	
550 	17 	
650 	23 	
750 	13 	
850 	28 	
950 	28 	
1050 	22 	
1150 	25 	
1250 	28 	
1350 	35 	
1450 	30 	
1550 	47 	
1650 	48 	
1750 	49 	
1850 	46 	
1950 	43 	
2050 	39 	
2150 	55 	
2250 	55 	
2350 	58 	
2450 	51 	
2550 	49 	
2650 	66 	
2750 	56 	
2850 	55 	
2950 	58 	
3050 	47 	
3150 	53 	
3250 	53 	
3350 	72 	
3450 	45 	
3550 	58 	
3650 	50 	
3750 	49 	
3850 	60 	
3950 	48 	
4050 	56 	
4150 	47 	
4250 	61 	
4350 	74 	
4450 	78 	
4550 	46 	
4650 	59 	
4750 	53 	
4850 	48 	
4950 	54 	
5050 	52 	
5150 	40 	
5250 	41 	
5350 	24 	
