

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 15/05/2025 
Time:  	 11:43:16 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250515-T114316 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	1 	
-4850 	0 	
-4750 	1 	
-4650 	1 	
-4550 	1 	
-4450 	0 	
-4350 	0 	
-4250 	0 	
-4150 	1 	
-4050 	1 	
-3950 	1 	
-3850 	0 	
-3750 	2 	
-3650 	1 	
-3550 	0 	
-3450 	0 	
-3350 	1 	
-3250 	1 	
-3150 	1 	
-3050 	0 	
-2950 	0 	
-2850 	0 	
-2750 	2 	
-2650 	1 	
-2550 	1 	
-2450 	4 	
-2350 	2 	
-2250 	4 	
-2150 	3 	
-2050 	2 	
-1950 	1 	
-1850 	1 	
-1750 	2 	
-1650 	2 	
-1550 	5 	
-1450 	1 	
-1350 	5 	
-1250 	3 	
-1150 	5 	
-1050 	3 	
-950 	5 	
-850 	7 	
-750 	4 	
-650 	5 	
-550 	5 	
-450 	9 	
-350 	9 	
-250 	7 	
-150 	8 	
-50 	11 	
50 	9 	
150 	14 	
250 	14 	
350 	14 	
450 	14 	
550 	17 	
650 	21 	
750 	21 	
850 	23 	
950 	26 	
1050 	23 	
1150 	24 	
1250 	35 	
1350 	36 	
1450 	38 	
1550 	34 	
1650 	34 	
1750 	42 	
1850 	56 	
1950 	54 	
2050 	53 	
2150 	48 	
2250 	67 	
2350 	53 	
2450 	61 	
2550 	50 	
2650 	60 	
2750 	67 	
2850 	53 	
2950 	57 	
3050 	50 	
3150 	57 	
3250 	42 	
3350 	51 	
3450 	52 	
3550 	40 	
3650 	61 	
3750 	43 	
3850 	41 	
3950 	53 	
4050 	52 	
4150 	32 	
4250 	46 	
4350 	45 	
4450 	40 	
4550 	53 	
4650 	51 	
4750 	43 	
4850 	47 	
4950 	32 	
5050 	34 	
5150 	33 	
5250 	26 	
5350 	25 	
5450 	25 	
5550 	14 	
5650 	23 	
5750 	21 	
5850 	16 	
5950 	20 	
6050 	12 	
6150 	13 	
6250 	11 	
6350 	9 	
6450 	10 	
6550 	5 	
6650 	7 	
6750 	2 	
6850 	8 	
6950 	6 	
7050 	12 	
7150 	5 	
7250 	8 	
7350 	7 	
7450 	4 	
7550 	6 	
7650 	4 	
7750 	3 	
7850 	8 	
7950 	7 	
8050 	5 	
8150 	3 	
8250 	8 	
8350 	6 	
8450 	3 	
8550 	8 	
8650 	12 	
8750 	3 	
8850 	4 	
8950 	5 	
9050 	6 	
9150 	2 	
9250 	4 	
9350 	3 	
9450 	7 	
9550 	3 	
9650 	1 	
9750 	4 	
9850 	0 	
9950 	2 	
10050 	1 	
10150 	3 	
10250 	5 	
10350 	1 	
10450 	4 	
10550 	0 	
10650 	1 	
10750 	3 	
10850 	2 	
10950 	1 	
11050 	0 	
11150 	2 	
11250 	0 	
11350 	2 	
11450 	0 	
11550 	2 	
11650 	3 	
11750 	3 	
11850 	0 	
11950 	3 	
12050 	2 	
12150 	1 	
12250 	0 	
12350 	0 	
12450 	1 	
12550 	0 	
12650 	0 	
12750 	1 	
12850 	0 	
12950 	0 	
13050 	1 	
13150 	0 	
13250 	0 	
13350 	1 	
13450 	1 	
13550 	0 	
13650 	1 	
13750 	0 	
13850 	2 	
13950 	1 	
14050 	0 	
14150 	3 	
14250 	1 	
14350 	2 	
14450 	0 	
14550 	2 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	1 	
15050 	1 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	1 	
15750 	0 	
15850 	2 	
15950 	0 	
16050 	1 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	1 	
16550 	0 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	1 	
17150 	0 	
17250 	0 	
17350 	3 	
17450 	1 	
17550 	0 	
17650 	0 	
17750 	3 	
17850 	0 	
17950 	1 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	1 	
18450 	1 	
18550 	0 	
18650 	0 	
18750 	2 	
18850 	1 	
18950 	2 	
19050 	0 	
19150 	0 	
19250 	0 	
19350 	0 	
19450 	0 	
19550 	0 	
19650 	0 	
19750 	0 	
19850 	0 	
19950 	0 	
20050 	0 	
20150 	0 	
20250 	1 	
20350 	0 	
20450 	0 	
20550 	0 	
20650 	0 	
20750 	0 	
20850 	0 	
20950 	1 	
21050 	2 	
21150 	0 	
21250 	0 	
21350 	1 	
21450 	1 	
21550 	0 	
21650 	0 	
21750 	1 	
21850 	0 	
21950 	0 	
22050 	0 	
22150 	0 	
22250 	0 	
22350 	0 	
22450 	0 	
22550 	0 	
22650 	1 	
22750 	0 	
22850 	1 	
22950 	0 	
23050 	1 	
23150 	1 	
23250 	0 	
23350 	1 	
23450 	0 	
23550 	0 	
23650 	0 	
23750 	0 	
23850 	0 	
23950 	0 	
24050 	0 	
24150 	1 	
24250 	0 	
24350 	1 	
24450 	1 	
24550 	0 	
24650 	1 	
24750 	0 	
24850 	0 	
24950 	1 	
25050 	2 	
25150 	1 	
25250 	1 	
25350 	0 	
25450 	0 	
25550 	0 	
25650 	0 	
25750 	0 	
25850 	1 	
25950 	0 	
26050 	0 	
26150 	0 	
26250 	0 	
26350 	0 	
26450 	0 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	2 	
27250 	1 	
27350 	0 	
27450 	1 	
27550 	1 	
27650 	1 	
27750 	1 	
27850 	0 	
27950 	0 	
28050 	1 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	1 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	1 	
28950 	0 	
29050 	1 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	1 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	1 	
30350 	0 	
30450 	0 	
30550 	1 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	1 	
31250 	0 	
31350 	0 	
31450 	0 	
31550 	0 	
31650 	0 	
31750 	0 	
31850 	1 	
31950 	0 	
32050 	0 	
32150 	0 	
32250 	0 	
32350 	1 	
32450 	0 	
32550 	0 	
32650 	0 	
32750 	0 	
32850 	0 	
32950 	0 	
33050 	0 	
33150 	0 	
33250 	0 	
33350 	0 	
33450 	0 	
33550 	0 	
33650 	1 	
33750 	0 	
33850 	0 	
33950 	0 	
34050 	0 	
34150 	1 	
34250 	0 	
34350 	0 	
34450 	0 	
34550 	0 	
34650 	0 	
34750 	0 	
34850 	1 	
34950 	0 	
35050 	0 	
35150 	0 	
35250 	0 	
35350 	0 	
35450 	0 	
35550 	0 	
35650 	0 	
35750 	0 	
35850 	0 	
35950 	0 	
36050 	0 	
36150 	0 	
36250 	0 	
36350 	0 	
36450 	0 	
36550 	0 	
36650 	0 	
36750 	0 	
36850 	0 	
36950 	0 	
37050 	0 	
37150 	0 	
37250 	0 	
37350 	0 	
37450 	0 	
37550 	0 	
37650 	0 	
37750 	0 	
37850 	0 	
37950 	1 	
38050 	1 	
38150 	0 	
38250 	0 	
38350 	0 	
38450 	0 	
38550 	0 	
38650 	0 	
38750 	0 	
38850 	0 	
38950 	0 	
39050 	0 	
39150 	0 	
39250 	0 	
39350 	0 	
39450 	0 	
39550 	0 	
39650 	0 	
39750 	0 	
39850 	1 	
39950 	0 	
40050 	0 	
40150 	0 	
40250 	0 	
40350 	0 	
40450 	0 	
40550 	0 	
40650 	0 	
40750 	0 	
40850 	0 	
40950 	0 	
41050 	0 	
41150 	0 	
41250 	0 	
41350 	0 	
41450 	0 	
41550 	0 	
41650 	0 	
41750 	0 	
41850 	0 	
41950 	0 	
42050 	0 	
42150 	0 	
42250 	1 	
42350 	0 	
42450 	0 	
42550 	0 	
42650 	0 	
42750 	0 	
42850 	0 	
42950 	0 	
43050 	0 	
43150 	0 	
43250 	0 	
43350 	0 	
43450 	0 	
43550 	0 	
43650 	0 	
43750 	0 	
43850 	0 	
43950 	0 	
44050 	1 	
44150 	0 	
44250 	0 	
44350 	0 	
44450 	0 	
44550 	0 	
44650 	0 	
44750 	0 	
44850 	0 	
44950 	0 	
