

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/05/2025 
Time:  	 12:35:47 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250505-T123547 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 120 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	7 	
-850 	21 	
-750 	40 	
-650 	75 	
-550 	100 	
-450 	170 	
-350 	212 	
-250 	262 	
-150 	403 	
-50 	459 	
50 	550 	
150 	546 	
250 	564 	
350 	672 	
450 	743 	
550 	817 	
650 	841 	
750 	894 	
850 	904 	
950 	826 	
1050 	779 	
1150 	735 	
1250 	659 	
1350 	609 	
1450 	585 	
1550 	502 	
1650 	480 	
1750 	407 	
1850 	323 	
1950 	297 	
2050 	331 	
2150 	322 	
2250 	399 	
2350 	484 	
2450 	629 	
2550 	743 	
2650 	825 	
2750 	782 	
2850 	656 	
2950 	523 	
3050 	335 	
3150 	196 	
3250 	106 	
3350 	59 	
3450 	68 	
3550 	53 	
3650 	31 	
3750 	47 	
3850 	50 	
3950 	36 	
4050 	38 	
4150 	47 	
4250 	58 	
4350 	44 	
4450 	43 	
4550 	49 	
4650 	40 	
4750 	45 	
4850 	36 	
4950 	48 	
5050 	39 	
5150 	40 	
5250 	27 	
5350 	43 	
5450 	28 	
5550 	38 	
5650 	26 	
5750 	27 	
5850 	28 	
5950 	30 	
6050 	26 	
6150 	48 	
6250 	46 	
6350 	45 	
6450 	69 	
6550 	48 	
6650 	57 	
6750 	54 	
6850 	53 	
6950 	72 	
7050 	51 	
7150 	50 	
7250 	35 	
7350 	38 	
7450 	41 	
7550 	21 	
7650 	12 	
7750 	3 	
7850 	6 	
7950 	5 	
8050 	5 	
8150 	0 	
8250 	1 	
8350 	0 	
8450 	0 	
8550 	0 	
8650 	1 	
8750 	1 	
8850 	0 	
8950 	0 	
9050 	0 	
9150 	0 	
9250 	0 	
9350 	0 	
9450 	1 	
9550 	0 	
9650 	0 	
9750 	0 	
9850 	0 	
9950 	0 	
10050 	0 	
10150 	0 	
10250 	0 	
10350 	0 	
10450 	0 	
10550 	0 	
10650 	0 	
10750 	0 	
10850 	0 	
10950 	0 	
11050 	0 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	0 	
11550 	0 	
11650 	0 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	1 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	1 	
12650 	0 	
12750 	0 	
12850 	0 	
12950 	0 	
13050 	0 	
13150 	0 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	0 	
13650 	0 	
13750 	0 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	0 	
14750 	0 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	0 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	0 	
16750 	0 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	0 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	1 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
