

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 08/05/2025 
Time:  	 09:38:09 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250508-T093808 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 128 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	5 	
-850 	5 	
-750 	17 	
-650 	30 	
-550 	52 	
-450 	88 	
-350 	124 	
-250 	162 	
-150 	226 	
-50 	319 	
50 	344 	
150 	428 	
250 	486 	
350 	496 	
450 	488 	
550 	510 	
650 	534 	
750 	577 	
850 	568 	
950 	576 	
1050 	584 	
1150 	587 	
1250 	613 	
1350 	653 	
1450 	600 	
1550 	536 	
1650 	520 	
1750 	450 	
1850 	431 	
1950 	439 	
2050 	406 	
2150 	343 	
2250 	338 	
2350 	314 	
2450 	287 	
2550 	225 	
2650 	220 	
2750 	201 	
2850 	205 	
2950 	208 	
3050 	222 	
3150 	246 	
3250 	291 	
3350 	354 	
3450 	442 	
3550 	476 	
3650 	506 	
3750 	523 	
3850 	470 	
3950 	375 	
4050 	272 	
4150 	195 	
4250 	122 	
4350 	83 	
4450 	52 	
4550 	50 	
4650 	31 	
4750 	29 	
4850 	26 	
4950 	28 	
5050 	34 	
5150 	32 	
5250 	26 	
5350 	26 	
5450 	34 	
5550 	34 	
5650 	27 	
5750 	34 	
5850 	31 	
5950 	33 	
6050 	19 	
6150 	31 	
6250 	34 	
6350 	23 	
6450 	31 	
6550 	34 	
6650 	26 	
6750 	32 	
6850 	27 	
6950 	30 	
7050 	38 	
7150 	23 	
7250 	32 	
7350 	28 	
7450 	22 	
7550 	28 	
7650 	26 	
7750 	22 	
7850 	21 	
7950 	19 	
8050 	19 	
8150 	10 	
8250 	17 	
8350 	19 	
8450 	20 	
8550 	25 	
8650 	21 	
8750 	19 	
8850 	36 	
8950 	49 	
9050 	31 	
9150 	36 	
9250 	29 	
9350 	30 	
9450 	47 	
9550 	37 	
9650 	38 	
9750 	24 	
9850 	30 	
9950 	27 	
10050 	18 	
10150 	14 	
10250 	6 	
10350 	9 	
10450 	4 	
10550 	3 	
10650 	1 	
10750 	3 	
10850 	0 	
10950 	0 	
11050 	1 	
11150 	0 	
11250 	0 	
11350 	0 	
11450 	0 	
11550 	0 	
11650 	1 	
11750 	0 	
11850 	0 	
11950 	0 	
12050 	0 	
12150 	0 	
12250 	0 	
12350 	0 	
12450 	0 	
12550 	0 	
12650 	1 	
12750 	0 	
12850 	1 	
12950 	1 	
13050 	0 	
13150 	1 	
13250 	0 	
13350 	0 	
13450 	0 	
13550 	1 	
13650 	0 	
13750 	1 	
13850 	0 	
13950 	0 	
14050 	0 	
14150 	0 	
14250 	0 	
14350 	0 	
14450 	0 	
14550 	0 	
14650 	0 	
14750 	1 	
14850 	0 	
14950 	0 	
15050 	0 	
15150 	1 	
15250 	0 	
15350 	0 	
15450 	0 	
15550 	0 	
15650 	0 	
15750 	0 	
15850 	0 	
15950 	0 	
16050 	0 	
16150 	0 	
16250 	0 	
16350 	0 	
16450 	0 	
16550 	0 	
16650 	0 	
16750 	1 	
16850 	0 	
16950 	0 	
17050 	0 	
17150 	0 	
17250 	0 	
17350 	0 	
17450 	0 	
17550 	1 	
17650 	0 	
17750 	0 	
17850 	0 	
17950 	0 	
18050 	0 	
18150 	0 	
18250 	0 	
18350 	0 	
18450 	0 	
18550 	0 	
18650 	0 	
18750 	0 	
18850 	0 	
18950 	0 	
