

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 08/05/2025 
Time:  	 12:40:39 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250508-T124038 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 16 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 31 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 3504 | 120 | 7008 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 7008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-4950 	0 	
-4850 	0 	
-4750 	0 	
-4650 	0 	
-4550 	1 	
-4450 	0 	
-4350 	2 	
-4250 	0 	
-4150 	1 	
-4050 	0 	
-3950 	0 	
-3850 	0 	
-3750 	0 	
-3650 	0 	
-3550 	0 	
-3450 	1 	
-3350 	1 	
-3250 	0 	
-3150 	0 	
-3050 	2 	
-2950 	0 	
-2850 	0 	
-2750 	1 	
-2650 	1 	
-2550 	2 	
-2450 	1 	
-2350 	1 	
-2250 	5 	
-2150 	4 	
-2050 	18 	
-1950 	5 	
-1850 	8 	
-1750 	5 	
-1650 	15 	
-1550 	18 	
-1450 	14 	
-1350 	14 	
-1250 	28 	
-1150 	25 	
-1050 	18 	
-950 	28 	
-850 	22 	
-750 	28 	
-650 	21 	
-550 	33 	
-450 	37 	
-350 	47 	
-250 	42 	
-150 	34 	
-50 	34 	
50 	52 	
150 	44 	
250 	41 	
350 	48 	
450 	58 	
550 	53 	
650 	51 	
750 	61 	
850 	61 	
950 	70 	
1050 	58 	
1150 	69 	
1250 	56 	
1350 	66 	
1450 	74 	
1550 	76 	
1650 	78 	
1750 	94 	
1850 	84 	
1950 	113 	
2050 	98 	
2150 	119 	
2250 	116 	
2350 	123 	
2450 	93 	
2550 	139 	
2650 	137 	
2750 	122 	
2850 	116 	
2950 	135 	
3050 	123 	
3150 	126 	
3250 	129 	
3350 	129 	
3450 	114 	
3550 	100 	
3650 	106 	
3750 	112 	
3850 	139 	
3950 	119 	
4050 	117 	
4150 	115 	
4250 	106 	
4350 	114 	
4450 	110 	
4550 	116 	
4650 	116 	
4750 	124 	
4850 	135 	
4950 	114 	
5050 	126 	
5150 	134 	
5250 	115 	
5350 	141 	
