

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 05/05/2025 
Time:  	 10:51:25 
Username:  	 Guest 
Description:  	 Charge Histogram  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	 L.E.D. Driver Setting:  
 
Dataset metadata
Date / Time creation: 	 20250505-T105124 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,50 
T Compensation:  	 On 
dV/dT 	 20,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 0 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 696 | 112 | 5000 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 5000 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-950 	0 	
-850 	0 	
-750 	0 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	5 	
-150 	23 	
-50 	55 	
50 	133 	
150 	176 	
250 	156 	
350 	166 	
450 	127 	
550 	173 	
650 	165 	
750 	160 	
850 	171 	
950 	233 	
1050 	207 	
1150 	287 	
1250 	244 	
1350 	314 	
1450 	306 	
1550 	319 	
1650 	363 	
1750 	332 	
1850 	381 	
1950 	393 	
2050 	429 	
2150 	434 	
2250 	442 	
2350 	490 	
2450 	453 	
2550 	518 	
2650 	477 	
2750 	489 	
2850 	504 	
2950 	473 	
3050 	483 	
3150 	442 	
3250 	511 	
3350 	508 	
3450 	474 	
3550 	515 	
3650 	488 	
3750 	474 	
3850 	494 	
3950 	511 	
4050 	476 	
4150 	500 	
4250 	491 	
4350 	479 	
4450 	471 	
4550 	506 	
4650 	501 	
4750 	475 	
4850 	502 	
4950 	474 	
5050 	499 	
5150 	535 	
5250 	544 	
5350 	536 	
5450 	602 	
5550 	574 	
5650 	599 	
5750 	616 	
5850 	645 	
5950 	675 	
6050 	652 	
6150 	693 	
6250 	700 	
6350 	734 	
6450 	755 	
6550 	787 	
6650 	798 	
6750 	847 	
6850 	799 	
6950 	787 	
7050 	828 	
7150 	868 	
7250 	855 	
7350 	866 	
7450 	833 	
7550 	913 	
7650 	903 	
7750 	890 	
7850 	920 	
7950 	899 	
8050 	838 	
8150 	872 	
8250 	851 	
8350 	866 	
8450 	838 	
8550 	906 	
8650 	901 	
8750 	829 	
8850 	852 	
8950 	862 	
9050 	843 	
9150 	853 	
9250 	834 	
9350 	846 	
9450 	853 	
9550 	859 	
9650 	796 	
9750 	853 	
9850 	836 	
9950 	867 	
10050 	835 	
10150 	822 	
10250 	892 	
10350 	793 	
10450 	827 	
10550 	828 	
10650 	917 	
10750 	862 	
10850 	838 	
10950 	805 	
11050 	801 	
11150 	807 	
11250 	863 	
11350 	824 	
11450 	855 	
11550 	849 	
11650 	836 	
11750 	865 	
11850 	876 	
11950 	813 	
12050 	864 	
12150 	808 	
12250 	815 	
12350 	811 	
12450 	781 	
12550 	783 	
12650 	768 	
12750 	761 	
12850 	764 	
12950 	710 	
13050 	721 	
13150 	707 	
13250 	714 	
13350 	686 	
13450 	670 	
13550 	679 	
13650 	686 	
13750 	666 	
13850 	665 	
13950 	638 	
14050 	637 	
14150 	562 	
14250 	542 	
14350 	519 	
14450 	522 	
14550 	526 	
14650 	534 	
14750 	518 	
14850 	498 	
14950 	483 	
15050 	469 	
15150 	490 	
15250 	450 	
15350 	438 	
15450 	412 	
15550 	447 	
15650 	393 	
15750 	403 	
15850 	369 	
15950 	368 	
16050 	375 	
16150 	371 	
16250 	335 	
16350 	339 	
16450 	315 	
16550 	318 	
16650 	291 	
16750 	313 	
16850 	295 	
16950 	279 	
17050 	246 	
17150 	246 	
17250 	267 	
17350 	210 	
17450 	208 	
17550 	214 	
17650 	215 	
17750 	198 	
17850 	206 	
17950 	202 	
18050 	210 	
18150 	164 	
18250 	179 	
18350 	170 	
18450 	148 	
18550 	153 	
18650 	141 	
18750 	162 	
18850 	139 	
18950 	135 	
19050 	129 	
19150 	113 	
19250 	126 	
19350 	124 	
19450 	114 	
19550 	87 	
19650 	92 	
19750 	89 	
19850 	79 	
19950 	80 	
20050 	75 	
20150 	65 	
20250 	58 	
20350 	76 	
20450 	62 	
20550 	54 	
20650 	50 	
20750 	48 	
20850 	54 	
20950 	58 	
21050 	47 	
21150 	50 	
21250 	33 	
21350 	43 	
21450 	44 	
21550 	38 	
21650 	21 	
21750 	26 	
21850 	30 	
21950 	16 	
22050 	23 	
22150 	33 	
22250 	25 	
22350 	22 	
22450 	21 	
22550 	23 	
22650 	16 	
22750 	9 	
22850 	15 	
22950 	7 	
23050 	16 	
23150 	13 	
23250 	9 	
23350 	12 	
23450 	12 	
23550 	12 	
23650 	7 	
23750 	6 	
23850 	11 	
23950 	3 	
24050 	7 	
24150 	6 	
24250 	11 	
24350 	8 	
24450 	4 	
24550 	7 	
24650 	9 	
24750 	1 	
24850 	11 	
24950 	11 	
25050 	6 	
25150 	7 	
25250 	5 	
25350 	2 	
25450 	3 	
25550 	4 	
25650 	4 	
25750 	4 	
25850 	7 	
25950 	7 	
26050 	2 	
26150 	3 	
26250 	2 	
26350 	4 	
26450 	3 	
26550 	1 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	1 	
27050 	1 	
27150 	2 	
27250 	0 	
27350 	1 	
27450 	0 	
27550 	1 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	1 	
28050 	1 	
28150 	0 	
28250 	0 	
28350 	1 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	1 	
29150 	1 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
31450 	0 	
