

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 14/04/2025 
Time:  	 12:16:20 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 200 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250414-T121620 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 50 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 1504 | 160 | 6664 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 6008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-975 	1 	
-925 	3 	
-875 	6 	
-825 	24 	
-775 	34 	
-725 	57 	
-675 	108 	
-625 	139 	
-575 	188 	
-525 	246 	
-475 	306 	
-425 	408 	
-375 	457 	
-325 	592 	
-275 	695 	
-225 	813 	
-175 	971 	
-125 	1157 	
-75 	1295 	
-25 	1502 	
25 	1666 	
75 	1865 	
125 	2105 	
175 	2230 	
225 	2483 	
275 	2714 	
325 	2911 	
375 	3322 	
425 	3479 	
475 	3517 	
525 	3601 	
575 	3610 	
625 	3379 	
675 	3188 	
725 	3071 	
775 	2852 	
825 	2605 	
875 	2327 	
925 	2235 	
975 	2091 	
1025 	1928 	
1075 	1786 	
1125 	1685 	
1175 	1586 	
1225 	1392 	
1275 	1347 	
1325 	1282 	
1375 	1257 	
1425 	1300 	
1475 	1398 	
1525 	1533 	
1575 	1804 	
1625 	2187 	
1675 	2836 	
1725 	3470 	
1775 	4119 	
1825 	4640 	
1875 	5350 	
1925 	5713 	
1975 	5721 	
2025 	5427 	
2075 	4956 	
2125 	4281 	
2175 	3534 	
2225 	2782 	
2275 	1993 	
2325 	1367 	
2375 	904 	
2425 	564 	
2475 	376 	
2525 	336 	
2575 	317 	
2625 	284 	
2675 	276 	
2725 	295 	
2775 	274 	
2825 	243 	
2875 	294 	
2925 	252 	
2975 	256 	
3025 	318 	
3075 	266 	
3125 	268 	
3175 	252 	
3225 	288 	
3275 	310 	
3325 	258 	
3375 	259 	
3425 	260 	
3475 	311 	
3525 	251 	
3575 	273 	
3625 	282 	
3675 	291 	
3725 	322 	
3775 	292 	
3825 	275 	
3875 	296 	
3925 	302 	
3975 	260 	
4025 	268 	
4075 	252 	
4125 	227 	
4175 	221 	
4225 	220 	
4275 	199 	
4325 	193 	
4375 	190 	
4425 	208 	
4475 	209 	
4525 	214 	
4575 	246 	
4625 	230 	
4675 	230 	
4725 	300 	
4775 	328 	
4825 	325 	
4875 	380 	
4925 	340 	
4975 	408 	
5025 	453 	
5075 	413 	
5125 	435 	
5175 	417 	
5225 	415 	
5275 	414 	
5325 	371 	
5375 	362 	
5425 	298 	
5475 	302 	
5525 	252 	
5575 	212 	
5625 	173 	
5675 	135 	
5725 	90 	
5775 	75 	
5825 	51 	
5875 	45 	
5925 	19 	
5975 	13 	
6025 	11 	
6075 	11 	
6125 	9 	
6175 	6 	
6225 	9 	
6275 	5 	
6325 	5 	
6375 	3 	
6425 	3 	
6475 	3 	
6525 	2 	
6575 	4 	
6625 	2 	
6675 	2 	
6725 	4 	
6775 	1 	
6825 	3 	
6875 	3 	
6925 	0 	
6975 	2 	
7025 	2 	
7075 	1 	
7125 	3 	
7175 	2 	
7225 	3 	
7275 	4 	
7325 	3 	
7375 	0 	
7425 	1 	
7475 	0 	
7525 	3 	
7575 	2 	
7625 	2 	
7675 	1 	
7725 	0 	
7775 	1 	
7825 	2 	
7875 	1 	
7925 	1 	
7975 	2 	
8025 	0 	
8075 	0 	
8125 	0 	
8175 	0 	
8225 	0 	
8275 	0 	
8325 	0 	
8375 	0 	
8425 	0 	
8475 	0 	
8525 	1 	
8575 	0 	
8625 	0 	
8675 	1 	
8725 	0 	
8775 	0 	
8825 	0 	
8875 	0 	
8925 	0 	
8975 	0 	
