

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 14/04/2025 
Time:  	 12:55:54 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250414-T125554 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 53,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 50 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 6664 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 6008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-2950 	59 	
-2850 	88 	
-2750 	114 	
-2650 	126 	
-2550 	147 	
-2450 	184 	
-2350 	196 	
-2250 	215 	
-2150 	242 	
-2050 	242 	
-1950 	292 	
-1850 	292 	
-1750 	342 	
-1650 	386 	
-1550 	374 	
-1450 	399 	
-1350 	477 	
-1250 	468 	
-1150 	506 	
-1050 	548 	
-950 	603 	
-850 	604 	
-750 	684 	
-650 	661 	
-550 	724 	
-450 	767 	
-350 	820 	
-250 	840 	
-150 	947 	
-50 	967 	
50 	991 	
150 	1035 	
250 	1086 	
350 	1209 	
450 	1146 	
550 	1184 	
650 	1273 	
750 	1316 	
850 	1491 	
950 	1512 	
1050 	1583 	
1150 	1640 	
1250 	1737 	
1350 	1711 	
1450 	1654 	
1550 	1696 	
1650 	1677 	
1750 	1663 	
1850 	1685 	
1950 	1534 	
2050 	1477 	
2150 	1456 	
2250 	1448 	
2350 	1422 	
2450 	1308 	
2550 	1280 	
2650 	1233 	
2750 	1128 	
2850 	1237 	
2950 	1117 	
3050 	1059 	
3150 	1021 	
3250 	1057 	
3350 	951 	
3450 	890 	
3550 	856 	
3650 	850 	
3750 	748 	
3850 	690 	
3950 	595 	
4050 	526 	
4150 	504 	
4250 	439 	
4350 	365 	
4450 	340 	
4550 	375 	
4650 	310 	
4750 	306 	
4850 	316 	
4950 	376 	
5050 	340 	
5150 	414 	
5250 	446 	
5350 	579 	
5450 	715 	
5550 	830 	
5650 	920 	
5750 	1079 	
5850 	1236 	
5950 	1300 	
6050 	1354 	
6150 	1410 	
6250 	1396 	
6350 	1352 	
6450 	1331 	
6550 	1154 	
6650 	1024 	
6750 	873 	
6850 	695 	
6950 	603 	
7050 	429 	
7150 	325 	
7250 	256 	
7350 	223 	
7450 	165 	
7550 	133 	
7650 	159 	
7750 	133 	
7850 	142 	
7950 	141 	
8050 	140 	
8150 	118 	
8250 	138 	
8350 	146 	
8450 	147 	
8550 	147 	
8650 	153 	
8750 	148 	
8850 	141 	
8950 	143 	
9050 	127 	
9150 	130 	
9250 	131 	
9350 	133 	
9450 	151 	
9550 	148 	
9650 	155 	
9750 	137 	
9850 	131 	
9950 	155 	
10050 	146 	
10150 	130 	
10250 	141 	
10350 	145 	
10450 	160 	
10550 	158 	
10650 	139 	
10750 	143 	
10850 	147 	
10950 	136 	
11050 	158 	
11150 	141 	
11250 	170 	
11350 	161 	
11450 	152 	
11550 	161 	
11650 	146 	
11750 	164 	
11850 	158 	
11950 	165 	
12050 	165 	
12150 	140 	
12250 	127 	
12350 	129 	
12450 	142 	
12550 	133 	
12650 	145 	
12750 	103 	
12850 	106 	
12950 	88 	
13050 	99 	
13150 	78 	
13250 	79 	
13350 	51 	
13450 	69 	
13550 	48 	
13650 	54 	
13750 	25 	
13850 	44 	
13950 	64 	
14050 	50 	
14150 	51 	
14250 	53 	
14350 	68 	
14450 	48 	
14550 	70 	
14650 	61 	
14750 	66 	
14850 	61 	
14950 	67 	
15050 	93 	
15150 	93 	
15250 	99 	
15350 	76 	
15450 	75 	
15550 	86 	
15650 	69 	
15750 	61 	
15850 	52 	
15950 	37 	
16050 	32 	
16150 	45 	
16250 	29 	
16350 	20 	
16450 	19 	
16550 	13 	
16650 	15 	
16750 	6 	
16850 	4 	
16950 	4 	
17050 	3 	
17150 	3 	
17250 	2 	
17350 	1 	
