ADC Channel - Charge distribution	Counts - Charge distribution
-4925	2
-4775	1
-4625	2
-4475	0
-4325	0
-4175	0
-4025	0
-3875	1
-3725	0
-3575	2
-3425	3
-3275	3
-3125	15
-2975	27
-2825	35
-2675	56
-2525	79
-2375	72
-2225	116
-2075	127
-1925	116
-1775	122
-1625	164
-1475	162
-1325	164
-1175	198
-1025	233
-875	230
-725	254
-575	252
-425	245
-275	270
-125	303
25	312
175	312
325	314
475	349
625	315
775	337
925	353
1075	375
1225	405
1375	360
1525	406
1675	403
1825	390
1975	406
2125	459
2275	442
2425	461
2575	468
2725	440
2875	472
3025	456
3175	504
3325	493
3475	483
3625	476
3775	482
3925	510
4075	512
4225	524
4375	544
4525	563
4675	534
4825	554
4975	554
5125	534
5275	615
5425	621
5575	622
5725	582
5875	606
6025	626
6175	661
6325	579
6475	560
6625	615
6775	643
6925	611
7075	611
7225	561
7375	579
7525	580
7675	606
7825	647
7975	680
8125	715
8275	748
8425	824
8575	757
8725	831
8875	830
9025	830
9175	809
9325	847
9475	826
9625	767
9775	740
9925	761
10075	792
10225	740
10375	710
10525	730
10675	643
10825	682
10975	616
11125	625
11275	593
11425	595
11575	612
11725	589
11875	589
12025	502
12175	535
12325	500
12475	511
12625	492
12775	498
12925	501
13075	458
13225	480
13375	466
13525	427
13675	439
13825	460
13975	431
14125	432
14275	392
14425	454
14575	423
14725	428
14875	369
15025	391
15175	408
15325	375
15475	322
15625	357
15775	335
15925	306
16075	317
16225	279
16375	265
16525	285
16675	232
16825	220
16975	221
17125	219
17275	201
17425	210
17575	184
17725	166
17875	146
18025	141
18175	165
18325	144
18475	124
18625	116
18775	112
18925	103
19075	104
19225	106
19375	102
19525	137
19675	83
19825	98
19975	94
20125	85
20275	106
20425	95
20575	101
20725	115
20875	97
21025	103
21175	124
21325	101
21475	124
21625	125
21775	144
21925	184
22075	194
22225	247
22375	271
22525	298
22675	355
22825	371
22975	435
23125	457
23275	527
23425	588
23575	614
23725	675
23875	628
24025	717
24175	668
24325	690
24475	713
24625	681
24775	722
24925	628
25075	608
25225	587
25375	529
25525	433
25675	372
25825	370
25975	312
26125	275
26275	230
26425	186
26575	142
26725	133
26875	79
27025	72
27175	70
27325	58
27475	66
27625	57
27775	45
27925	48
28075	39
28225	42
28375	54
28525	49
28675	41
28825	45
28975	54
29125	54
29275	46
29425	53
29575	38
29725	55
29875	47
30025	36
30175	50
30325	59
30475	38
30625	42
30775	31
30925	47
31075	47
31225	53
31375	49
31525	42
31675	42
31825	41
31975	56
32125	51
32275	50
32425	46
32575	61
32725	41
32875	39
33025	37
33175	49
33325	32
33475	53
33625	53
33775	54
33925	42
34075	44
34225	51
34375	54
34525	48
34675	52
34825	52
34975	60
35125	40
35275	46
35425	42
35575	48
35725	52
35875	42
36025	48
36175	59
36325	68
36475	55
36625	53
36775	45
36925	54
37075	51
37225	66
37375	64
37525	55
37675	58
37825	71
37975	59
38125	56
38275	61
38425	67
38575	66
38725	68
38875	67
39025	59
39175	50
39325	55
39475	57
39625	65
39775	71
39925	65
40075	68
40225	61
40375	55
40525	56
40675	69
40825	62
40975	62
41125	67
41275	62
41425	77
41575	77
41725	63
41875	51
42025	56
42175	77
42325	59
42475	63
42625	76
42775	69
42925	62
43075	65
43225	66
43375	60
43525	58
43675	57
43825	49
43975	57
44125	52
44275	42
44425	56
44575	38
44725	46
44875	46
45025	30
45175	26
45325	43
45475	41
45625	29
45775	39
45925	38
46075	36
46225	24
46375	24
46525	17
46675	21
46825	20
46975	22
47125	10
47275	25
47425	13
47575	21
47725	7
47875	12
48025	27
48175	6
48325	9
48475	17
48625	17
48775	12
48925	14
49075	17
49225	20
49375	21
49525	22
49675	21
49825	29
49975	37
50125	32
50275	20
50425	29
50575	29
50725	37
50875	39
51025	38
51175	31
51325	46
51475	42
51625	41
51775	36
51925	39
52075	38
52225	48
52375	46
52525	44
52675	29
52825	35
52975	39
53125	31
53275	34
53425	29
53575	22
53725	24
53875	35
54025	17
54175	20
54325	18
54475	15
54625	10
54775	11
54925	9
55075	5
55225	9
55375	3
55525	3
55675	4
55825	3
55975	1
56125	3
56275	0
56425	1
56575	0
56725	1
56875	2
57025	0
57175	0
57325	0
57475	1
57625	0
57775	1
57925	0
58075	0
58225	0
58375	0
58525	0
58675	2
58825	0
58975	0
59125	0
59275	0
59425	0
59575	0
59725	1
59875	0
60025	0
60175	1
60325	0
60475	0
60625	0
60775	1
60925	0
61075	0
61225	1
61375	0
61525	0
61675	0
61825	0
