

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 14/04/2025 
Time:  	 11:47:03 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250414-T114703 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 54,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 50 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 600 | 160 | 6664 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 6008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-14950 	0 	
-14850 	0 	
-14750 	0 	
-14650 	0 	
-14550 	0 	
-14450 	0 	
-14350 	0 	
-14250 	0 	
-14150 	0 	
-14050 	0 	
-13950 	0 	
-13850 	0 	
-13750 	0 	
-13650 	0 	
-13550 	0 	
-13450 	0 	
-13350 	0 	
-13250 	0 	
-13150 	0 	
-13050 	0 	
-12950 	0 	
-12850 	0 	
-12750 	0 	
-12650 	0 	
-12550 	0 	
-12450 	0 	
-12350 	0 	
-12250 	1 	
-12150 	1 	
-12050 	2 	
-11950 	1 	
-11850 	0 	
-11750 	0 	
-11650 	0 	
-11550 	0 	
-11450 	0 	
-11350 	0 	
-11250 	0 	
-11150 	1 	
-11050 	0 	
-10950 	0 	
-10850 	0 	
-10750 	0 	
-10650 	0 	
-10550 	2 	
-10450 	0 	
-10350 	0 	
-10250 	0 	
-10150 	1 	
-10050 	0 	
-9950 	0 	
-9850 	0 	
-9750 	1 	
-9650 	0 	
-9550 	1 	
-9450 	0 	
-9350 	0 	
-9250 	0 	
-9150 	1 	
-9050 	0 	
-8950 	2 	
-8850 	0 	
-8750 	0 	
-8650 	0 	
-8550 	0 	
-8450 	0 	
-8350 	0 	
-8250 	2 	
-8150 	1 	
-8050 	0 	
-7950 	0 	
-7850 	0 	
-7750 	1 	
-7650 	0 	
-7550 	0 	
-7450 	0 	
-7350 	1 	
-7250 	0 	
-7150 	1 	
-7050 	1 	
-6950 	0 	
-6850 	1 	
-6750 	0 	
-6650 	0 	
-6550 	2 	
-6450 	0 	
-6350 	1 	
-6250 	0 	
-6150 	3 	
-6050 	1 	
-5950 	1 	
-5850 	1 	
-5750 	1 	
-5650 	1 	
-5550 	2 	
-5450 	0 	
-5350 	2 	
-5250 	0 	
-5150 	1 	
-5050 	0 	
-4950 	1 	
-4850 	0 	
-4750 	0 	
-4650 	3 	
-4550 	1 	
-4450 	0 	
-4350 	0 	
-4250 	0 	
-4150 	0 	
-4050 	0 	
-3950 	1 	
-3850 	2 	
-3750 	0 	
-3650 	0 	
-3550 	0 	
-3450 	0 	
-3350 	0 	
-3250 	0 	
-3150 	0 	
-3050 	1 	
-2950 	0 	
-2850 	0 	
-2750 	1 	
-2650 	0 	
-2550 	1 	
-2450 	2 	
-2350 	1 	
-2250 	0 	
-2150 	1 	
-2050 	0 	
-1950 	0 	
-1850 	0 	
-1750 	0 	
-1650 	0 	
-1550 	0 	
-1450 	0 	
-1350 	0 	
-1250 	1 	
-1150 	1 	
-1050 	1 	
-950 	0 	
-850 	0 	
-750 	0 	
-650 	0 	
-550 	0 	
-450 	0 	
-350 	0 	
-250 	0 	
-150 	2 	
-50 	12 	
50 	39 	
150 	23 	
250 	61 	
350 	58 	
450 	79 	
550 	88 	
650 	111 	
750 	132 	
850 	169 	
950 	202 	
1050 	285 	
1150 	338 	
1250 	408 	
1350 	422 	
1450 	459 	
1550 	461 	
1650 	458 	
1750 	470 	
1850 	453 	
1950 	483 	
2050 	423 	
2150 	432 	
2250 	397 	
2350 	449 	
2450 	426 	
2550 	433 	
2650 	450 	
2750 	459 	
2850 	446 	
2950 	415 	
3050 	459 	
3150 	484 	
3250 	492 	
3350 	530 	
3450 	507 	
3550 	624 	
3650 	676 	
3750 	656 	
3850 	726 	
3950 	834 	
4050 	853 	
4150 	933 	
4250 	1014 	
4350 	1018 	
4450 	1019 	
4550 	1083 	
4650 	1057 	
4750 	1060 	
4850 	1125 	
4950 	1169 	
5050 	1187 	
5150 	1129 	
5250 	1189 	
5350 	1141 	
5450 	1196 	
5550 	1193 	
5650 	1166 	
5750 	1172 	
5850 	1141 	
5950 	1174 	
6050 	1143 	
6150 	1154 	
6250 	1200 	
6350 	1107 	
6450 	1090 	
6550 	1078 	
6650 	1121 	
6750 	1125 	
6850 	1115 	
6950 	1129 	
7050 	1059 	
7150 	1078 	
7250 	1134 	
7350 	1051 	
7450 	1122 	
7550 	1073 	
7650 	1047 	
7750 	1060 	
7850 	1097 	
7950 	1058 	
8050 	1045 	
8150 	1062 	
8250 	1057 	
8350 	1010 	
8450 	1038 	
8550 	967 	
8650 	1006 	
8750 	956 	
8850 	1037 	
8950 	969 	
9050 	871 	
9150 	868 	
9250 	844 	
9350 	818 	
9450 	800 	
9550 	855 	
9650 	751 	
9750 	783 	
9850 	711 	
9950 	699 	
10050 	644 	
10150 	653 	
10250 	577 	
10350 	550 	
10450 	599 	
10550 	579 	
10650 	569 	
10750 	482 	
10850 	506 	
10950 	433 	
11050 	399 	
11150 	388 	
11250 	341 	
11350 	333 	
11450 	297 	
11550 	326 	
11650 	294 	
11750 	280 	
11850 	272 	
11950 	280 	
12050 	217 	
12150 	212 	
12250 	181 	
12350 	177 	
12450 	183 	
12550 	169 	
12650 	157 	
12750 	155 	
12850 	131 	
12950 	125 	
13050 	109 	
13150 	99 	
13250 	132 	
13350 	83 	
13450 	76 	
13550 	81 	
13650 	70 	
13750 	75 	
13850 	66 	
13950 	53 	
14050 	44 	
14150 	36 	
14250 	36 	
14350 	27 	
14450 	31 	
14550 	29 	
14650 	27 	
14750 	20 	
14850 	16 	
14950 	19 	
15050 	8 	
15150 	13 	
15250 	11 	
15350 	7 	
15450 	3 	
15550 	8 	
15650 	6 	
15750 	4 	
15850 	3 	
15950 	4 	
16050 	2 	
16150 	2 	
16250 	2 	
16350 	1 	
16450 	1 	
16550 	0 	
16650 	2 	
16750 	1 	
16850 	0 	
16950 	1 	
17050 	1 	
17150 	2 	
17250 	0 	
17350 	1 	
17450 	1 	
17550 	1 	
17650 	3 	
17750 	0 	
17850 	0 	
17950 	1 	
18050 	0 	
18150 	0 	
18250 	1 	
18350 	1 	
18450 	0 	
18550 	1 	
18650 	1 	
18750 	0 	
18850 	1 	
18950 	0 	
19050 	0 	
19150 	0 	
19250 	1 	
19350 	0 	
19450 	1 	
19550 	0 	
19650 	1 	
19750 	0 	
19850 	0 	
19950 	0 	
20050 	0 	
20150 	0 	
20250 	1 	
20350 	0 	
20450 	1 	
20550 	0 	
20650 	0 	
20750 	0 	
20850 	0 	
20950 	0 	
21050 	1 	
21150 	0 	
21250 	0 	
21350 	0 	
21450 	0 	
21550 	0 	
21650 	0 	
21750 	0 	
21850 	0 	
21950 	0 	
22050 	0 	
22150 	0 	
22250 	0 	
22350 	0 	
22450 	0 	
22550 	0 	
22650 	0 	
22750 	0 	
22850 	0 	
22950 	0 	
23050 	1 	
23150 	0 	
23250 	0 	
23350 	0 	
23450 	0 	
23550 	0 	
23650 	0 	
23750 	0 	
23850 	0 	
23950 	0 	
24050 	0 	
24150 	0 	
24250 	0 	
24350 	0 	
24450 	0 	
24550 	0 	
24650 	0 	
24750 	0 	
24850 	1 	
24950 	0 	
25050 	0 	
25150 	0 	
25250 	0 	
25350 	0 	
25450 	0 	
25550 	0 	
25650 	0 	
25750 	0 	
25850 	0 	
25950 	0 	
26050 	0 	
26150 	0 	
26250 	0 	
26350 	0 	
26450 	0 	
26550 	0 	
26650 	0 	
26750 	0 	
26850 	0 	
26950 	0 	
27050 	0 	
27150 	0 	
27250 	0 	
27350 	0 	
27450 	0 	
27550 	0 	
27650 	0 	
27750 	0 	
27850 	0 	
27950 	0 	
28050 	1 	
28150 	0 	
28250 	0 	
28350 	0 	
28450 	0 	
28550 	0 	
28650 	0 	
28750 	0 	
28850 	0 	
28950 	0 	
29050 	0 	
29150 	0 	
29250 	0 	
29350 	0 	
29450 	0 	
29550 	0 	
29650 	0 	
29750 	0 	
29850 	0 	
29950 	0 	
30050 	0 	
30150 	0 	
30250 	0 	
30350 	0 	
30450 	0 	
30550 	0 	
30650 	0 	
30750 	0 	
30850 	0 	
30950 	0 	
31050 	0 	
31150 	0 	
31250 	0 	
31350 	0 	
31450 	0 	
31550 	0 	
31650 	0 	
31750 	0 	
31850 	1 	
31950 	0 	
32050 	0 	
32150 	0 	
32250 	0 	
32350 	0 	
32450 	0 	
32550 	0 	
32650 	0 	
32750 	0 	
32850 	0 	
32950 	1 	
33050 	0 	
33150 	0 	
33250 	0 	
33350 	0 	
