ADC Channel - Charge distribution	Counts - Charge distribution
1700	0
1900	0
2100	0
2300	1
2500	2
2700	4
2900	1
3100	4
3300	3
3500	10
3700	7
3900	7
4100	7
4300	12
4500	22
4700	25
4900	22
5100	30
5300	36
5500	42
5700	42
5900	60
6100	54
6300	50
6500	61
6700	63
6900	74
7100	77
7300	70
7500	59
7700	57
7900	85
8100	62
8300	77
8500	58
8700	62
8900	59
9100	58
9300	46
9500	61
9700	48
9900	68
10100	45
10300	51
10500	39
10700	46
10900	44
11100	48
11300	32
11500	37
11700	34
11900	41
12100	35
12300	25
12500	28
12700	19
12900	27
13100	22
13300	26
13500	25
13700	29
13900	26
14100	17
14300	13
14500	26
14700	17
14900	13
15100	12
15300	18
15500	19
15700	21
15900	13
16100	18
16300	12
16500	17
16700	11
16900	13
17100	9
17300	17
17500	10
17700	16
17900	8
18100	10
18300	9
18500	12
18700	8
18900	5
19100	8
19300	12
19500	5
19700	7
19900	6
20100	6
20300	5
20500	6
20700	8
20900	8
21100	9
21300	1
21500	5
21700	5
21900	5
22100	7
22300	3
22500	5
22700	3
22900	6
23100	1
23300	5
23500	3
23700	2
23900	5
24100	2
24300	4
24500	5
24700	1
24900	3
25100	3
25300	4
25500	1
25700	3
25900	1
26100	0
26300	3
26500	3
26700	2
26900	1
27100	3
27300	2
27500	2
27700	2
27900	1
28100	2
28300	0
28500	2
28700	2
28900	3
29100	1
29300	2
29500	0
29700	1
29900	1
30100	2
30300	2
30500	5
30700	1
30900	0
31100	5
31300	0
31500	2
31700	2
31900	1
32100	2
32300	3
32500	0
32700	2
32900	4
33100	4
33300	0
33500	1
33700	1
33900	2
34100	0
34300	1
34500	2
34700	0
34900	2
35100	1
35300	3
35500	2
35700	0
35900	2
36100	0
36300	0
36500	0
36700	0
36900	0
37100	1
37300	1
37500	2
37700	0
37900	1
38100	1
38300	1
38500	1
38700	1
38900	0
39100	1
39300	0
39500	0
39700	3
39900	2
40100	0
40300	2
40500	0
40700	0
40900	0
41100	0
41300	0
41500	0
41700	0
41900	0
42100	0
42300	1
42500	0
42700	0
42900	0
43100	1
43300	1
43500	0
43700	0
43900	0
44100	1
44300	1
44500	1
44700	1
44900	0
45100	0
45300	0
45500	0
45700	1
45900	0
46100	3
46300	1
46500	0
46700	0
46900	0
47100	0
47300	0
47500	0
47700	0
47900	0
48100	1
48300	0
48500	0
48700	0
48900	1
49100	1
49300	0
49500	0
49700	0
49900	1
50100	0
50300	0
50500	0
50700	0
50900	1
51100	0
51300	0
51500	0
51700	1
51900	1
52100	0
52300	2
52500	1
52700	1
52900	0
53100	0
53300	2
53500	0
53700	1
53900	1
54100	0
54300	0
54500	0
54700	0
54900	0
55100	1
55300	0
55500	0
55700	0
55900	0
56100	0
56300	0
