

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 14/04/2025 
Time:  	 12:36:05 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 500 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250414-T123605 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 53,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 50 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 6664 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 6008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-2975 	0 	
-2925 	2 	
-2875 	3 	
-2825 	2 	
-2775 	4 	
-2725 	1 	
-2675 	7 	
-2625 	3 	
-2575 	5 	
-2525 	6 	
-2475 	5 	
-2425 	9 	
-2375 	11 	
-2325 	7 	
-2275 	6 	
-2225 	9 	
-2175 	11 	
-2125 	7 	
-2075 	12 	
-2025 	12 	
-1975 	7 	
-1925 	5 	
-1875 	13 	
-1825 	13 	
-1775 	10 	
-1725 	15 	
-1675 	16 	
-1625 	17 	
-1575 	15 	
-1525 	14 	
-1475 	19 	
-1425 	14 	
-1375 	14 	
-1325 	12 	
-1275 	18 	
-1225 	19 	
-1175 	17 	
-1125 	13 	
-1075 	21 	
-1025 	21 	
-975 	16 	
-925 	14 	
-875 	13 	
-825 	25 	
-775 	17 	
-725 	22 	
-675 	16 	
-625 	17 	
-575 	25 	
-525 	22 	
-475 	23 	
-425 	25 	
-375 	16 	
-325 	11 	
-275 	18 	
-225 	21 	
-175 	22 	
-125 	16 	
-75 	25 	
-25 	11 	
25 	18 	
75 	20 	
125 	24 	
175 	11 	
225 	19 	
275 	20 	
325 	20 	
375 	12 	
425 	17 	
475 	20 	
525 	22 	
575 	22 	
625 	14 	
675 	13 	
725 	19 	
775 	14 	
825 	15 	
875 	18 	
925 	11 	
975 	13 	
1025 	13 	
1075 	12 	
1125 	16 	
1175 	19 	
1225 	17 	
1275 	14 	
1325 	13 	
1375 	6 	
1425 	11 	
1475 	9 	
1525 	10 	
1575 	14 	
1625 	12 	
1675 	11 	
1725 	6 	
1775 	5 	
1825 	11 	
1875 	12 	
1925 	6 	
1975 	8 	
2025 	5 	
2075 	7 	
