

*** Start of Header ***

Signature:  	 HERA Writer V 1.1
Separator TAB
Decimal Separator:  "." 
Date:  	 14/04/2025 
Time:  	 11:27:58 
Username:  	  
Description:  	  
Dataset Channels: 	 2 
Dataset Samples:  	 600 

Data taking Conditions:  	  
 
Dataset metadata
Date / Time creation: 	 20250414-T112757 
User: 	 Guest 
Activity code: 	 20 
Sub-Activity code: 	 1 
Sub-Activity: 	 A1.1 SiPM Characterization 

PSAU settings:
 Channel in use: 	 1 

Channels setting follow: 	  
Ch.:  	 0 
SiPM Serial: 	 10564 
Bias Voltage [V]: 	 54,00 
Gain [dB]: 	 25,00 
Threshold [mV]: 	 -100,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 Off 
dV/dT 	 20,00 
Ch.:  	 1 
SiPM Serial: 	 10567 
Bias Voltage [V]: 	 55,50 
Gain [dB]: 	 20,00 
Threshold [mV]: 	 -20,00 
Channel Temperature [°C]: 	 21,40 
T Compensation:  	 On 
dV/dT 	 0,00 

DGTZ settings:
 Model: 	 DT5720A 
Model #: 	 9 
Serial #: 	 1164 
Channel 0 Status: 	 Off 
Channel 1 Status: 	 On 
DC Offset 0: 	 -38 
DC Offset 1: 	 0 
Trigger Mode: 	 FALSE 
Trigger Rise Time: 	 8 
Trigger Mean: 	 8 
Trigger 0 Thresh.: 	 30 
Trigger 1 Thresh.: 	 50 
Gate Mode: 	 FALSE 
Gate Width|Pre|Hold: 	 5000 | 200 | 6664 
Baseline Mean|Thresh.|NoFlatTime: 	 16 | 8 | 6008 
Coincidence Status: 	 FALSE 
Coincidence on GPO|Time: 	 0 | 0 
*** End of Header ***
 
ADC Channel	Counts	 
-9975 	0 	
-9925 	0 	
-9875 	0 	
-9825 	0 	
-9775 	0 	
-9725 	0 	
-9675 	0 	
-9625 	0 	
-9575 	0 	
-9525 	0 	
-9475 	0 	
-9425 	0 	
-9375 	0 	
-9325 	1 	
-9275 	0 	
-9225 	0 	
-9175 	0 	
-9125 	0 	
-9075 	0 	
-9025 	0 	
-8975 	0 	
-8925 	0 	
-8875 	0 	
-8825 	0 	
-8775 	0 	
-8725 	0 	
-8675 	0 	
-8625 	0 	
-8575 	0 	
-8525 	0 	
-8475 	0 	
-8425 	0 	
-8375 	0 	
-8325 	0 	
-8275 	0 	
-8225 	0 	
-8175 	0 	
-8125 	0 	
-8075 	1 	
-8025 	0 	
-7975 	0 	
-7925 	0 	
-7875 	0 	
-7825 	0 	
-7775 	0 	
-7725 	0 	
-7675 	1 	
-7625 	0 	
-7575 	0 	
-7525 	0 	
-7475 	0 	
-7425 	0 	
-7375 	0 	
-7325 	0 	
-7275 	0 	
-7225 	0 	
-7175 	0 	
-7125 	1 	
-7075 	0 	
-7025 	0 	
-6975 	0 	
-6925 	0 	
-6875 	1 	
-6825 	0 	
-6775 	0 	
-6725 	0 	
-6675 	0 	
-6625 	0 	
-6575 	0 	
-6525 	0 	
-6475 	0 	
-6425 	0 	
-6375 	0 	
-6325 	0 	
-6275 	1 	
-6225 	0 	
-6175 	0 	
-6125 	0 	
-6075 	0 	
-6025 	0 	
-5975 	0 	
-5925 	0 	
-5875 	0 	
-5825 	0 	
-5775 	0 	
-5725 	0 	
-5675 	0 	
-5625 	0 	
-5575 	0 	
-5525 	0 	
-5475 	0 	
-5425 	0 	
-5375 	0 	
-5325 	0 	
-5275 	0 	
-5225 	1 	
-5175 	2 	
-5125 	0 	
-5075 	0 	
-5025 	0 	
-4975 	0 	
-4925 	0 	
-4875 	0 	
-4825 	0 	
-4775 	0 	
-4725 	0 	
-4675 	0 	
-4625 	0 	
-4575 	0 	
-4525 	0 	
-4475 	0 	
-4425 	0 	
-4375 	0 	
-4325 	0 	
-4275 	0 	
-4225 	1 	
-4175 	0 	
-4125 	0 	
-4075 	0 	
-4025 	0 	
-3975 	0 	
-3925 	0 	
-3875 	0 	
-3825 	0 	
-3775 	0 	
-3725 	0 	
-3675 	1 	
-3625 	0 	
-3575 	0 	
-3525 	1 	
-3475 	0 	
-3425 	0 	
-3375 	1 	
-3325 	0 	
-3275 	0 	
-3225 	0 	
