ADC Channel - Charge distribution	Counts - Charge distribution
-4950	0
-4850	0
-4750	1
-4650	1
-4550	2
-4450	0
-4350	1
-4250	0
-4150	0
-4050	0
-3950	1
-3850	0
-3750	0
-3650	1
-3550	1
-3450	1
-3350	6
-3250	9
-3150	16
-3050	19
-2950	24
-2850	27
-2750	55
-2650	71
-2550	67
-2450	88
-2350	110
-2250	105
-2150	114
-2050	125
-1950	99
-1850	131
-1750	152
-1650	139
-1550	126
-1450	181
-1350	189
-1250	183
-1150	182
-1050	240
-950	209
-850	223
-750	216
-650	245
-550	246
-450	253
-350	298
-250	284
-150	300
-50	294
50	300
150	311
250	308
350	336
450	376
550	374
650	412
750	352
850	377
950	405
1050	430
1150	455
1250	454
1350	427
1450	445
1550	425
1650	477
1750	465
1850	473
1950	490
2050	529
2150	523
2250	549
2350	552
2450	565
2550	601
2650	628
2750	556
2850	562
2950	611
3050	642
3150	636
3250	648
3350	623
3450	620
3550	660
3650	633
3750	683
3850	668
3950	655
4050	622
4150	725
4250	704
4350	696
4450	768
4550	801
4650	778
4750	773
4850	805
4950	824
5050	783
5150	773
5250	745
5350	723
5450	776
5550	714
5650	683
5750	686
5850	627
5950	641
6050	634
6150	602
6250	580
6350	593
6450	585
6550	532
6650	523
6750	525
6850	524
6950	507
7050	495
7150	502
7250	428
7350	443
7450	471
7550	437
7650	463
7750	447
7850	411
7950	418
8050	465
8150	412
8250	463
8350	412
8450	410
8550	379
8650	380
8750	382
8850	383
8950	351
9050	352
9150	312
9250	337
9350	308
9450	252
9550	281
9650	245
9750	224
9850	206
9950	193
10050	198
10150	170
10250	166
10350	156
10450	139
10550	121
10650	127
10750	135
10850	143
10950	116
11050	101
11150	111
11250	90
11350	104
11450	106
11550	108
11650	96
11750	106
11850	107
11950	112
12050	125
12150	128
12250	129
12350	132
12450	154
12550	168
12650	213
12750	262
12850	269
12950	279
13050	309
13150	384
13250	406
13350	490
13450	491
13550	596
13650	569
13750	582
13850	615
13950	643
14050	651
14150	615
14250	619
14350	625
14450	595
14550	575
14650	550
14750	486
14850	465
14950	398
15050	370
15150	282
15250	267
15350	221
15450	205
15550	168
15650	136
15750	109
15850	94
15950	72
16050	81
16150	61
16250	48
16350	58
16450	56
16550	56
16650	40
16750	45
16850	37
16950	45
17050	41
17150	41
17250	43
17350	44
17450	43
17550	36
17650	33
17750	44
17850	48
17950	42
18050	48
18150	45
18250	60
18350	46
18450	47
18550	51
18650	37
18750	44
18850	45
18950	49
19050	54
19150	42
19250	42
19350	39
19450	57
19550	72
19650	41
19750	55
19850	35
19950	46
20050	58
20150	47
20250	48
20350	32
20450	44
20550	44
20650	51
20750	66
20850	38
20950	50
21050	53
21150	54
21250	54
21350	45
21450	53
21550	47
21650	55
21750	48
21850	51
21950	58
22050	58
22150	42
22250	47
22350	51
22450	60
22550	45
22650	49
22750	65
22850	40
22950	46
23050	68
23150	61
23250	49
23350	41
23450	52
23550	70
23650	53
23750	69
23850	61
23950	74
24050	63
24150	64
24250	65
24350	63
24450	51
24550	67
24650	48
24750	51
24850	64
24950	56
25050	54
25150	56
25250	70
25350	54
25450	66
25550	56
25650	57
25750	62
25850	61
25950	62
26050	60
26150	75
26250	45
26350	66
26450	37
26550	50
26650	55
26750	58
26850	46
26950	35
27050	42
27150	43
27250	33
27350	36
27450	30
27550	30
27650	35
27750	29
27850	28
27950	23
28050	26
28150	17
28250	29
28350	22
28450	15
28550	11
28650	16
28750	13
28850	17
28950	22
29050	15
29150	13
29250	13
29350	13
29450	20
29550	21
29650	11
29750	18
29850	24
29950	22
30050	18
30150	28
30250	24
30350	27
30450	33
30550	24
30650	28
30750	24
30850	33
30950	40
31050	26
31150	34
31250	33
31350	36
31450	35
31550	32
31650	34
31750	33
31850	27
31950	38
32050	31
32150	43
32250	33
32350	34
32450	32
32550	38
32650	25
32750	16
32850	37
32950	13
33050	17
33150	21
33250	15
33350	12
33450	14
33550	13
33650	6
33750	7
33850	11
33950	3
34050	4
34150	2
34250	1
34350	4
34450	4
34550	2
34650	1
34750	1
34850	1
34950	0
35050	0
35150	1
35250	2
35350	0
35450	1
35550	0
35650	0
35750	0
35850	0
35950	0
36050	0
36150	0
36250	1
36350	0
36450	0
36550	0
36650	0
36750	0
36850	0
36950	0
37050	0
37150	0
37250	1
37350	1
37450	0
37550	0
37650	0
37750	0
37850	1
37950	0
38050	0
38150	0
38250	1
38350	0
38450	0
38550	0
38650	0
38750	0
38850	0
38950	0
39050	0
39150	0
39250	0
39350	0
39450	0
39550	1
39650	1
39750	0
39850	0
39950	0
40050	1
40150	0
40250	0
40350	0
40450	1
40550	0
40650	0
40750	0
40850	0
40950	0
41050	0
41150	0
41250	0
41350	0
41450	0
41550	0
41650	0
41750	0
41850	0
41950	0
42050	0
42150	0
42250	0
42350	0
42450	0
42550	1
42650	0
42750	0
42850	0
42950	0
43050	0
43150	0
43250	0
43350	0
43450	0
43550	0
43650	0
43750	0
43850	0
43950	0
44050	0
44150	0
44250	0
44350	0
44450	0
44550	0
44650	0
44750	0
44850	0
44950	0
