ADC Channel - Charge distribution	Counts - Charge distribution
-975	0
-925	0
-875	0
-825	0
-775	0
-725	0
-675	0
-625	0
-575	0
-525	0
-475	0
-425	0
-375	0
-325	0
-275	0
-225	0
-175	0
-125	0
-75	0
-25	0
25	0
75	0
125	0
175	0
225	0
275	0
325	0
375	0
425	0
475	0
525	0
575	0
625	0
675	0
725	0
775	0
825	0
875	0
925	0
975	0
1025	0
1075	0
1125	0
1175	0
1225	0
1275	0
1325	0
1375	0
1425	0
1475	0
1525	0
1575	0
1625	0
1675	0
1725	0
1775	0
1825	0
1875	0
1925	0
1975	0
2025	0
2075	0
2125	0
2175	0
2225	0
2275	0
2325	0
2375	0
2425	0
2475	0
2525	0
2575	1
2625	3
2675	7
2725	7
2775	36
2825	43
2875	56
2925	46
2975	65
3025	62
3075	53
3125	73
3175	68
3225	79
3275	77
3325	77
3375	70
3425	92
3475	88
3525	108
3575	92
3625	105
3675	87
3725	93
3775	97
3825	98
3875	101
3925	82
3975	125
4025	98
4075	101
4125	104
4175	100
4225	124
4275	104
4325	82
4375	87
4425	93
4475	95
4525	102
4575	91
4625	90
4675	78
4725	92
4775	82
4825	101
4875	98
4925	87
4975	94
5025	99
5075	102
5125	99
5175	98
5225	114
5275	93
5325	80
5375	94
5425	69
5475	96
5525	99
5575	99
5625	94
5675	76
5725	88
5775	95
5825	86
5875	90
5925	96
5975	91
6025	76
6075	85
6125	101
6175	91
6225	91
6275	91
6325	89
6375	104
6425	82
6475	80
6525	84
6575	90
6625	90
6675	78
6725	72
6775	94
6825	92
6875	79
6925	108
6975	91
7025	101
7075	83
7125	101
7175	74
7225	78
7275	77
7325	102
7375	94
7425	89
7475	86
7525	80
7575	82
7625	85
7675	83
7725	92
7775	83
7825	77
7875	84
7925	96
7975	70
8025	86
8075	85
8125	111
8175	93
8225	84
8275	100
8325	89
8375	82
8425	107
8475	89
8525	95
8575	89
8625	116
8675	74
8725	86
8775	91
8825	103
8875	81
8925	106
8975	94
9025	104
9075	96
9125	108
9175	102
9225	109
9275	93
9325	104
9375	127
9425	100
9475	124
9525	129
9575	132
9625	127
9675	120
9725	140
9775	128
9825	135
9875	145
9925	151
9975	153
10025	147
10075	161
10125	140
10175	150
10225	161
10275	153
10325	153
10375	152
10425	171
10475	168
10525	181
10575	172
10625	181
10675	179
10725	176
10775	169
10825	174
10875	162
10925	167
10975	183
11025	183
11075	190
11125	191
11175	210
11225	204
11275	204
11325	208
11375	183
11425	201
11475	205
11525	196
11575	185
11625	200
11675	219
11725	204
11775	224
11825	197
11875	216
11925	195
11975	223
12025	218
12075	240
12125	229
12175	225
12225	236
12275	202
12325	217
12375	219
12425	237
12475	226
12525	201
12575	229
12625	246
12675	194
12725	233
12775	238
12825	204
12875	248
12925	203
12975	221
13025	228
13075	238
13125	220
13175	219
13225	213
13275	219
13325	228
13375	207
13425	188
13475	239
13525	226
13575	233
13625	226
13675	240
13725	211
13775	226
13825	228
13875	207
13925	236
13975	200
14025	250
14075	240
14125	213
14175	220
14225	209
14275	228
14325	206
14375	216
14425	227
14475	229
14525	213
14575	213
14625	202
14675	216
14725	216
14775	244
14825	200
14875	243
14925	223
14975	209
15025	224
15075	245
15125	212
15175	246
15225	222
15275	230
15325	205
15375	252
15425	219
15475	229
15525	232
15575	226
15625	227
15675	237
15725	185
15775	236
15825	238
15875	214
15925	225
15975	221
16025	236
16075	230
16125	228
16175	213
16225	237
16275	219
16325	215
16375	230
16425	198
16475	213
16525	212
16575	226
16625	202
16675	238
16725	230
16775	205
16825	196
16875	222
16925	220
16975	223
17025	236
17075	197
17125	226
17175	207
17225	174
17275	206
17325	200
17375	211
17425	207
17475	205
17525	210
17575	209
17625	212
17675	205
17725	179
17775	208
17825	209
17875	219
17925	189
17975	204
18025	217
18075	214
18125	196
18175	177
18225	223
18275	196
18325	195
18375	186
18425	226
18475	212
18525	175
18575	212
18625	188
18675	198
18725	216
18775	188
18825	207
18875	205
18925	207
18975	217
19025	191
19075	225
19125	208
19175	210
19225	198
19275	190
19325	202
19375	201
19425	215
19475	213
19525	224
19575	216
19625	219
19675	199
19725	200
19775	183
19825	219
19875	235
19925	195
19975	198
20025	184
20075	184
20125	201
20175	191
20225	173
20275	186
20325	186
20375	205
20425	220
20475	200
20525	195
20575	190
20625	219
20675	182
20725	217
20775	218
20825	181
20875	203
20925	216
20975	217
21025	208
21075	201
21125	222
21175	203
21225	224
21275	215
21325	211
21375	184
21425	204
21475	196
21525	207
21575	201
21625	205
21675	189
21725	216
21775	229
21825	206
21875	184
21925	192
21975	175
22025	210
22075	192
22125	204
22175	189
22225	182
22275	194
22325	195
22375	204
22425	184
22475	196
22525	183
22575	196
22625	230
22675	213
22725	193
22775	176
22825	179
22875	182
22925	195
22975	213
23025	172
23075	176
23125	217
23175	206
23225	175
23275	184
23325	213
23375	166
23425	177
23475	164
23525	174
23575	170
23625	174
23675	180
23725	186
23775	167
23825	186
23875	190
23925	177
23975	198
24025	167
24075	174
24125	171
24175	182
24225	175
24275	168
24325	176
24375	174
24425	144
24475	155
24525	169
24575	151
24625	166
24675	159
24725	163
24775	165
24825	189
24875	167
24925	149
24975	142
25025	130
25075	144
25125	137
25175	125
25225	151
25275	155
25325	145
25375	147
25425	123
25475	135
25525	129
25575	148
25625	149
25675	122
25725	148
25775	152
25825	145
25875	132
25925	132
25975	142
26025	149
26075	128
26125	137
26175	122
26225	136
26275	126
26325	133
26375	119
26425	145
26475	124
26525	139
26575	122
26625	105
26675	113
26725	149
26775	127
26825	122
26875	130
26925	113
26975	101
27025	124
27075	110
27125	99
27175	109
27225	114
27275	117
27325	112
27375	103
27425	85
27475	99
27525	87
27575	124
27625	93
27675	104
27725	89
27775	103
27825	97
27875	96
27925	89
27975	84
28025	85
28075	94
28125	106
28175	82
28225	96
28275	99
28325	90
28375	74
28425	82
28475	76
28525	102
28575	90
28625	82
28675	74
28725	81
28775	75
28825	90
28875	66
28925	77
28975	72
29025	66
29075	79
29125	78
29175	79
29225	70
29275	75
29325	74
29375	69
29425	82
29475	76
29525	73
29575	64
29625	68
29675	79
29725	78
29775	74
29825	66
29875	61
29925	57
29975	63
30025	49
30075	65
30125	64
30175	52
30225	48
30275	67
30325	64
30375	58
30425	59
30475	61
30525	56
30575	59
30625	49
30675	53
30725	53
30775	63
30825	61
30875	68
30925	55
30975	61
31025	64
31075	77
31125	56
31175	54
31225	52
31275	56
31325	53
31375	66
31425	50
31475	50
31525	44
31575	37
31625	44
31675	35
31725	40
31775	46
31825	32
31875	51
31925	48
31975	42
32025	58
32075	36
32125	44
32175	35
32225	30
32275	43
32325	30
32375	40
32425	32
32475	34
32525	41
32575	37
32625	35
32675	34
32725	31
32775	27
32825	40
32875	31
32925	29
32975	45
33025	23
33075	33
33125	26
33175	29
33225	28
33275	25
33325	31
33375	23
33425	26
33475	26
33525	14
33575	22
33625	24
33675	18
33725	17
33775	13
33825	18
33875	15
33925	22
33975	17
34025	8
34075	14
34125	16
34175	15
34225	18
34275	12
34325	12
34375	11
34425	4
34475	13
34525	8
34575	11
34625	13
34675	8
34725	6
34775	7
34825	4
34875	5
34925	9
34975	7
35025	5
35075	4
35125	4
