ADC Channel - Charge distribution	Counts - Charge distribution
-985	0
-955	0
-925	0
-895	0
-865	0
-835	0
-805	0
-775	0
-745	0
-715	0
-685	0
-655	0
-625	0
-595	0
-565	0
-535	0
-505	0
-475	0
-445	0
-415	0
-385	0
-355	0
-325	0
-295	0
-265	0
-235	0
-205	0
-175	0
-145	0
-115	0
-85	0
-55	0
-25	0
5	0
35	0
65	0
95	0
125	0
155	0
185	0
215	0
245	0
275	0
305	0
335	0
365	0
395	0
425	0
455	0
485	0
515	0
545	0
575	0
605	0
635	0
665	0
695	0
725	0
755	0
785	0
815	0
845	0
875	0
905	0
935	0
965	0
995	0
1025	0
1055	0
1085	0
1115	0
1145	0
1175	0
1205	0
1235	0
1265	0
1295	0
1325	0
1355	0
1385	0
1415	0
1445	0
1475	0
1505	0
1535	0
1565	1
1595	0
1625	0
1655	0
1685	0
1715	0
1745	0
1775	0
1805	0
1835	0
1865	0
1895	0
1925	0
1955	0
1985	0
2015	0
2045	0
2075	0
2105	0
2135	0
2165	0
2195	0
2225	0
2255	0
2285	0
2315	1
2345	0
2375	0
2405	0
2435	1
2465	0
2495	1
2525	3
2555	10
2585	16
2615	29
2645	65
2675	111
2705	154
2735	200
2765	239
2795	316
2825	355
2855	417
2885	462
2915	489
2945	510
2975	487
3005	513
3035	480
3065	512
3095	500
3125	481
3155	523
3185	495
3215	528
3245	493
3275	547
3305	492
3335	516
3365	493
3395	488
3425	493
3455	554
3485	532
3515	544
3545	489
3575	497
3605	547
3635	492
3665	492
3695	482
3725	554
3755	491
3785	549
3815	537
3845	501
3875	509
3905	503
3935	529
3965	563
3995	465
4025	458
4055	507
4085	510
4115	513
4145	483
4175	505
4205	470
4235	467
4265	533
4295	503
4325	531
4355	492
4385	502
4415	552
4445	511
4475	492
4505	526
4535	513
4565	508
4595	506
4625	506
4655	519
4685	521
4715	535
4745	572
4775	544
4805	535
4835	489
4865	522
4895	536
4925	525
4955	503
4985	481
5015	566
5045	552
5075	546
5105	526
5135	551
5165	544
5195	512
5225	538
5255	511
5285	516
5315	559
5345	554
5375	564
5405	536
5435	554
5465	561
5495	488
5525	547
5555	575
5585	532
5615	513
5645	550
5675	572
5705	551
5735	606
5765	543
5795	529
5825	582
5855	557
5885	574
5915	562
5945	622
5975	593
6005	599
6035	621
6065	599
6095	605
6125	571
6155	598
6185	649
6215	650
6245	671
6275	604
6305	633
6335	619
6365	588
6395	659
6425	668
6455	669
6485	687
6515	638
6545	647
6575	641
6605	653
6635	656
6665	641
6695	711
6725	703
6755	718
6785	703
6815	681
6845	718
6875	688
6905	719
6935	746
6965	708
6995	708
7025	677
7055	698
7085	694
7115	697
7145	695
7175	706
7205	657
7235	684
7265	661
7295	715
7325	666
7355	734
7385	666
7415	693
7445	677
7475	683
7505	659
7535	666
7565	673
7595	661
7625	640
7655	623
7685	674
7715	655
7745	605
7775	598
7805	640
7835	632
7865	633
7895	592
7925	650
7955	628
7985	651
8015	655
8045	589
8075	610
8105	610
8135	589
8165	650
8195	597
8225	591
8255	548
8285	607
8315	536
8345	540
8375	595
8405	569
8435	583
8465	544
8495	587
8525	626
8555	582
8585	564
8615	607
8645	581
8675	552
8705	566
8735	577
8765	543
8795	532
8825	535
8855	529
8885	538
8915	502
8945	570
8975	561
9005	551
9035	574
9065	572
9095	505
9125	542
9155	586
9185	544
9215	544
9245	494
9275	558
9305	514
9335	483
9365	515
9395	528
9425	523
9455	545
9485	525
9515	534
9545	517
9575	482
9605	534
9635	511
9665	535
9695	529
9725	505
9755	487
9785	527
9815	491
9845	519
9875	487
9905	535
9935	493
9965	490
9995	518
10025	503
10055	515
10085	520
10115	443
10145	554
10175	476
10205	467
10235	530
10265	502
10295	477
10325	487
10355	486
10385	537
10415	499
10445	537
10475	475
10505	512
10535	498
10565	533
10595	450
10625	471
10655	521
10685	473
10715	505
10745	502
10775	446
10805	469
10835	455
10865	509
10895	498
10925	481
10955	512
10985	471
11015	464
11045	421
11075	473
11105	492
11135	441
11165	462
11195	475
11225	455
11255	480
11285	465
11315	459
11345	496
11375	492
11405	444
11435	476
11465	468
11495	429
11525	519
11555	450
11585	470
11615	472
11645	502
11675	452
11705	464
11735	486
11765	414
11795	479
11825	466
11855	439
11885	476
11915	487
11945	484
11975	464
12005	481
12035	489
12065	483
12095	446
12125	444
12155	484
12185	491
12215	454
12245	440
12275	455
12305	449
12335	436
12365	502
12395	454
12425	464
12455	462
12485	476
12515	458
12545	441
12575	446
12605	479
12635	481
12665	455
12695	447
12725	431
12755	428
12785	449
12815	427
12845	453
12875	443
12905	433
12935	424
12965	439
12995	457
13025	452
13055	416
13085	445
13115	431
13145	449
13175	456
13205	425
13235	437
13265	445
13295	425
13325	425
13355	431
13385	425
13415	461
13445	411
13475	412
13505	428
13535	446
13565	438
13595	407
13625	436
13655	427
13685	429
13715	419
13745	424
13775	382
13805	397
13835	404
13865	450
13895	430
13925	413
13955	383
13985	361
14015	444
14045	390
14075	401
14105	381
14135	411
14165	390
14195	395
14225	403
14255	392
14285	368
14315	391
14345	385
14375	412
14405	394
14435	343
14465	371
14495	387
14525	389
14555	365
14585	360
14615	349
14645	351
14675	386
14705	352
14735	385
14765	315
14795	343
14825	345
14855	351
14885	314
14915	330
14945	344
14975	324
15005	340
15035	301
15065	290
15095	285
15125	292
15155	295
15185	299
15215	310
15245	273
15275	285
15305	302
15335	274
15365	287
15395	273
15425	298
15455	283
15485	303
15515	303
15545	293
15575	269
15605	276
15635	264
15665	266
15695	242
15725	258
15755	251
15785	246
15815	264
15845	277
15875	237
15905	269
15935	257
15965	259
15995	246
16025	240
16055	262
16085	259
16115	239
16145	267
16175	260
16205	263
16235	245
16265	237
16295	244
16325	253
16355	275
16385	266
16415	240
16445	228
16475	285
16505	296
16535	289
16565	272
16595	302
16625	268
16655	299
16685	284
16715	273
16745	256
16775	300
16805	291
16835	320
16865	290
16895	337
16925	345
16955	313
16985	345
17015	289
17045	318
17075	362
17105	354
17135	352
17165	370
17195	382
17225	376
17255	394
17285	388
17315	370
17345	373
17375	411
17405	403
17435	422
17465	428
17495	414
17525	419
17555	435
17585	436
17615	470
17645	499
17675	450
17705	502
17735	467
17765	471
17795	492
17825	520
17855	507
17885	529
17915	540
17945	495
17975	491
18005	605
18035	571
18065	615
18095	582
18125	559
18155	598
18185	600
18215	608
18245	618
18275	662
18305	639
18335	682
18365	646
18395	664
18425	726
18455	716
18485	701
18515	720
18545	769
18575	773
18605	781
18635	742
18665	791
18695	778
18725	802
18755	863
18785	804
18815	861
18845	877
18875	827
18905	878
18935	849
18965	935
18995	953
19025	980
19055	952
19085	1019
19115	1002
19145	1007
19175	1010
19205	985
19235	1109
19265	1076
19295	1101
19325	1063
19355	1113
19385	1142
19415	1149
19445	1155
19475	1212
19505	1220
19535	1241
19565	1279
19595	1272
19625	1267
19655	1339
19685	1371
19715	1401
19745	1421
19775	1401
19805	1380
19835	1407
19865	1427
19895	1453
19925	1397
19955	1490
19985	1474
20015	1559
20045	1514
20075	1588
20105	1564
20135	1573
20165	1526
20195	1543
20225	1605
20255	1637
20285	1608
20315	1687
20345	1507
20375	1628
20405	1717
20435	1742
20465	1706
20495	1651
20525	1693
20555	1720
20585	1723
20615	1705
20645	1684
20675	1712
20705	1637
20735	1726
20765	1699
20795	1676
20825	1642
20855	1653
20885	1679
20915	1613
20945	1708
20975	1649
21005	1627
21035	1596
21065	1642
21095	1596
21125	1475
21155	1521
21185	1554
21215	1464
21245	1456
21275	1509
21305	1422
21335	1507
21365	1347
21395	1384
21425	1355
21455	1277
21485	1293
21515	1218
21545	1226
21575	1280
21605	1120
21635	1165
21665	1158
21695	1112
21725	1082
21755	1098
21785	1024
21815	971
21845	946
21875	879
21905	875
21935	902
21965	837
21995	773
22025	806
22055	745
22085	747
22115	694
22145	694
22175	679
22205	625
22235	575
22265	570
22295	542
22325	522
22355	558
22385	504
22415	449
22445	443
22475	440
22505	416
22535	405
22565	380
22595	433
22625	346
22655	337
22685	305
22715	327
22745	315
22775	317
22805	295
22835	277
22865	241
22895	243
22925	214
22955	234
22985	217
23015	206
23045	214
23075	214
23105	206
23135	235
23165	197
23195	170
23225	190
23255	180
23285	165
23315	171
23345	138
23375	173
23405	145
23435	158
23465	157
23495	128
23525	150
23555	153
23585	149
23615	136
23645	114
23675	129
23705	122
23735	127
23765	130
23795	130
23825	123
23855	129
23885	123
23915	136
23945	124
23975	119
24005	118
24035	147
24065	126
24095	125
24125	132
24155	130
24185	116
24215	120
24245	105
24275	126
24305	105
24335	108
24365	116
24395	111
24425	101
24455	121
24485	131
24515	127
24545	117
24575	122
24605	104
24635	122
24665	123
24695	131
24725	120
24755	120
24785	148
24815	131
24845	117
24875	101
24905	115
24935	111
24965	121
24995	121
25025	111
25055	136
25085	119
25115	133
25145	127
25175	87
25205	95
25235	115
25265	109
25295	106
25325	114
25355	107
25385	105
25415	128
25445	120
25475	115
25505	88
25535	126
25565	112
25595	108
25625	120
25655	116
25685	129
25715	140
25745	121
25775	110
25805	114
25835	114
25865	105
25895	125
25925	130
25955	93
25985	112
26015	123
26045	107
26075	111
26105	155
26135	130
26165	112
26195	115
26225	111
26255	91
26285	120
26315	115
26345	123
26375	124
26405	110
26435	113
26465	120
26495	132
26525	102
26555	113
26585	121
26615	125
26645	109
26675	110
26705	116
26735	105
26765	103
26795	100
26825	104
26855	92
26885	112
26915	97
26945	99
26975	119
27005	111
27035	119
27065	121
27095	125
27125	113
27155	107
27185	98
27215	112
27245	110
27275	115
27305	106
27335	110
27365	106
27395	117
27425	101
27455	107
27485	114
27515	134
27545	123
27575	106
27605	110
27635	100
27665	113
27695	110
27725	101
27755	96
27785	103
27815	130
27845	120
27875	112
27905	106
27935	119
27965	103
27995	114
28025	98
28055	109
28085	107
28115	118
28145	118
28175	107
