ADC Channel - Charge distribution	Counts - Charge distribution
-985	0
-955	0
-925	0
-895	0
-865	0
-835	0
-805	0
-775	0
-745	0
-715	0
-685	0
-655	0
-625	0
-595	0
-565	0
-535	0
-505	0
-475	0
-445	0
-415	0
-385	0
-355	0
-325	0
-295	0
-265	0
-235	0
-205	0
-175	0
-145	0
-115	0
-85	0
-55	0
-25	0
5	0
35	0
65	0
95	0
125	0
155	0
185	0
215	0
245	0
275	0
305	0
335	0
365	0
395	0
425	0
455	0
485	0
515	0
545	0
575	0
605	0
635	0
665	0
695	0
725	0
755	0
785	0
815	0
845	0
875	0
905	0
935	0
965	0
995	0
1025	0
1055	0
1085	0
1115	0
1145	0
1175	0
1205	0
1235	0
1265	0
1295	0
1325	0
1355	0
1385	0
1415	0
1445	0
1475	0
1505	0
1535	0
1565	0
1595	0
1625	0
1655	0
1685	0
1715	0
1745	0
1775	0
1805	0
1835	0
1865	0
1895	0
1925	0
1955	0
1985	0
2015	2
2045	0
2075	0
2105	1
2135	1
2165	0
2195	0
2225	0
2255	1
2285	0
2315	0
2345	1
2375	0
2405	0
2435	1
2465	2
2495	0
2525	5
2555	3
2585	18
2615	24
2645	58
2675	84
2705	147
2735	222
2765	294
2795	366
2825	467
2855	535
2885	599
2915	642
2945	634
2975	669
3005	653
3035	695
3065	684
3095	665
3125	639
3155	716
3185	687
3215	690
3245	708
3275	681
3305	671
3335	676
3365	655
3395	710
3425	692
3455	663
3485	705
3515	691
3545	664
3575	694
3605	735
3635	726
3665	741
3695	704
3725	664
3755	718
3785	698
3815	701
3845	676
3875	717
3905	685
3935	694
3965	653
3995	726
4025	739
4055	706
4085	667
4115	664
4145	750
4175	688
4205	722
4235	714
4265	706
4295	695
4325	730
4355	710
4385	733
4415	750
4445	723
4475	746
4505	665
4535	711
4565	729
4595	728
4625	709
4655	694
4685	778
4715	658
4745	742
4775	694
4805	728
4835	712
4865	701
4895	726
4925	707
4955	721
4985	701
5015	738
5045	706
5075	696
5105	758
5135	732
5165	749
5195	708
5225	750
5255	742
5285	718
5315	763
5345	784
5375	781
5405	726
5435	767
5465	732
5495	716
5525	729
5555	789
5585	766
5615	696
5645	750
5675	739
5705	769
5735	687
5765	793
5795	724
5825	779
5855	835
5885	843
5915	751
5945	800
5975	776
6005	759
6035	780
6065	795
6095	844
6125	845
6155	810
6185	785
6215	854
6245	822
6275	802
6305	854
6335	850
6365	920
6395	907
6425	865
6455	875
6485	918
6515	931
6545	887
6575	885
6605	915
6635	961
6665	950
6695	918
6725	928
6755	939
6785	991
6815	941
6845	933
6875	997
6905	966
6935	981
6965	960
6995	992
7025	949
7055	957
7085	983
7115	955
7145	937
7175	950
7205	944
7235	910
7265	894
7295	924
7325	940
7355	958
7385	962
7415	939
7445	974
7475	930
7505	925
7535	943
7565	931
7595	949
7625	889
7655	919
7685	901
7715	909
7745	866
7775	831
7805	874
7835	871
7865	865
7895	889
7925	809
7955	859
7985	876
8015	862
8045	852
8075	861
8105	854
8135	789
8165	791
8195	817
8225	801
8255	846
8285	819
8315	828
8345	841
8375	783
8405	781
8435	802
8465	740
8495	787
8525	791
8555	780
8585	776
8615	742
8645	784
8675	764
8705	799
8735	740
8765	774
8795	785
8825	761
8855	786
8885	790
8915	789
8945	774
8975	733
9005	745
9035	754
9065	768
9095	760
9125	762
9155	747
9185	732
9215	766
9245	715
9275	788
9305	742
9335	766
9365	755
9395	692
9425	733
9455	754
9485	694
9515	751
9545	692
9575	680
9605	706
9635	661
9665	705
9695	674
9725	701
9755	712
9785	715
9815	707
9845	658
9875	684
9905	695
9935	698
9965	694
9995	685
10025	666
10055	726
10085	764
10115	691
10145	682
10175	639
10205	726
10235	704
10265	670
10295	648
10325	631
10355	681
10385	649
10415	703
10445	699
10475	676
10505	701
10535	628
10565	679
10595	693
10625	656
10655	661
10685	622
10715	675
10745	642
10775	715
10805	664
10835	630
10865	677
10895	624
10925	649
10955	675
10985	716
11015	673
11045	638
11075	650
11105	711
11135	656
11165	640
11195	636
11225	653
11255	629
11285	646
11315	665
11345	685
11375	642
11405	635
11435	627
11465	614
11495	624
11525	653
11555	643
11585	665
11615	655
11645	659
11675	641
11705	658
11735	628
11765	610
11795	666
11825	635
11855	632
11885	613
11915	608
11945	619
11975	635
12005	613
12035	628
12065	659
12095	632
12125	650
12155	593
12185	679
12215	655
12245	607
12275	657
12305	694
12335	595
12365	649
12395	646
12425	600
12455	685
12485	605
12515	632
12545	602
12575	651
12605	623
12635	623
12665	633
12695	607
12725	548
12755	600
12785	594
12815	624
12845	606
12875	578
12905	534
12935	645
12965	640
12995	583
13025	601
13055	575
13085	584
13115	571
13145	599
13175	576
13205	567
13235	586
13265	570
13295	604
13325	566
13355	634
13385	606
13415	560
13445	552
13475	575
13505	525
13535	571
13565	562
13595	566
13625	536
13655	543
13685	534
13715	571
13745	598
13775	564
13805	542
13835	541
13865	558
13895	576
13925	554
13955	609
13985	551
14015	529
14045	558
14075	490
14105	511
14135	533
14165	594
14195	510
14225	505
14255	511
14285	519
14315	518
14345	541
14375	562
14405	504
14435	523
14465	528
14495	507
14525	481
14555	488
14585	499
14615	495
14645	465
14675	485
14705	476
14735	470
14765	521
14795	489
14825	417
14855	481
14885	466
14915	451
14945	458
14975	480
15005	432
15035	453
15065	445
15095	477
15125	428
15155	419
15185	427
15215	385
15245	415
15275	411
15305	400
15335	412
15365	437
15395	372
15425	374
15455	360
15485	374
15515	333
15545	380
15575	361
15605	373
15635	349
15665	348
15695	384
15725	349
15755	375
15785	343
15815	390
15845	332
15875	353
15905	350
15935	348
15965	329
15995	343
16025	354
16055	327
16085	350
16115	369
16145	347
16175	323
16205	356
16235	305
16265	331
16295	375
16325	387
16355	323
16385	351
16415	379
16445	328
16475	390
16505	382
16535	341
16565	382
16595	360
16625	348
16655	382
16685	404
16715	391
16745	421
16775	369
16805	421
16835	442
16865	383
16895	461
16925	432
16955	407
16985	431
17015	394
17045	453
17075	430
17105	475
17135	486
17165	487
17195	494
17225	508
17255	518
17285	489
17315	514
17345	514
17375	532
17405	528
17435	572
17465	566
17495	517
17525	596
17555	570
17585	592
17615	629
17645	627
17675	648
17705	626
17735	579
17765	640
17795	710
17825	676
17855	690
17885	707
17915	728
17945	771
17975	695
18005	751
18035	740
18065	760
18095	798
18125	802
18155	832
18185	818
18215	883
18245	835
18275	834
18305	903
18335	873
18365	938
18395	967
18425	949
18455	963
18485	954
18515	1006
18545	986
18575	1040
18605	1021
18635	1142
18665	1060
18695	1088
18725	1050
18755	1078
18785	1070
18815	1177
18845	1156
18875	1160
18905	1198
18935	1233
18965	1245
18995	1254
19025	1328
19055	1304
19085	1266
19115	1339
19145	1339
19175	1426
19205	1440
19235	1374
19265	1388
19295	1516
19325	1462
19355	1472
19385	1512
19415	1450
19445	1556
19475	1597
19505	1703
19535	1635
19565	1650
19595	1719
19625	1765
19655	1705
19685	1815
19715	1795
19745	1804
19775	1774
19805	1957
19835	1916
19865	1876
19895	1888
19925	1954
19955	1943
19985	1993
20015	2028
20045	2092
20075	2033
20105	1993
20135	2150
20165	2060
20195	2232
20225	2132
20255	2174
20285	2106
20315	2259
20345	2179
20375	2271
20405	2162
20435	2219
20465	2291
20495	2253
20525	2290
20555	2295
20585	2203
20615	2336
20645	2283
20675	2300
20705	2254
20735	2333
20765	2315
20795	2257
20825	2310
20855	2328
20885	2302
20915	2274
20945	2277
20975	2253
21005	2091
21035	2318
21065	2200
21095	2126
21125	2168
21155	2077
21185	2067
21215	2065
21245	1926
21275	2099
21305	1970
21335	1974
21365	1900
21395	1869
21425	1860
21455	1775
21485	1743
21515	1694
21545	1716
21575	1631
21605	1614
21635	1577
21665	1545
21695	1519
21725	1492
21755	1526
21785	1348
21815	1366
21845	1305
21875	1267
21905	1274
21935	1229
21965	1192
21995	1191
22025	1149
22055	1048
22085	1080
22115	992
22145	960
22175	870
22205	863
22235	839
22265	841
22295	771
22325	741
22355	705
22385	692
22415	654
22445	655
22475	602
22505	600
22535	581
22565	528
22595	527
22625	474
22655	494
22685	468
22715	452
22745	436
22775	381
22805	362
22835	400
22865	339
22895	370
22925	317
22955	354
22985	301
23015	358
23045	271
23075	270
23105	283
23135	264
23165	250
23195	244
23225	240
23255	200
23285	268
23315	237
23345	241
23375	209
23405	213
23435	187
23465	215
23495	208
23525	207
23555	190
23585	197
23615	183
23645	178
23675	194
23705	183
23735	204
23765	182
23795	171
23825	174
23855	181
23885	204
23915	171
23945	178
23975	175
24005	192
24035	156
24065	172
24095	163
24125	148
24155	176
24185	160
24215	183
24245	164
24275	180
24305	147
24335	174
24365	168
24395	152
24425	178
24455	147
24485	161
24515	154
24545	144
24575	154
24605	153
24635	173
24665	123
24695	173
24725	168
24755	147
24785	158
24815	154
24845	152
24875	148
24905	147
24935	143
24965	165
24995	158
25025	172
25055	146
25085	171
25115	153
25145	186
25175	162
25205	180
25235	167
25265	168
25295	187
25325	156
25355	168
25385	147
25415	171
25445	175
25475	175
25505	151
25535	163
25565	157
25595	175
25625	146
25655	167
25685	156
25715	183
25745	182
25775	146
25805	156
25835	162
25865	165
25895	159
25925	159
25955	171
25985	158
26015	171
26045	157
26075	167
26105	142
26135	163
26165	177
26195	150
26225	174
26255	154
26285	136
26315	163
26345	149
26375	154
26405	169
26435	157
26465	149
26495	144
26525	156
26555	168
26585	159
26615	151
26645	142
26675	157
26705	147
26735	170
26765	154
26795	144
26825	153
26855	149
26885	171
26915	161
26945	147
26975	147
27005	168
27035	127
27065	151
27095	152
27125	158
27155	148
27185	144
27215	136
27245	144
27275	147
27305	130
27335	147
27365	145
27395	142
27425	152
27455	137
27485	156
27515	158
27545	146
27575	141
27605	136
27635	153
27665	125
27695	175
27725	147
27755	148
27785	172
27815	152
27845	151
27875	133
27905	138
27935	187
27965	163
27995	153
28025	173
